Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
vercel ai sdk github;6;140;0.00;0.00;100.00;0.00;2060000;0.80,0.33,0.42,0.52,0.66,0.66,0.66,0.80,0.80,0.80,0.80,0.66;;1768563912
vercel chatbot;48;140;8.00;0.07;0.00;0.00;836000;1.00,0.42,0.66,0.52,1.00,0.80,0.52,0.80,0.80,0.66,0.52,0.33;;1768553191
internal knowledge base chatbot;11;50;0.00;0.00;0.00;0.00;1550000;0.77,0.33,0.22,0.00,0.00,0.44,0.44,0.77,0.77,0.55,1.00,1.00;;1771398873
internal knowledge base chatbot;31;50;0.00;0.00;0.00;0.00;1550000;0.77,0.33,0.22,0.00,0.00,0.44,0.44,0.77,0.77,0.55,1.00,1.00;;1771398873
versel ai;71;320;6.11;0.19;0.00;0.00;13000000;0.48,0.39,0.48,0.21,0.00,0.11,0.39,0.48,1.00,0.00,0.07,0.59;;1767661900
vercel ai sdk documentation;34;40;0.00;0.02;0.00;0.00;1200000;0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,1.00,1.00,0.18,0.18;;1769306237
ai vercel sdk;31;90;7.71;0.06;0.00;0.00;2570000;0.09,0.09,1.00,0.80,0.80,0.52,0.09,0.23,0.80,0.80,0.09,0.09;;1769612595
ai vercel sdk;77;90;7.71;0.06;0.00;0.00;2570000;0.09,0.09,1.00,0.80,0.80,0.52,0.09,0.23,0.80,0.80,0.09,0.09;;1769612595
vercel chat sdk;52;110;0.00;0.01;0.00;0.00;1260000;0.00,0.03,0.00,0.03,0.80,1.00,0.65,1.00,0.80,0.53,0.42,0.42;;1768889470
ai sdk vercel;83;480;5.77;0.05;0.00;0.00;2550000;0.29,0.44,0.54,0.54,0.54,0.54,0.66,0.81,1.00,0.66,0.66,0.66;;1769540783
vercel ai sk;41;50;7.06;0.02;0.00;0.00;191000;0.44,0.44,0.77,0.77,0.77,1.00,1.00,0.00,0.44,0.55,0.00,0.00;;1767442048
vercel ai sdk docs;43;50;0.00;0.33;0.00;0.00;1560000;0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,1.00,1.00,0.11,0.11;;1769248754
ai sdk docs;65;70;4.84;0.02;0.00;0.00;116000000;0.21,0.03,0.03,0.03,0.06,0.03,0.03,0.03,0.34,1.00,0.34,0.34;;1769236232
