Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
vercel playground;3;40;0.00;0.07;75.00;0.00;518000;0.41,0.29,0.29,0.23,0.11,0.11,0.11,1.00,0.11,0.11,0.11,0.11;;1769552133
next app;20;720;0.81;0.01;25.00;0.00;8890000000;0.30,0.20,0.30,0.24,0.20,0.24,0.24,0.24,0.20,0.16,0.24,0.30;;1767769641
nextjs pages router;35;70;0.00;0.01;0.00;0.00;4940000;0.41,0.64,0.11,0.64,0.64,0.64,0.52,0.52,0.41,0.41,0.11,0.11;;1772017387
next-app;44;40;0.81;0.01;0.00;0.00;9090000000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.16,0.00,0.00;;1767944156
vercel nextjs;23;210;10.71;0.04;0.00;0.00;3570000;0.43,0.65,0.53,0.34,0.43,0.65,0.34,1.00,1.00,0.81,0.65,0.65;1;1767668342
js app js;87;90;6.17;0.40;0.00;0.00;681000000;0.52,0.52,0.05,0.23,0.52,1.00,0.82,0.52,0.41,0.64,0.82,0.64;;1770087248
next js router;27;390;3.60;0.01;0.00;0.00;23600000;0.36,0.45,0.30,0.36,0.24,0.16,0.24,0.10,0.16,0.30,0.08,0.30;;1767793803
next js router;28;390;3.60;0.01;0.00;0.00;23600000;0.36,0.45,0.30,0.36,0.24,0.16,0.24,0.10,0.16,0.30,0.08,0.30;;1767793803
app router;21;210;0.00;0.00;0.00;0.00;298000000;0.17,0.53,0.66,0.66,1.00,0.43,0.43,0.53,0.43,1.00,0.43,0.43;;1771253031
nextjs router;25;720;3.60;0.01;0.00;0.00;14900000;0.54,0.30,0.36,0.30,0.20,0.24,0.24,0.30,0.36,0.24,0.24,0.41;;1767880017
next/router;30;260;0.00;0.00;0.00;0.00;199000000;0.05,0.05,0.16,0.16,1.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00;5;1772462166
next js example;18;90;0.00;0.02;0.00;0.00;450000000;0.11,0.28,0.00,0.05,0.18,0.11,0.23,0.35,0.11,0.15,0.18,0.15;;1771825729
next.js app router;14;480;4.25;0.02;0.00;0.00;22300000;0.08,0.04,0.03,0.07,0.11,0.65,0.03,1.00,0.00,0.00,0.00,0.08;;1768107287
nextjs app router;15;590;0.00;0.01;0.00;0.00;18400000;0.20,0.24,0.44,0.30,0.20,0.16,0.13,0.16,0.13,0.13,0.13,0.11;;1771868438
next.js app;28;480;5.50;0.14;0.00;0.00;671000000;0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.65,1.00,0.13,0.13;1;1769003085
next js pages router;34;40;0.00;0.01;0.00;0.00;11200000;0.07,0.05,0.07,0.07,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02;;1769903587
next.js router;28;320;2.86;0.01;0.00;0.00;42700000;0.13,0.16,0.04,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.20,0.00;;1771701021
next.js router;34;320;2.86;0.01;0.00;0.00;42700000;0.13,0.16,0.04,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.20,0.00;;1771701021
next js pages;58;90;0.00;0.01;0.00;0.00;255000000;0.53,0.43,0.34,0.21,0.43,0.06,0.34,0.21,0.21,0.43,0.21,0.15;;1772215033
next js pages;59;90;0.00;0.01;0.00;0.00;255000000;0.53,0.43,0.34,0.21,0.43,0.06,0.34,0.21,0.21,0.43,0.21,0.15;;1772215033
next application example;21;210;0.00;0.00;0.00;0.00;1420000000;1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1772182929
nextjs pages;74;90;0.00;0.01;0.00;0.00;21900000;0.11,0.44,0.28,0.15,0.11,0.15,0.11,0.15,0.08,0.06,0.06,0.08;;1771643421
nextjs app;22;210;5.50;0.14;0.00;0.00;23100000;0.43,0.54,0.54,0.35,0.22,0.54,0.66,0.66,0.54,0.35,0.22,0.14;;1769791015
router next;29;110;0.00;0.00;0.00;0.00;254000000;0.52,0.82,0.64,1.00,0.52,0.64,0.23,0.82,0.52,0.41,0.64,0.82;5;1767574359
next router;26;260;0.00;0.00;0.00;0.00;191000000;0.32,0.32,0.32,0.32,0.32,0.21,0.26,0.17,0.14,0.17,0.14,0.14;5;1772334370
vercel next.js;27;30;4.88;0.07;0.00;0.00;5690000;0.42,0.07,0.53,0.53,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00;1;1771762694
next js app router;10;320;4.25;0.02;0.00;0.00;20800000;0.20,0.20,0.36,0.24,0.36,0.30,0.24,0.30,0.30,0.16,0.16,0.16;;1767346946
nextjs examples;43;170;0.00;0.02;0.00;0.00;22400000;0.32,0.17,0.39,0.21,0.09,0.14,0.11,0.14,0.11,0.07,0.11,0.07;;1769919117
next js app;19;260;5.50;0.14;0.00;0.00;564000000;0.28,0.82,0.43,1.00,1.00,0.66,0.43,0.82,0.82,1.00,0.43,0.35;;1772176937
nextjs route;34;390;3.60;0.01;0.00;0.00;5720000;0.36,0.67,0.36,0.45,0.13,0.36,0.10,0.30,0.36,0.00,0.20,0.08;;1767776260
app router next js;26;140;0.00;0.01;0.00;0.00;27200000;0.18,0.28,0.35,0.06,0.28,0.28,0.28,0.28,0.18,0.18,0.18,0.15;;1772491627
next.js vercel;19;50;5.18;0.07;0.00;0.00;4540000;0.64,1.00,0.41,0.29,0.05,0.00,0.00,0.00,0.00,0.00,0.82,0.82;1;1771504190
nexty app;8;50;2.05;0.02;0.00;0.00;6780000000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00;5;1772499784
nexty app;18;50;2.05;0.02;0.00;0.00;6780000000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00;5;1772499784
vercel next js;32;210;4.88;0.07;0.00;0.00;5660000;0.35,0.66,0.53,1.00,0.53,0.53,0.35,1.00,0.53,0.43,0.10,0.28;1;1769605578
