Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
sanity blog;3;70;2.02;0.24;100.00;100.00;53700000;0.09,0.09,0.09,0.52,1.00,0.23,0.09,0.42,0.52,0.80,0.09,0.09;;1770358181
next.js blog;30;70;3.47;0.01;0.00;0.00;256000000;0.81,0.00,0.34,0.34,0.06,0.00,0.00,0.03,0.00,0.00,0.00,0.53;;1767599940
next sanity;15;110;0.00;0.02;0.00;0.00;54700000;0.42,0.42,0.52,0.42,0.52,0.52,0.52,0.33,0.42,0.52,0.42,0.52;;1767720356
sanity io nextjs;12;30;3.43;0.43;0.00;0.00;130000;0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,1.00,0.18,0.18;5;1769321510
sanity preview;24;50;0.00;0.33;0.00;0.00;10500000;0.14,0.14,0.14,0.21,0.21,0.50,0.64,0.28,0.64,1.00,0.78,0.21;5;1767408262
slug sanity;27;40;0.00;0.33;0.00;0.00;245000;0.50,1.00,0.78,0.14,0.14,0.14,0.00,0.00,0.14,0.14,0.14,0.14;;1770389320
nextjs blog template;85;140;2.28;0.15;0.00;0.00;13700000;0.18,0.54,0.44,0.28,0.11,0.18,0.08,0.18,0.11,0.28,0.11,0.18;5;1770572061
sanity io preview;38;40;0.00;0.33;0.00;0.00;42100000;0.36,0.18,0.18,1.00,0.18,0.27,0.18,0.18,0.45,0.81,0.45,0.18;5;1767956727
sanity nextjs;6;50;1.47;0.57;0.00;0.00;924000;0.78,0.78,0.00,0.35,0.07,0.35,0.64,0.21,0.35,0.78,0.21,0.00;;1768940422
sanity next js;6;90;1.47;0.57;0.00;0.00;5140000;0.35,0.50,0.78,0.78,1.00,0.78,0.50,0.35,0.64,0.78,0.50,0.35;;1770295689
sanity.io;63;590;1.69;0.48;0.00;0.00;59800000;0.08,0.16,0.16,0.13,0.11,0.20,0.16,0.00,0.00,1.00,0.16,0.20;;1769535995
sanity github;17;50;0.00;0.01;0.00;0.00;6030000;0.14,0.78,0.14,0.14,1.00,0.78,0.14,0.14,0.21,0.21,0.14,0.14;;1770357672
sanity cms nextjs;15;40;1.24;0.34;0.00;0.00;245000;0.18,0.36,1.00,1.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18;;1767956449
sanity page builder;63;30;6.78;0.25;0.00;0.00;2240000;0.50,0.50,0.75,1.00,0.75,1.00,0.50,0.75,0.75,0.50,0.75,0.75;5;1769318185
