Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
blog starter;5;880;3.35;0.71;35.55;49.53;455000000;0.05,0.16,0.08,0.30,0.55,0.20,0.44,1.00,0.11,0.11,0.11,0.34;;1769025336
nextjs blog;2;390;3.09;0.07;22.22;28.03;21000000;0.66,0.54,0.66,0.66,0.44,0.19,0.54,0.44,0.54,0.54,0.54,0.23;;1771108287
next js blog starter;1;40;0.00;0.01;20.00;0.00;14200000;0.09,0.09,0.09,0.52,0.23,0.33,0.23,0.23,0.23,0.09,0.09,0.09;;1771855849
starter blog;2;30;3.80;0.63;6.66;10.28;226000000;0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.02,0.00,1.00,0.00,0.00;;1767976818
next js blog;2;210;3.09;0.07;6.66;8.41;223000000;0.15,0.35,0.35,0.44,0.44,0.44,0.54,0.44,0.08,0.66,0.15,0.23;;1771398514
vercel blog;5;260;0.00;0.01;4.44;0.00;10700000;0.23,0.44,0.54,0.54,0.35,0.44,0.54,0.54,0.54,0.54,0.54,0.44;;1772459948
blogexample;9;140;1.43;0.09;2.22;0.93;211000;0.00,0.00,0.00,0.00,0.01,1.00,0.01,0.00,1.00,0.00,0.00,0.00;;1771815242
nextjs blogs;2;50;3.47;0.01;2.22;2.80;24200000;0.82,0.00,0.00,0.43,0.00,0.00,0.00,0.00,0.28,0.00,0.00,0.00;;1768344843
starter blogs;21;320;3.80;0.63;0.00;0.00;53400000;0.01,0.36,0.05,0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00;;1768175907
nextjs starter kit;44;70;3.43;0.10;0.00;0.00;1620000;0.02,0.02,0.02,0.02,0.02,0.02,0.54,0.15,0.04,0.02,0.02,0.06;;1771053625
blogexample;22;140;1.43;0.09;0.00;0.00;211000;0.00,0.00,0.00,0.00,0.01,1.00,0.01,0.00,1.00,0.00,0.00,0.00;;1771815242
next js markdown;9;90;0.00;0.00;0.00;0.00;29800000;0.12,0.12,0.15,0.19,0.09,0.12,0.12,0.12,0.09,0.05,0.06,0.09;5;1771610937
eploy demo automation features;99;40;0.00;0.00;0.00;0.00;16700;0.28,1.00,0.42;;1771320597
next js blog template;38;140;2.28;0.15;0.00;0.00;51800000;1.00,0.80,0.19,1.00,1.00,0.66,0.66,0.52,0.42,0.52,0.42,0.42;;1772304580
next starter;46;110;0.00;0.04;0.00;0.00;6220000000;0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.72,0.39,0.02,0.02,0.02;;1769109035
next js starters;36;50;3.60;0.05;0.00;0.00;13000000;0.11,0.23,0.23,0.41,0.11,0.00,0.00,0.00,0.29,0.41,1.00,0.29;;1768077483
nextjs starters;30;40;3.55;0.11;0.00;0.00;3380000;0.29,0.23,0.41,0.64,0.00,0.52,0.00,0.00,0.11,0.41,0.17,0.00;5;1770520370
nextjs blog template;13;140;2.28;0.15;0.00;0.00;13700000;0.18,0.54,0.44,0.28,0.11,0.18,0.08,0.18,0.11,0.28,0.11,0.18;5;1770572061
vercel examples;39;40;0.00;0.33;0.00;0.00;5280000;0.09,0.19,0.09,1.00,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09;5;1770482000
nextjs starter;45;260;3.72;0.07;0.00;0.00;4010000;0.66,1.00,0.82,0.82,0.82,1.00,0.66,0.53,0.66,0.53,0.53,0.28;;1772177198
next js blog templates;28;30;3.04;0.10;0.00;0.00;57000000;0.00,1.00,0.00,0.00,0.05,0.23,0.05,0.00,0.11,0.23,0.17,0.00;;1767973998
blogging with markdown;36;50;0.00;0.01;0.00;0.00;64300000;0.45,0.45,0.36,0.81,0.63,0.45,0.63,0.63,0.45,0.45,0.63,0.18;;1768909514
nextjs starter kits;13;40;0.00;0.33;0.00;0.00;239000;0.64,0.14,0.14,0.78,0.64,0.14,0.14,0.14,0.28,0.14,0.14,0.14;;1767941722
