Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
vercel ai chatbot;1;390;5.64;0.16;79.38;95.02;5310000;0.54,0.66,0.81,1.00,1.00,1.00,0.66,0.81,0.81,0.81,0.54,0.35;;1772292462
ai chat;58;450000;0.83;0.03;11.45;1.99;5540000000;0.36,0.24,0.55,0.36,0.67,0.36,0.24,0.36,0.36,0.55,0.55,1.00;;1772480216
canvas chabot;25;6600;0.00;0.00;2.29;0.00;237000;0.44,0.36,0.81,0.54,0.36,0.44,0.36,0.29,0.44,0.54,0.66,0.36;;1772292486
vercel ai;7;2900;6.24;0.30;1.78;2.32;12300000;0.44,0.66,0.66,1.00,0.66,0.80,0.66,1.00,1.00,0.80,0.80,0.66;;1772188312
canvas chabot;36;6600;0.00;0.00;1.01;0.00;237000;0.44,0.36,0.81,0.54,0.36,0.44,0.36,0.29,0.44,0.54,0.66,0.36;;1772292486
chatbot ui design templates;3;50;2.84;0.27;1.01;0.59;4360000;1.00,0.11,0.23,0.23,0.29,0.23,0.23,0.11,0.29,0.17,0.29,0.11;5;1772558879
free chatbot templates;8;170;0.00;0.01;0.76;0.00;22400000;0.34,0.28,0.21,0.43,0.53,0.43,0.34,1.00,1.00,0.81,0.34,0.34;5;1772424529
ui for chatbot;8;140;0.00;0.02;0.76;0.00;60600000;0.08,0.03,0.02,0.06,0.05,0.76,0.01,0.03,0.05,0.08,0.01,0.01;;1772426366
chatbotai;41;3600;0.79;0.22;0.25;0.00;3670000;1.00,0.16,0.36,0.24,0.08,0.12,0.12,0.01,0.10,0.24,0.29,0.24;5;1772588934
chatbox ai;44;4400;1.34;0.49;0.25;0.05;13000000;0.36,1.00,0.66,0.44,0.36,0.44,0.29,0.36,0.36,0.36,0.36,0.29;;1772229571
chatbot ai project;4;70;0.00;0.03;0.25;0.00;607000000;0.18,0.18,0.18,0.18,0.18,0.18,1.00,1.00,1.00,1.00,1.00,0.18;;1772518999
chatbot application;25;1600;0.85;0.52;0.25;0.00;113000000;1.00,0.82,0.55,0.82,0.65,1.00,0.55,0.13,0.30,0.16,0.16,0.24;;1772332179
next-auth;28;3600;0.00;0.00;0.25;0.00;177000000;0.29,0.16,0.19,1.00,0.08,0.07,0.10,0.81,1.00,0.81,0.29,0.66;;1772348237
chatbot.app;19;1300;0.85;0.52;0.25;0.00;113000000;0.81,0.81,0.62,0.62,0.81,0.81,0.62,0.81,1.00,1.00,0.81,0.62;;1772312003
chatbots free;91;170;1.37;0.36;0.00;0.00;37000000;0.16,0.24,0.13,0.02,0.10,0.04,0.30,0.24,0.02,0.04,0.04,0.00;;1772029616
ship model display cases;74;90;0.65;1.00;0.00;0.00;95600000;0.52,0.82,0.41,0.29,0.64,0.17,0.41,0.41,1.00,0.52,0.29,0.52;5;1772225254
openchat ai;34;4400;0.16;0.19;0.00;0.00;13400000;0.24,0.16,0.19,0.19,0.16,0.19,0.16,0.16,0.16,0.19,0.24,0.10;;1772257903
how to create a twitter bot;55;140;0.00;0.01;0.00;0.00;137000000;0.81,0.65,0.65,0.43,0.28,0.43,0.34,0.34,0.21,0.28,0.21,0.21;;1772469820
vercel linkedin;91;110;0.00;0.00;0.00;0.00;5540000;0.42,0.42,0.42,0.52,0.66,0.52,0.42,0.42,0.52,0.42,0.80,0.42;;1772313581
ai and user interface;81;50;0.00;0.11;0.00;0.00;544000000;0.18,0.18,0.18,0.18,0.36,0.45,0.45,0.81,1.00,0.81,0.63,0.81;;1772061587
role react bot;36;40;0.00;0.33;0.00;0.00;70200000;0.35,0.35,0.50,0.14,0.14,0.14,0.14,0.78,0.14,0.14,0.14,0.14;;1772360225
role react bot;50;40;0.00;0.33;0.00;0.00;70200000;0.35,0.35,0.50,0.14,0.14,0.14,0.14,0.78,0.14,0.14,0.14,0.14;;1772360225
chatbot tutorial;24;70;3.98;0.28;0.00;0.00;61800000;0.42,0.34,0.34,0.42,0.53,0.42,0.34,0.19,0.00,0.19,0.07,0.15;;1772092091
chatbot tutorial;63;70;3.98;0.28;0.00;0.00;61800000;0.42,0.34,0.34,0.42,0.53,0.42,0.34,0.19,0.00,0.19,0.07,0.15;;1772092091
chatbot demo;13;170;7.22;0.38;0.00;0.00;60100000;0.44,0.28,0.08,0.15,0.28,0.23,0.44,0.54,0.66,0.28,0.15,0.15;;1772457283
best chatbot for coding;81;140;4.80;0.71;0.00;0.00;30700000;0.53,0.34,0.42,0.53,0.53,0.34,0.53,0.65,0.53,0.65,0.65,0.65;;1772272028
chatbotai;74;3600;0.79;0.22;0.00;0.00;3670000;1.00,0.16,0.36,0.24,0.08,0.12,0.12,0.01,0.10,0.24,0.29,0.24;5;1772588934
cohere provider login;54;2900;0.00;0.00;0.00;0.00;740000;0.80,1.00,1.00,0.80,0.44,0.80,0.80,1.00,0.66,0.66,0.66,0.52;;1772275591
how to use chatbot instructions;47;70;0.00;0.00;0.00;0.00;90100000;0.15,1.00,0.00,0.00,0.00;5;1772057733
svelte one and done;54;70;3.26;0.15;0.00;0.00;2560000;0.23,0.52,0.42,0.33,0.42,0.42,0.33,0.42,0.23,0.23,0.23,0.23;;1772324516
how to access grok 3;86;260;0.00;0.15;0.00;0.00;34800000;0.00,0.00,1.00,0.11,0.01,0.01,0.01,0.02,0.00,0.00,0.00,0.00;;1772416971
how to access grok 3;88;260;0.00;0.15;0.00;0.00;34800000;0.00,0.00,1.00,0.11,0.01,0.01,0.01,0.02,0.00,0.00,0.00,0.00;;1772416971
build ai chat bot;34;30;5.88;0.65;0.00;0.00;99300000;0.19,1.00,0.09,0.04,0.09,0.04,0.04,0.09,0.09,0.19,0.09,0.00;;1772531714
j/s;77;1900;1.79;0.05;0.00;0.00;6780000000;0.02,0.01,0.08,0.10,0.10,0.00,0.08,0.00,0.00,0.16,0.07,0.16;5;1772541274
nextjs;94;27100;3.18;0.05;0.00;0.00;23100000;0.54,0.81,0.66,0.81,0.66,0.54,0.66,0.54,0.66,0.54,0.54,0.44;;1772313915
free online chat widget for website;54;70;6.77;0.65;0.00;0.00;93700000;0.09,0.52,0.52,0.52,0.42,0.33,0.23,0.23,0.23,0.66,0.23,0.14;;1772370918
custom chatbot development;65;110;0.00;0.08;0.00;0.00;9350000;0.11,1.00,0.41,0.64,1.00,0.82,0.82,0.82,0.82,0.52,0.52,0.52;;1772196290
free chatbot templates;15;170;0.00;0.01;0.00;0.00;22400000;0.34,0.28,0.21,0.43,0.53,0.43,0.34,1.00,1.00,0.81,0.34,0.34;5;1772424529
persistence app;70;90;0.01;0.03;0.00;0.00;46500000;1.00,0.43,0.12,0.12,0.12,0.17,0.17,0.17,0.17,0.17,0.23,0.17;;1772128797
persistence app;84;90;0.01;0.03;0.00;0.00;46500000;1.00,0.43,0.12,0.12,0.12,0.17,0.17,0.17,0.17,0.17,0.23,0.17;;1772128797
chat gpt full form;82;2900;1.22;0.23;0.00;0.00;273000000;0.44,0.80,1.00,0.66,1.00,0.80,0.66,0.80,1.00,0.80,0.80,1.00;;1772047195
pop up in react native;65;70;0.00;0.33;0.00;0.00;10100000;0.34,1.00,0.12,0.06,0.06,0.06,0.06,0.06,0.12,0.06,0.65,0.06;;1772333548
make your own ai chatbot;31;170;3.90;0.57;0.00;0.00;790000000;0.43,0.34,0.53,0.43,0.81,1.00,0.53,0.65,0.43,0.53,0.34,1.00;;1772242497
make your own ai chatbot;39;170;3.90;0.57;0.00;0.00;790000000;0.43,0.34,0.53,0.43,0.81,1.00,0.53,0.65,0.43,0.53,0.34,1.00;;1772242497
npm link local package;67;140;0.00;0.00;0.00;0.00;25500000;0.65,0.53,0.53,0.65,0.42,0.53,0.42,0.53,0.42,0.42,0.42,0.26;;1772410596
chat bot;64;18100;1.23;0.41;0.00;0.00;734000000;0.54,0.44,0.81,0.16,0.36,0.54,0.54,0.36,0.36,0.54,0.29,0.24;;1772315034
db template;80;170;4.72;0.21;0.00;0.00;264000000;0.12,0.19,0.23,0.12,0.23,0.19,0.12,0.07,0.10,1.00,0.05,0.04;5;1772410624
chat box github;79;40;0.25;0.11;0.00;0.00;26100000;0.14,0.14,0.14,0.00,0.00,0.00,0.00,1.00,0.50,0.64,0.64,0.35;;1772413294
ai chatbot;77;74000;0.83;0.03;0.00;0.00;4070000000;0.36,0.45,0.30,0.54,0.30,0.30,0.20,0.30,0.36,0.36,0.54,0.54;;1772108251
chatgpt default model;57;40;0.00;0.06;0.00;0.00;322000000;0.02,0.03,0.07,0.03,0.02,0.21,0.02,0.02,0.02,0.02,0.02,0.02;;1772398709
neon ai;57;260;7.87;0.19;0.00;0.00;269000000;0.09,0.14,0.17,0.21,0.17,0.59,0.39,0.26,0.26,0.32,0.39,0.21;5;1772482130
neon ai;86;260;7.87;0.19;0.00;0.00;269000000;0.09,0.14,0.17,0.21,0.17,0.59,0.39,0.26,0.26,0.32,0.39,0.21;5;1772482130
chatbot with llm;53;40;0.00;0.05;0.00;0.00;47900000;0.18,0.18,0.18,0.18,1.00,0.18,0.18,1.00,0.18,0.18,0.18,0.18;;1772518546
chatbot with llm;59;40;0.00;0.05;0.00;0.00;47900000;0.18,0.18,0.18,0.18,1.00,0.18,0.18,1.00,0.18,0.18,0.18,0.18;;1772518546
free flexibility apps;96;30;1.10;0.28;0.00;0.00;159000000;0.18,1.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18;;1772003915
best ai chatbot for website;30;110;15.31;0.48;0.00;0.00;1360000000;0.07,0.42,0.07,0.07,0.42,0.42,0.42,1.00,1.00,0.42,0.26,0.53;;1772571454
best ai chatbot for website;42;110;15.31;0.48;0.00;0.00;1360000000;0.07,0.42,0.07,0.07,0.42,0.42,0.42,1.00,1.00,0.42,0.26,0.53;;1772571454
best ai chatbot for website;58;110;15.31;0.48;0.00;0.00;1360000000;0.07,0.42,0.07,0.07,0.42,0.42,0.42,1.00,1.00,0.42,0.26,0.53;;1772571454
build your own ai model;67;70;4.46;0.74;0.00;0.00;1350000000;0.11,1.00,0.23,0.11,0.11,0.64,0.64,0.29,0.64,0.64,0.52,0.41;;1772481384
custom router templates;62;140;0.36;1.00;0.00;0.00;21500000;0.80,0.80,0.80,0.80,0.66,0.66,0.52,0.80,0.66,0.66,0.52,0.66;5;1772295373
fluid components;87;50;4.05;0.08;0.00;0.00;300000000;0.35,0.35,0.35,0.35,0.35,0.35,0.14,0.50,0.28,0.50,0.50,0.50;1,5;1772273074
shadcn react native;77;320;0.00;0.01;0.00;0.00;421000;0.43,1.00,1.00,0.66,0.81,0.81,0.54,0.54,0.54,1.00,0.66,0.66;;1772394603
shadcn react native;80;320;0.00;0.01;0.00;0.00;421000;0.43,1.00,1.00,0.66,0.81,0.81,0.54,0.54,0.54,1.00,0.66,0.66;;1772394603
shadcn';91;50;0.00;0.00;0.00;0.00;1200000;0.00,0.00,0.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1772142674
chatbott;55;50;1.23;0.41;0.00;0.00;140000000;0.01,0.00,0.00,0.17,0.00,0.01,0.03,0.26,0.17,0.04,0.00,0.01;;1772425285
chatbott;76;50;1.23;0.41;0.00;0.00;140000000;0.01,0.00,0.00,0.17,0.00,0.01,0.03,0.26,0.17,0.04,0.00,0.01;;1772425285
spm design;69;260;0.00;0.05;0.00;0.00;39900000;0.35,0.44,0.35,0.35,0.54,0.54,0.35,0.44,0.44,0.54,0.44,0.35;1,5;1772514477
ai chat up;30;110;1.98;0.02;0.00;0.00;2110000000;0.09,0.52,0.52,0.09,0.52,0.52,0.66,1.00,0.80,1.00,0.19,0.80;;1772109128
ai chat up;31;110;1.98;0.02;0.00;0.00;2110000000;0.09,0.52,0.52,0.09,0.52,0.52,0.66,1.00,0.80,1.00,0.19,0.80;;1772109128
what are some ai websites;45;70;1.76;0.27;0.00;0.00;3190000000;1.00,0.78,0.14,0.78,0.78,0.14,0.64,0.14,0.50,0.50,0.64,0.50;;1772531895
nextjs api router;65;50;3.81;0.01;0.00;0.00;18500000;0.00,0.00,0.00,0.26,0.00,0.00,0.00,0.32,0.00,0.00,0.00,0.00;;1772102087
chatgtp 0;77;140;0.61;0.08;0.00;0.00;732000000;0.06,0.00,0.05,0.02,0.15,0.02,0.01,0.01,0.00,0.44,1.00,0.54;5;1772082405
chatgtp 0;82;140;0.61;0.08;0.00;0.00;732000000;0.06,0.00,0.05,0.02,0.15,0.02,0.01,0.01,0.00,0.44,1.00,0.54;5;1772082405
chatgpt.como;53;2900;0.37;0.17;0.00;0.00;509000000;0.02,0.03,0.01,0.05,0.54,0.66,1.00,0.66,0.35,0.54,0.03,0.04;;1772150849
where is chatgpt servers located;61;90;0.00;0.00;0.00;0.00;33100000;0.11,0.23,0.11,0.11,0.23,0.64,0.64,0.64,1.00,0.64,1.00,0.82;;1772046470
chat up ai;42;2900;1.64;0.02;0.00;0.00;1930000000;0.07,0.19,0.36,1.00,0.54,0.54,0.19,0.36,0.43,0.24,0.66,0.54;;1772132216
chat app ai;27;90;1.17;0.41;0.00;0.00;1950000000;1.00,0.07,0.12,0.17,0.17,0.17,0.17,0.23,0.17,0.17,0.23,0.23;;1772164872
nextauth;38;2400;3.76;0.08;0.00;0.00;430000;0.44,0.53,0.66,0.81,0.35,0.44,0.35,0.35,0.35,0.35,0.53,0.35;;1772412613
template canvas;53;140;0.86;0.08;0.00;0.00;118000000;0.34,0.28,0.28,0.43,0.65,0.53,0.06,0.34,0.21,1.00,0.81,0.34;5;1772550705
ai bots on whatsapp;95;40;0.00;0.11;0.00;0.00;33000000;0.11,0.11,0.11,0.11,0.11,0.29,0.64,0.64,0.11,0.11,0.11,0.11;;1772085244
grok3 coding;85;1300;0.00;0.00;0.00;0.00;1340000;0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;5;1772355384
blob javascript;61;110;0.00;0.00;0.00;0.00;68900000;0.08,0.18,0.28,0.23,0.15,0.05,0.08,0.15,0.35,0.18,0.35,0.11;;1772403904
download ai chat;77;30;1.92;0.43;0.00;0.00;1950000000;0.18,0.18,0.00,0.09,0.18,1.00,1.00,0.18,0.18,0.18,0.18,0.18;;1772065481
llm chat bot;53;70;3.76;0.39;0.00;0.00;61400000;0.09,1.00,0.66,0.00,0.00,0.00,0.14,0.80,0.33,0.19,0.33,0.19;;1772474637
chatbot plugins;38;50;7.13;0.43;0.00;0.00;7590000;0.02,0.00,0.00,0.00,0.00,0.00,0.08,1.00,0.22,0.08,0.04,0.00;;1772300148
