Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
dalle 2 image generator;8;170;0.76;0.05;57.14;100.00;2040000;0.00,0.09,0.00,0.09,0.03,0.01,0.00,0.26,1.00,0.32,0.04,0.09;;1767472249
dall e 2 ai art generator;4;210;0.00;0.06;28.57;0.00;4050000;0.01,0.01,0.01,0.05,0.05,0.04,0.00,1.00,0.02,0.03,0.00,0.02;;1768865091
dalle 2 ai image generator;5;260;0.00;0.48;14.28;0.00;2090000;0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.00,0.31,0.16,0.08,0.01;5;1768173571
dalle free ai image generator;85;320;0.00;0.71;0.00;0.00;1030000;0.00,0.00,0.00,0.01,0.81,1.00,0.04,0.20,0.02,0.55,0.00,0.01;;1768124781
vercel business generator;25;50;6.11;0.71;0.00;0.00;544000;0.05,0.05,0.05,0.05,1.00,0.05,0.05,0.05,0.05,0.05,0.05,0.05;;1768565779
vercel ai sdk image generation;6;40;0.00;0.33;0.00;0.00;178000;0.50,0.50,0.14,0.28,0.14,0.14,0.14,1.00,0.28,0.14,0.14,0.14;5;1769307504
vercel ai sdk image generation;14;40;0.00;0.33;0.00;0.00;178000;0.50,0.50,0.14,0.28,0.14,0.14,0.14,1.00,0.28,0.14,0.14,0.14;5;1769307504
dalle art generator;52;40;0.93;0.28;0.00;0.00;1660000;0.01,0.04,0.01,0.00,0.00,0.00,0.02,0.01,0.01,0.00,0.00,0.04;;1770323743
dall e art generator;59;110;0.93;0.28;0.00;0.00;7290000;0.09,0.07,0.17,0.17,0.11,0.09,0.14,0.11,0.05,0.11,0.07,0.07;5;1769534344
dali 2 image generator;90;90;0.00;0.64;0.00;0.00;531000;0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1.00,0.02,0.02;5;1767807144
dall e ai photo generator;97;50;0.86;0.19;0.00;0.00;10200000;0.18,0.18,0.18,1.00,1.00,0.18,1.00,0.81,0.45,0.36,0.45,0.27;;1771400105
dall-e 2 ai art generator;8;70;0.00;0.00;0.00;0.00;4400000;0.34,0.34,0.34,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.21,0.00;5;1771112260
dall e ai art generator;43;140;0.89;0.09;0.00;0.00;9320000;0.03,0.10,0.08,0.05,0.16,0.00,0.07,0.00,0.02,0.07,0.03,0.02;5;1769405560
dalle ai art generator;10;170;0.89;0.09;0.00;0.00;3880000;0.00,0.00,0.00,0.05,0.00,0.13,0.00,0.16,0.00,0.00,0.03,0.00;5;1769220399
