Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
nextra;3;1000;0.00;0.00;54.54;0.00;933000;0.36,0.81,0.81,0.62,0.62,0.81,0.55,0.55,0.81,0.62,0.81,0.62;5;1772092697
vercel docs;4;390;0.00;0.00;18.18;0.00;6550000;0.35,0.44,0.44,0.66,0.66,0.44,0.81,1.00,0.66,0.66,0.81,0.66;;1772452660
next docs;8;140;4.43;0.07;18.18;100.00;396000000;0.22,0.22,0.29,0.29,0.22,0.18,0.22,0.54,0.29,0.29,0.10,0.29;;1770861951
nextjs.doc;14;210;0.00;0.01;9.09;0.00;13700000;1.00,1.00,1.00,1.00,1.00,1.00,0.80,1.00,0.65,0.65,0.53,0.53;;1769933134
next doc;18;260;0.00;0.00;0.00;0.00;678000000;0.81,1.00,0.54,0.43,0.43,1.00,0.43,0.35,0.22,0.29,0.18,0.22;;1769879937
nextjs.doc;24;210;0.00;0.01;0.00;0.00;13700000;1.00,1.00,1.00,1.00,1.00,1.00,0.80,1.00,0.65,0.65,0.53,0.53;;1769933134
nextjs.doc;34;210;0.00;0.01;0.00;0.00;13700000;1.00,1.00,1.00,1.00,1.00,1.00,0.80,1.00,0.65,0.65,0.53,0.53;;1769933134
next js documentation;25;1000;3.90;0.01;0.00;0.00;280000000;0.11,0.52,0.46,1.00,0.68,0.37,0.20,0.52,0.68,0.46,0.52,0.31;;1770479823
next js docs;42;390;5.20;0.01;0.00;0.00;250000000;0.16,0.20,0.20,0.25,0.25,0.16,0.16,0.20,0.16,0.20,0.20,0.13;;1769815411
next.js documentation;50;720;3.90;0.01;0.00;0.00;269000000;0.05,0.13,0.24,0.11,1.00,0.05,0.20,0.00,0.55,0.00,0.24,0.24;;1769817520
nextjs doc;18;170;0.00;0.01;0.00;0.00;23100000;1.00,0.10,0.05,0.20,0.01,0.02,0.00,0.00,0.05,0.00,0.05,0.03;;1769829654
next documentation;18;50;0.00;0.01;0.00;0.00;3090000000;0.41,0.52,0.64,1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11;;1770896170
