Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
documentation template;18;720;1.76;0.20;50.00;50.00;614000000;0.45,0.62,0.30,0.62,0.30,0.36,0.55,0.36,0.55,0.30,0.55,0.45;5;1771974591
documentation template;20;720;1.76;0.20;50.00;50.00;614000000;0.45,0.62,0.30,0.62,0.30,0.36,0.55,0.36,0.55,0.30,0.55,0.45;5;1771974591
template documentation;58;110;1.95;0.17;0.00;0.00;733000000;0.66,0.66,1.00,0.52,0.52,0.52,0.33,0.09,0.52,0.80,0.52,0.66;5;1768775008
template documentation;59;110;1.95;0.17;0.00;0.00;733000000;0.66,0.66,1.00,0.52,0.52,0.52,0.33,0.09,0.52,0.80,0.52,0.66;5;1768775008
nextjs.doc;85;210;0.00;0.01;0.00;0.00;13700000;1.00,1.00,1.00,1.00,1.00,1.00,0.80,1.00,0.65,0.65,0.53,0.53;;1769933134
nextjs document;26;70;3.90;0.01;0.00;0.00;22700000;0.00,0.28,0.23,0.01,0.81,0.01,0.00,0.03,0.01,0.00,0.06,0.01;;1772186588
nextjs document;27;70;3.90;0.01;0.00;0.00;22700000;0.00,0.28,0.23,0.01,0.81,0.01,0.00,0.03,0.01,0.00,0.06,0.01;;1772186588
nextjs docs;88;1600;5.20;0.01;0.00;0.00;22200000;0.16,0.44,0.34,0.24,1.00,0.82,0.65,0.44,0.55,0.82,0.65,0.44;;1771907097
next js doc;83;110;5.20;0.01;0.00;0.00;231000000;0.00,0.28,0.81,0.01,0.06,0.08,0.01,0.54,0.05,0.05,0.05,0.01;;1769392457
documentation site template;68;30;5.03;0.21;0.00;0.00;201000000;0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,1.00,0.18,0.18,0.18;5;1767585341
documentation site template;74;30;5.03;0.21;0.00;0.00;201000000;0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,1.00,0.18,0.18,0.18;5;1767585341
next js documentation;78;1000;3.90;0.01;0.00;0.00;280000000;0.11,0.52,0.46,1.00,0.68,0.37,0.20,0.52,0.68,0.46,0.52,0.31;;1770479823
next docs;64;140;4.43;0.07;0.00;0.00;396000000;0.22,0.22,0.29,0.29,0.22,0.18,0.22,0.54,0.29,0.29,0.10,0.29;;1770861951
next.js documentation;80;720;3.90;0.01;0.00;0.00;269000000;0.05,0.13,0.24,0.11,1.00,0.05,0.20,0.00,0.55,0.00,0.24,0.24;;1769817520
next.js doc;99;170;4.16;0.01;0.00;0.00;250000000;0.24,0.00,0.01,0.45,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1768369859
nextjs doc;84;170;0.00;0.01;0.00;0.00;23100000;1.00,0.10,0.05,0.20,0.01,0.02,0.00,0.00,0.05,0.00,0.05,0.03;;1769829654
api docs template;90;90;3.46;0.45;0.00;0.00;164000000;0.41,0.52,1.00,0.41,0.52,0.64,0.41,0.52,0.41,0.82,0.23,0.41;5;1769859501
