Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
next js document;5;320;3.90;0.01;30.00;37.93;411000000;0.67,0.45,0.36,1.00,0.00,0.20,0.00,0.30,0.00,0.00,0.00,0.00;;1769559569
nextjs documentation;10;480;3.90;0.01;20.00;24.13;21100000;0.36,0.16,1.00,0.30,0.36,0.36,0.36,0.13,0.16,0.13,0.16,0.45;;1771072680
next.js docs;10;320;4.16;0.01;10.00;13.79;268000000;0.11,0.00,0.20,0.25,0.20,0.00,0.00,0.00,0.00,1.00,0.00,0.13;;1768492132
next js documentation;9;1000;3.90;0.01;10.00;10.34;280000000;0.11,0.52,0.46,1.00,0.68,0.37,0.20,0.52,0.68,0.46,0.52,0.31;;1770479823
next.js doc;9;170;4.16;0.01;10.00;13.79;250000000;0.24,0.00,0.01,0.45,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1768369859
nextjs doc;7;170;0.00;0.01;10.00;0.00;23100000;1.00,0.10,0.05,0.20,0.01,0.02,0.00,0.00,0.05,0.00,0.05,0.03;;1769829654
next documentation;7;50;0.00;0.01;10.00;0.00;3090000000;0.41,0.52,0.64,1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11;;1770896170
nextjs document;12;70;3.90;0.01;0.00;0.00;22700000;0.00,0.28,0.23,0.01,0.81,0.01,0.00,0.03,0.01,0.00,0.06,0.01;;1772186588
next/document;7;30;4.43;0.07;0.00;0.00;1410000000;0.42,0.23,0.42,0.00,0.09,0.00,0.09,0.04,0.00,0.00,0.00,0.00;;1768937708
next js doc;9;110;5.20;0.01;0.00;0.00;231000000;0.00,0.28,0.81,0.01,0.06,0.08,0.01,0.54,0.05,0.05,0.05,0.01;;1769392457
next js docs;17;390;5.20;0.01;0.00;0.00;250000000;0.16,0.20,0.20,0.25,0.25,0.16,0.16,0.20,0.16,0.20,0.20,0.13;;1769815411
next docs;21;140;4.43;0.07;0.00;0.00;396000000;0.22,0.22,0.29,0.29,0.22,0.18,0.22,0.54,0.29,0.29,0.10,0.29;;1770861951
next.js documentation;19;720;3.90;0.01;0.00;0.00;269000000;0.05,0.13,0.24,0.11,1.00,0.05,0.20,0.00,0.55,0.00,0.24,0.24;;1769817520
next document;6;110;4.43;0.07;0.00;0.00;1410000000;0.52,0.19,0.23,0.52,0.52,0.33,0.33,0.66,0.66,0.66,0.80,1.00;;1768905049
next .js docs;11;50;4.16;0.01;0.00;0.00;213000;0.66,0.80,1.00,1.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00;;1767285221
