Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
extrapolate ai;5;90;0.00;0.06;50.00;0.00;4150000;0.66,0.53,0.28,0.17,0.17,0.17,0.17,0.23,0.12,0.17,0.12,0.10;;1768949913
extrapolate app;6;70;0.00;0.12;25.00;0.00;4000000;0.66,0.53,0.17,0.12,0.12,0.12,0.10,0.12,0.05,0.05,0.05,0.05;;1769935305
ai aging app;22;260;0.76;0.53;0.00;0.00;263000000;0.53,0.66,0.66,0.82,0.66,1.00,1.00,0.66,0.43,0.53,0.43,0.28;;1768276732
aging app ai;20;40;0.00;0.62;0.00;0.00;238000000;1.00,0.14,0.14,0.14,0.14,1.00,0.14,0.14,0.14,0.14,0.14,0.14;;1766285285
make you look old app;83;30;0.59;0.54;0.00;0.00;4920000000;0.17,0.41,0.52,0.64,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1768384063
aging face software;75;50;1.82;0.17;0.00;0.00;338000000;0.12,0.06,0.28,0.34,0.06,0.06,0.06,1.00,0.06,0.06,0.06,0.00;;1767861554
aging face software;83;50;1.82;0.17;0.00;0.00;338000000;0.12,0.06,0.28,0.34,0.06,0.06,0.06,1.00,0.06,0.06,0.06,0.00;;1767861554
ageing apps;78;50;0.46;0.35;0.00;0.00;65100000;0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00;;1767562449
photo ageing app;50;170;0.59;0.50;0.00;0.00;2230000000;0.81,0.65,0.34,0.12,0.81,0.65,1.00,0.81,0.65,0.34,0.43,0.34;;1769151328
age transformer;84;70;0.00;0.03;0.00;0.00;97700000;0.55,0.77,0.77,0.77,0.77,0.77,0.77,0.55,0.55,0.77,0.77,0.77;;1767227793
aging ai app;23;30;1.08;0.66;0.00;0.00;188000000;0.11,0.11,0.11,1.00,0.11,0.17,0.17,0.11,0.11,0.05,0.00,0.00;;1772230400
aged photo app;64;30;0.77;0.54;0.00;0.00;1550000000;0.00,0.00,0.71,0.57,0.42,0.71,0.57,0.71,0.42,0.42,0.42,0.28;;1772458712
ai age progression tools;49;40;0.00;0.00;0.00;0.00;89500000;0.00,0.00,0.00,0.00,0.09,0.09,0.81,0.81,0.63,0.81,1.00,0.27;;1771628288
app to make you look old;68;30;0.59;0.54;0.00;0.00;5420000000;0.08,0.08,0.18,0.03,0.08,0.01,0.03,0.01,0.03,0.03,0.03,0.01;;1767248240
age ai app;27;50;1.08;0.66;0.00;0.00;1900000000;0.00,0.00,0.00,0.09,1.00,1.00,1.00,1.00,0.18,0.18,0.18,0.18;;1772074394
ai photo age;84;70;0.98;0.40;0.00;0.00;2230000000;0.00,0.07,1.00,1.00,0.00,0.28,0.00,1.00,0.78,0.64,0.35,0.64;;1770072235
aging software;60;70;0.40;0.19;0.00;0.00;148000000;0.23,0.18,0.11,0.08,0.08,0.11,0.08,0.08,0.11,0.08,0.18,0.11;5;1772089380
ai face aging app;23;40;0.54;0.51;0.00;0.00;127000000;0.14,0.14,0.28,0.14,0.50,0.14,0.78,0.14,1.00,0.14,0.14,0.14;;1769234790
ai aging;52;1600;0.00;0.00;0.00;0.00;334000000;0.01,0.03,0.07,0.08,0.10,1.00,0.07,0.00,0.01,0.02,0.01,0.04;;1769389016
age regression app;65;170;0.78;0.02;0.00;0.00;50500000;0.34,0.34,0.42,0.42,0.53,0.65,0.80,1.00,0.80,0.80,0.80,1.00;;1772325576
age regression app;89;170;0.78;0.02;0.00;0.00;50500000;0.34,0.34,0.42,0.42,0.53,0.65,0.80,1.00,0.80,0.80,0.80,1.00;;1772325576
photo aging software;63;30;0.61;0.35;0.00;0.00;22600000;0.11,0.11,0.11,0.11,0.11,0.11,0.64,0.11,0.11,0.11,0.11,0.11;;1772080005
photo aging software;70;30;0.61;0.35;0.00;0.00;22600000;0.11,0.11,0.11,0.11,0.11,0.11,0.64,0.11,0.11,0.11,0.11,0.11;;1772080005
app that ages photos;61;50;0.77;0.54;0.00;0.00;2060000000;0.45,0.45,0.63,0.00,0.45,0.63,0.63,0.45,0.45,0.45,0.45,0.18;;1768870787
