Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
gemini bot;35;110;1.77;0.23;0.00;0.00;121000000;0.42,0.52,0.42,0.80,0.52,0.52,0.42,0.42,0.42,0.80,0.52,0.52;;1770027962
gemini chat bot;23;590;0.44;0.21;0.00;0.00;97100000;0.30,0.00,0.20,0.36,0.45,0.36,0.30,0.45,0.55,0.36,1.00,1.00;1;1767877673
vercel ai chatbot;24;390;5.64;0.16;0.00;0.00;5310000;0.54,0.66,0.81,1.00,1.00,1.00,0.66,0.81,0.81,0.81,0.54,0.35;;1772292462
vercel ai chatbot;34;390;5.64;0.16;0.00;0.00;5310000;0.54,0.66,0.81,1.00,1.00,1.00,0.66,0.81,0.81,0.81,0.54,0.35;;1772292462
vercel chatbot;26;140;8.00;0.07;0.00;0.00;836000;1.00,0.42,0.66,0.52,1.00,0.80,0.52,0.80,0.80,0.66,0.52,0.33;;1768553191
gemini.goggle .com;89;480;0.04;0.22;0.00;0.00;24000;0.00,1.00,0.00,0.00,0.00;;1767361619
build ai chatbot vercel app;43;260;0.00;0.00;0.00;0.00;1380000;1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1768120766
gemini chatbot api;42;40;0.00;0.20;0.00;0.00;21700000;0.23,1.00,0.11,0.11,0.41,0.23,0.11,0.11,0.11,0.11,0.11,0.11;;1768252593
gemini chatbot javascript;62;390;0.00;0.00;0.00;0.00;521000;0.81,0.81,0.81,0.81,1.00,1.00,0.66,0.66,0.66,0.81,0.00,0.00;;1772274734
ai sdk gemini;22;90;0.00;0.01;0.00;0.00;34700000;0.05,0.10,0.05,0.28,0.43,0.05,0.05,0.05,0.05,0.43,1.00,0.28;;1769862831
vercel ai chat;22;90;5.64;0.16;0.00;0.00;5840000;0.15,0.07,0.80,0.80,0.15,0.00,0.00,1.00,0.80,0.26,0.11,0.07;;1769672710
gemini aai;90;170;0.19;0.28;0.00;0.00;5630000;0.00,0.02,0.00,0.00,0.00,0.00,0.03,0.00,0.08,0.00,0.01,1.00;;1768046067
chatbot gemini;49;30;1.38;0.36;0.00;0.00;78200000;0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.64,0.11;4;1768636933
