Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
ai headshot generator;12;27100;2.64;0.73;77.69;83.33;49300000;0.30,0.44,0.54,0.54,0.54,0.36,0.36,0.36,0.30,0.30,0.30,0.24;;1772400587
ai headshot;11;8100;2.64;0.77;8.63;9.06;164000000;0.36,0.54,0.54,0.66,0.54,0.44,0.44,0.44,0.44,0.66,0.44,0.29;5;1772472113
headshot generator;16;6600;2.73;0.80;6.47;7.01;74800000;0.54,0.81,1.00,1.00,1.00,0.81,0.66,0.81,0.81,0.81,0.66,0.44;5;1772241870
ai headshot generator api;1;40;0.00;1.00;6.47;0.00;4560000;0.64,0.21,1.00,0.21,0.21,0.21,0.21,0.21,0.00,0.14,0.14,0.14;;1771831581
headshots ai;17;880;2.69;0.74;0.71;0.58;174000000;0.45,0.76,0.76,1.00,0.55,0.76,0.55,0.67,0.76,0.67,0.76,0.45;5;1770126179
headshot app ai;12;30;4.13;0.89;0.00;0.00;31000000;0.18,1.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18;;1772485159
headshot app ai;21;30;4.13;0.89;0.00;0.00;31000000;0.18,1.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18;;1772485159
create an ai headshot;11;140;2.50;0.86;0.00;0.00;99200000;0.02,0.23,0.15,0.23,0.12,0.09,0.06,0.09,1.00,0.05,0.06,0.02;;1771384383
how to make ai headshots;20;40;2.09;0.85;0.00;0.00;14000000;0.04,0.22,0.04,0.04,0.29,0.04,0.04,0.04,0.04,0.04,0.04,0.04;;1771090512
how to make ai headshots;36;40;2.09;0.85;0.00;0.00;14000000;0.04,0.22,0.04,0.04,0.29,0.04,0.04,0.04,0.04,0.04,0.04,0.04;;1771090512
create a headshot with ai;20;30;2.84;0.85;0.00;0.00;38200000;0.11,0.05,1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.05,0.11,0.11;;1770569161
ai headshot creator;17;260;2.47;0.82;0.00;0.00;28000000;0.43,0.66,0.82,0.82,1.00,0.82,0.23,0.82,0.35,0.43,0.43,0.35;;1772496616
generate ai headshot;15;30;2.36;0.79;0.00;0.00;38600000;0.77,0.22,0.33,0.44,0.22,0.44,0.33,0.00,0.22,0.55,0.33,0.44;;1770749250
ai generate professional headshots;89;90;2.93;0.62;0.00;0.00;959000;0.16,0.00,0.10,0.01,0.03,0.06,0.13,0.03,0.00,0.00,0.10,0.03;;1772243871
headshot.io;57;3600;0.00;0.00;0.00;0.00;92000000;0.01,0.00,0.04,0.54,0.29,0.29,0.19,0.29,0.00,0.19,0.04,1.00;5;1772553564
ai generate headshot;15;140;2.85;0.59;0.00;0.00;55600000;0.00,0.01,0.01,0.00,0.01,0.07,0.00,0.00,0.00,0.13,0.07,0.08;;1771716787
ai powered headshot generator;13;170;0.00;0.00;0.00;0.00;4190000;0.00,0.00,0.00,0.07,0.11,0.11,0.11,0.14,0.14,0.14,0.26,1.00;;1772085343
blink headshot ai;34;210;0.00;0.64;0.00;0.00;491000;0.23,0.81,0.66,0.44,0.54,1.00,0.28,0.18,0.03,0.03,0.00,0.03;;1772213232
ai headhsot;9;210;2.64;0.77;0.00;0.00;165000000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00;5;1772374776
ai headhsot;24;210;2.64;0.77;0.00;0.00;165000000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00;5;1772374776
make ai headshots;13;30;2.12;0.86;0.00;0.00;5520000;0.18,1.00,1.00,0.18,0.18,0.18,0.18,0.18,0.00,0.18,0.00,0.18;;1772524369
how to create headshots with ai;16;30;3.01;0.86;0.00;0.00;4680000;0.40,1.00,0.80,0.40,0.40,0.40,1.00,0.40,0.40,0.40,0.40,0.40;;1772072691
how to create headshots with ai;18;30;3.01;0.86;0.00;0.00;4680000;0.40,1.00,0.80,0.40,0.40,0.40,1.00,0.40,0.40,0.40,0.40,0.40;;1772072691
ai powered headshots;11;30;2.57;0.56;0.00;0.00;2430000;0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,1.00,0.18;;1771770685
ai headahot;14;50;2.64;0.77;0.00;0.00;165000000;0.04,0.04,0.42,0.23,0.33,0.33,0.14,0.14,0.33,0.14,0.14,0.33;5;1771080776
ai headahot;30;50;2.64;0.77;0.00;0.00;165000000;0.04,0.04,0.42,0.23,0.33,0.33,0.14,0.14,0.33,0.14,0.14,0.33;5;1771080776
creating a professional headshot;91;70;2.56;0.82;0.00;0.00;46400000;0.14,0.21,0.21,0.21,0.28,0.28,0.21,1.00,0.64,1.00,0.35,0.78;;1772063782
headhsot ai;16;30;2.69;0.74;0.00;0.00;164000000;0.00,0.00,0.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;5;1771517276
ai pro headshot;78;50;2.65;0.75;0.00;0.00;26000000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00;;1770257233
pro headshot ai;19;260;2.33;0.69;0.00;0.00;23800000;0.24,0.06,0.08,0.05,0.08,0.62,0.62,0.06,0.08,0.08,0.08,0.06;;1770550900
