Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
js photo gallery;13;90;0.00;0.00;0.00;0.00;256000000;0.26,0.34,0.34,0.42,0.53,0.53,0.19,0.19,0.26,0.26,0.26,0.26;5;1769007886
next.js images;39;70;0.00;0.00;0.00;0.00;571000000;0.72,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00;5;1766368135
next/image;63;1000;0.00;0.00;0.00;0.00;7630000000;0.30,0.24,0.30,0.30,0.65,0.00,1.00,0.00,0.00,0.55,0.24,0.20;5;1769972245
next gallery;8;140;3.03;0.10;0.00;0.00;2050000000;0.35,0.43,0.43,0.82,0.43,0.28,0.28,0.28,0.43,0.53,0.35,0.10;1;1768339613
next photo;27;210;0.00;0.00;0.00;0.00;6060000000;0.53,0.53,0.00,0.80,0.80,1.00,0.80,1.00,1.00,0.80,0.80,1.00;5;1769612276
next pic;28;170;0.00;0.01;0.00;0.00;8030000000;0.65,0.81,0.65,0.81,0.34,1.00,0.81,0.28,0.43,0.43,0.53,0.21;5;1769197356
next pic;38;170;0.00;0.01;0.00;0.00;8030000000;0.65,0.81,0.65,0.81,0.34,1.00,0.81,0.28,0.43,0.43,0.53,0.21;5;1769197356
image gallary;70;140;2.23;0.08;0.00;0.00;2650000000;0.01,0.54,0.00,0.23,0.28,0.00,1.00,0.00,0.28,0.01,0.23,0.01;3,5;1771731324
next js images;36;110;0.00;0.00;0.00;0.00;539000000;1.00,0.35,0.35,0.08,0.06,0.00,0.00,0.00,0.11,0.00,0.00,0.28;5;1767678817
next images;36;590;0.00;0.00;0.00;0.00;7250000000;0.37,0.37,0.68,0.68,0.46,0.02,0.20,0.31,0.25,0.31,0.20,0.16;5;1769573498
js images gallery;9;40;0.00;0.01;0.00;0.00;228000000;0.44,0.44,0.55,0.77,0.44,0.55,0.77,0.55,0.33,0.33,0.33,0.33;;1767600226
nextjs images;35;320;0.00;0.00;0.00;0.00;21900000;0.36,0.66,0.44,0.15,0.66,0.09,0.44,0.06,0.81,0.44,0.36,0.29;5;1768143440
js image gallery;11;110;0.00;0.00;0.00;0.00;292000000;0.64,0.78,0.64,0.78,1.00,1.00,0.78,0.50,0.50,0.64,0.50,0.78;;1769010134
next-images;45;50;0.00;0.00;0.00;0.00;6730000000;0.00,0.00,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;5;1767376835
