Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
mock interview app;34;30;1.79;0.41;0.00;0.00;103000000;1.00,0.18,0.18,0.27,0.18,0.18,0.27,0.18,0.18,0.18,0.18,0.18;;1768290539
mock interview app;39;30;1.79;0.41;0.00;0.00;103000000;1.00,0.18,0.18,0.27,0.18,0.18,0.27,0.18,0.18,0.18,0.18,0.18;;1768290539
interview simulator;68;210;1.33;0.48;0.00;0.00;152000000;0.35,1.00,0.35,0.43,0.43,1.00,0.66,0.35,1.00,0.82,0.23,0.43;;1771369301
mock interview ai app;61;30;2.49;0.89;0.00;0.00;29600000;0.52,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11;;1771843805
ai interview simulation;63;70;1.79;0.38;0.00;0.00;64400000;0.14,0.14,0.14,0.14,0.14,0.06,0.08,0.14,0.14,0.14,0.08,0.02;;1767312445
mock interviewer ai;60;30;1.53;0.67;0.00;0.00;50500000;0.41,0.17,1.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.41;;1771300033
ai mock interview platform;35;50;3.92;0.16;0.00;0.00;15900000;0.09,0.04,0.09,0.14,0.23,0.14,0.19,0.19,0.52,1.00,0.66,0.19;;1772058255
ultracode demo;70;50;0.00;0.26;0.00;0.00;1790;0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1.00,0.05;5;1770332563
ai mock interview platforms;64;70;3.05;0.13;0.00;0.00;22900000;0.00,0.09,0.09,0.00,0.09,0.14,0.09,0.52,0.52,0.42,1.00,0.52;;1767597722
ai mock interview;32;720;1.52;0.57;0.00;0.00;71500000;0.48,0.88,0.88,0.59,1.00,1.00,0.72,0.72,0.72,0.88,0.72,0.59;;1770051051
interview simulator.;38;210;1.33;0.48;0.00;0.00;197000000;0.53,0.81,0.81,0.81,1.00,0.65,0.65,0.53,0.53,0.81,0.81,0.65;;1769784215
interview simulator.;50;210;1.33;0.48;0.00;0.00;197000000;0.53,0.81,0.81,0.81,1.00,0.65,0.65,0.53,0.53,0.81,0.81,0.65;;1769784215
liftoff ai;17;50;3.95;0.23;0.00;0.00;15400000;0.11,0.11,0.11,0.11,0.23,0.17,0.17,0.17,0.23,0.17,0.64,1.00;;1771344056
ai for mock interview;27;30;1.61;0.48;0.00;0.00;67500000;0.57,0.28,0.28,0.42,0.42,1.00,1.00,0.57,0.28,0.14,0.14,0.00;;1770549222
mockinterview ai;38;70;1.80;0.68;0.00;0.00;0;0.64,0.41,1.00,1.00,1.00,0.82,0.00,0.17,0.00,0.00,0.00,0.00;;1767480978
