Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
vercel maintenance mode;1;40;0.00;0.33;94.11;0.00;108000;0.18,0.81,0.36,1.00,1.00,0.36,0.18,0.18,0.18,0.36,0.18,0.18;;1771796417
bootstrap maintenance page;8;90;0.00;0.00;2.94;0.00;5020000;0.64,0.64,0.64,1.00,0.64,0.64,0.41,0.29,0.41,0.64,0.41,0.41;5;1771185443
maintenance page bootstrap;11;90;0.00;0.00;2.94;0.00;5600000;1.00,1.00,1.00,1.00,1.00,1.00,0.63,0.45,0.63,1.00,0.63,0.63;;1772580273
sample maintenance page;16;40;0.00;0.04;0.00;0.00;291000000;0.18,0.18,0.18,0.18,1.00,0.18,0.18,0.18,0.18,1.00,0.18,0.18;5;1769673213
page maintenance;9;90;0.00;0.01;0.00;0.00;1450000000;0.33,0.42,0.52,0.04,0.52,1.00,0.42,0.42,0.09,0.42,0.23,0.33;5;1771962630
website maintenance page;20;110;2.18;0.06;0.00;0.00;1400000000;0.09,0.66,0.52,0.52,0.66,0.23,0.23,1.00,1.00,0.33,0.23,0.23;5;1769603655
maintenance web page template;24;40;0.00;0.12;0.00;0.00;107000000;0.07,0.07,0.07,0.42,0.07,0.42,0.07,0.19,0.26,0.07,0.07,0.07;5;1770129950
maintenance page template;16;40;0.00;0.12;0.00;0.00;201000000;0.09,0.09,0.09,0.52,0.09,0.52,0.09,0.09,0.09,0.09,0.09,0.09;5;1768870927
site maintenance page examples;14;40;0.00;0.04;0.00;0.00;322000000;0.18,0.18,0.18,0.18,1.00,0.18,0.18,0.18,0.18,1.00,0.18,0.18;;1769860803
example maintenance page;13;40;0.00;0.04;0.00;0.00;505000000;0.04,0.06,0.04,0.04,0.22,0.04,0.04,0.14,0.14,0.22,0.04,0.04;5;1772057042
maintenance page examples;11;50;0.00;0.04;0.00;0.00;335000000;0.01,0.00,0.00,0.01,0.03,0.01,0.00,0.02,0.01,0.03,0.01,0.00;5;1772057218
website maintenance page template;28;30;4.37;0.25;0.00;0.00;93600000;0.07,0.07,0.07,0.07,0.07,0.07,0.11,0.11,0.07,0.42,0.07,0.07;5;1770042692
site maintenance page template;15;30;4.37;0.25;0.00;0.00;142000000;0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.64,0.11,0.11;5;1770102322
site maintenance page template;20;30;4.37;0.25;0.00;0.00;142000000;0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.64,0.11,0.11;5;1770102322
site maintenance page template;40;30;4.37;0.25;0.00;0.00;142000000;0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.64,0.11,0.11;5;1770102322
js maintenance;23;110;2.13;0.11;0.00;0.00;169000000;0.42,0.42,0.52,0.52,0.66,0.66,0.66,0.52,0.42,0.42,0.52,0.33;1;1767554659
down for maintenance page;82;90;0.00;0.01;0.00;0.00;986000000;0.23,0.33,0.33,0.80,0.52,0.52,0.33,0.42,0.42,1.00,0.52,0.23;5;1770311963
maintenance site template;32;40;0.00;0.08;0.00;0.00;112000000;0.18,0.18,0.00,0.18,1.00,0.18,1.00,0.18,0.36,0.36,0.18,0.18;5;1767299743
bootstrap maintenance page;13;90;0.00;0.00;0.00;0.00;5020000;0.64,0.64,0.64,1.00,0.64,0.64,0.41,0.29,0.41,0.64,0.41,0.41;5;1771185443
maintenance page bootstrap;23;90;0.00;0.00;0.00;0.00;5600000;1.00,1.00,1.00,1.00,1.00,1.00,0.63,0.45,0.63,1.00,0.63,0.63;;1772580273
maintenance page;19;480;5.42;0.03;0.00;0.00;1630000000;0.06,0.10,0.13,0.13,0.20,0.24,0.36,0.16,1.00,0.76,0.45,0.45;5;1768344320
site maintenance page;26;90;2.18;0.06;0.00;0.00;1340000000;0.07,0.42,0.42,0.42,0.34,0.26,0.19,0.26,0.19,0.53,0.19,0.19;5;1769603852
