Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
medusa storefront;2;90;0.00;0.01;64.70;0.00;774000;0.29,0.52,0.05,0.11,0.11,0.64,0.64,1.00,1.00,0.64,0.64,1.00;5;1771161175
medusa.js;4;1300;8.25;0.09;35.29;100.00;2070000;0.10,0.08,0.04,0.05,0.65,0.13,0.13,1.00,0.65,0.00,0.13,0.08;;1770495884
medusa app;11;90;0.00;0.00;0.00;0.00;47400000;1.00,0.65,0.43,0.15,0.15,0.15,0.09,0.21,0.15,0.09,0.15,0.15;5;1771960983
medusajs frontend;14;70;0.00;0.14;0.00;0.00;12300;0.11,0.41,1.00,0.11,0.23,1.00,0.52,0.82,0.11,0.00,0.11,0.11;;1770055246
medusa latest;13;50;0.00;0.00;0.00;0.00;43900000;0.00,0.50,1.00,0.50,0.35,0.50,0.35,0.21,0.00,0.21;5;1770251081
medusa storefront;16;90;0.00;0.01;0.00;0.00;774000;0.29,0.52,0.05,0.11,0.11,0.64,0.64,1.00,1.00,0.64,0.64,1.00;5;1771161175
medusa storefront;19;90;0.00;0.01;0.00;0.00;774000;0.29,0.52,0.05,0.11,0.11,0.64,0.64,1.00,1.00,0.64,0.64,1.00;5;1771161175
nextjs starter;28;260;3.72;0.07;0.00;0.00;4010000;0.66,1.00,0.82,0.82,0.82,1.00,0.66,0.53,0.66,0.53,0.53,0.28;;1772177198
medusa commerce;8;70;8.38;0.16;0.00;0.00;2060000;0.19,0.52,0.42,0.04,0.23,0.33,0.42,0.33,0.14,0.33,0.52,0.23;;1769923068
medusajs b2b;32;50;0.00;0.86;0.00;0.00;6330;1.00,0.52,0.82,0.11,0.11,0.41,0.23,0.11,0.11,0.11,0.11,0.11;;1772085873
medusa store;4;140;0.00;0.01;0.00;0.00;31200000;0.26,0.34,0.34,0.07,0.65,0.65,0.80,0.65,0.53,0.80,0.65,1.00;3;1771160601
medusa store;17;140;0.00;0.01;0.00;0.00;31200000;0.26,0.34,0.34,0.07,0.65,0.65,0.80,0.65,0.53,0.80,0.65,1.00;3;1771160601
