Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
vercel admin dashboard template;1;40;0.00;0.33;100.00;0.00;51900;0.14,0.64,0.78,0.64,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14;5;1771110425
next dashboard;48;140;0.00;0.00;0.00;0.00;571000000;0.33,0.66,0.42,0.66,0.66,0.33,0.52,0.52,0.52,1.00,1.00,1.00;5;1767433736
next dashboard;49;140;0.00;0.00;0.00;0.00;571000000;0.33,0.66,0.42,0.66,0.66,0.33,0.52,0.52,0.52,1.00,1.00,1.00;5;1767433736
next js admin dashboard;28;70;1.98;0.17;0.00;0.00;27500000;0.50,0.64,0.50,0.64,0.50,0.50,0.35,0.50,0.50,0.35,0.35,0.14;5;1770031500
admin panel template;15;170;0.00;0.10;0.00;0.00;106000000;0.08,0.06,0.20,0.03,0.03,0.24,0.06,0.30,0.20,0.13,0.08,0.13;5;1770462070
next js dashboard template;13;70;2.61;0.14;0.00;0.00;39000000;0.63,0.27,0.81,0.81,0.18,0.45,0.63,0.81,1.00,0.63,0.45,0.27;5;1770332164
nextjs dashboard template;16;70;2.61;0.14;0.00;0.00;3880000;0.07,0.26,0.42,0.34,0.34,0.15,0.34,0.11,1.00,0.03,0.03,0.34;5;1770904958
next js dashboard;20;110;4.87;0.06;0.00;0.00;133000000;0.53,0.53,0.42,0.34,0.34,0.42,0.34,0.53,0.42,0.34,0.11,0.42;;1770472463
nextjs admin dashboard;31;30;1.98;0.17;0.00;0.00;3270000;0.29,0.17,0.41,0.17,0.05,0.05,0.11,0.17,0.11,0.11,0.05,0.11;;1769467103
next js template free;32;30;2.33;0.15;0.00;0.00;135000000;0.18,0.63,0.18,1.00,0.27,0.18,0.18,0.18,0.09,0.45,0.18,0.18;;1768235084
next admin;52;50;2.73;0.03;0.00;0.00;1100000000;1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.64,0.64,0.64,0.11;;1767340405
nextjs dashboard;45;110;3.20;0.10;0.00;0.00;10100000;0.82,0.41,0.82,1.00,1.00,0.82,0.52,0.29,0.64,0.29,0.29,0.64;;1767389193
free admin template;79;110;4.02;0.11;0.00;0.00;211000000;0.15,1.00,0.06,0.28,0.05,0.11,0.06,0.18,0.15,0.15,0.11,0.08;5;1770391452
