Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
vercel ai templates;35;170;0.00;0.05;0.00;0.00;2790000;0.01,0.01,0.01,0.55,0.01,0.01,0.01,0.01,1.00,0.03,0.01,0.01;;1768937542
vercel ai templates;77;170;0.00;0.05;0.00;0.00;2790000;0.01,0.01,0.01,0.55,0.01,0.01,0.01,0.01,1.00,0.03,0.01,0.01;;1768937542
vercel chatbot;10;140;8.00;0.07;0.00;0.00;836000;1.00,0.42,0.66,0.52,1.00,0.80,0.52,0.80,0.80,0.66,0.52,0.33;;1768553191
next js ai chatbot;61;30;4.80;0.25;0.00;0.00;156000000;0.00,0.00,1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.00;;1770055713
vercel chat;16;140;4.63;0.05;0.00;0.00;13100000;0.07,0.07,0.80,1.00,0.80,0.65,0.80,0.42,0.42,0.53,0.53,0.26;;1769604460
next.js ai chatbot;96;140;0.00;0.05;0.00;0.00;135000000;0.01,0.01,0.01,0.06,0.01,0.00,0.00,0.00,0.00,1.00,0.00,0.01;;1767573979
usechat ai sdk;72;170;0.00;0.02;0.00;0.00;20100;0.04,0.02,0.04,0.23,1.00,0.29,0.23,0.23,0.23,0.29,0.23,0.09;5;1768987086
vercel chat sdk;7;110;0.00;0.01;0.00;0.00;1260000;0.00,0.03,0.00,0.03,0.80,1.00,0.65,1.00,0.80,0.53,0.42,0.42;;1768889470
vercel ai chatbot github;8;40;0.00;0.33;0.00;0.00;2710000;0.00,0.11,1.00,0.11,0.11,0.64,0.11,0.11,0.11,0.11,0.11,0.11;;1768889481
next ai chatbot;32;50;4.71;0.48;0.00;0.00;3470000000;0.14,0.50,0.14,0.64,0.14,1.00,0.50,0.50,0.28,0.14,0.14,0.14;;1767930773
ai sdk usechat;84;110;0.00;0.02;0.00;0.00;20100;0.04,0.04,0.04,1.00,0.52,0.80,1.00,0.09,0.52,0.80,0.52,0.33;5;1769012903
vercel ai chat;9;90;5.64;0.16;0.00;0.00;5840000;0.15,0.07,0.80,0.80,0.15,0.00,0.00,1.00,0.80,0.26,0.11,0.07;;1769672710
