Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
next js admin dashboard;1;70;1.98;0.17;22.97;21.15;27500000;0.50,0.64,0.50,0.64,0.50,0.50,0.35,0.50,0.50,0.35,0.35,0.14;5;1770031500
shadcn admin;4;170;3.56;0.02;14.86;25.00;294000;0.43,0.12,0.43,0.53,0.53,1.00,0.23,0.82,0.35,0.28,0.23,0.35;;1771964536
next dashboard;3;140;0.00;0.00;12.16;0.00;571000000;0.33,0.66,0.42,0.66,0.66,0.33,0.52,0.52,0.52,1.00,1.00,1.00;5;1767433736
next js dashboard template;2;70;2.61;0.14;12.16;14.74;39000000;0.63,0.27,0.81,0.81,0.18,0.45,0.63,0.81,1.00,0.63,0.45,0.27;5;1770332164
nextjs dashboard template;2;70;2.61;0.14;12.16;14.74;3880000;0.07,0.26,0.42,0.34,0.34,0.15,0.34,0.11,1.00,0.03,0.03,0.34;5;1770904958
nextjs admin dashboard;1;30;1.98;0.17;9.45;8.33;3270000;0.29,0.17,0.41,0.17,0.05,0.05,0.11,0.17,0.11,0.11,0.05,0.11;;1769467103
shadcn admin dashboard;5;140;0.00;0.04;8.10;0.00;147000;0.03,0.05,0.03,0.05,0.05,0.04,0.04,0.03,0.02,1.00,0.02,0.21;5;1767837374
shadcn dashboard;7;390;5.06;0.03;4.05;9.61;455000;0.54,0.66,0.66,0.81,0.54,0.66,0.54,1.00,0.81,0.81,0.66,0.81;5;1771813414
next js dashboard;5;110;4.87;0.06;1.35;2.56;133000000;0.53,0.53,0.42,0.34,0.34,0.42,0.34,0.53,0.42,0.34,0.11,0.42;;1770472463
shadcn dashboard template;5;110;3.11;0.07;1.35;1.92;165000;0.02,0.06,0.02,0.05,0.05,0.04,0.54,0.02,1.00,0.02,0.15,0.09;5;1771071191
nextjs dashboard;4;110;3.20;0.10;1.35;1.92;10100000;0.82,0.41,0.82,1.00,1.00,0.82,0.52,0.29,0.64,0.29,0.29,0.64;;1767389193
shadcn next js template;8;40;0.00;0.11;0.00;0.00;325000;0.14,0.28,0.28,1.00,0.78,0.14,0.14,0.14,0.14,0.14,0.14,0.14;5;1771618169
shadcn dashboard;17;390;5.06;0.03;0.00;0.00;455000;0.54,0.66,0.66,0.81,0.54,0.66,0.54,1.00,0.81,0.81,0.66,0.81;5;1771813414
admin dashboard layout;40;30;2.52;0.37;0.00;0.00;6910000;0.00,1.00,0.29,0.05,0.05,0.00,0.00,0.00,0.29,0.00,0.05,0.00;5;1772501709
admin dashboard layout;58;30;2.52;0.37;0.00;0.00;6910000;0.00,1.00,0.29,0.05,0.05,0.00,0.00,0.00,0.29,0.00,0.05,0.00;5;1772501709
shadcn templates;26;260;4.78;0.10;0.00;0.00;546000;0.82,0.66,0.66,0.43,0.53,0.82,0.53,0.43,1.00,0.53,1.00,1.00;5;1771910264
shadcn dashboard templates;7;40;3.11;0.07;0.00;0.00;124000;0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.52,1.00;5;1771764130
vercel admin dashboard template;5;40;0.00;0.33;0.00;0.00;51900;0.14,0.64,0.78,0.64,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14;5;1771110425
shadcn free templates;24;40;0.00;0.05;0.00;0.00;356000;0.23,0.11,0.11,0.11,0.11,1.00,0.23,0.41,0.11,0.11,0.11,0.11;;1767415827
next admin;11;50;2.73;0.03;0.00;0.00;1100000000;1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.64,0.64,0.64,0.11;;1767340405
shadcn layout example;22;40;0.00;0.33;0.00;0.00;167000;0.14,0.14,0.28,0.14,0.14,1.00,0.14,0.64,0.14,0.14,0.14,0.14;5;1769301187
shadcn dashboard components;39;70;0.00;0.03;0.00;0.00;263000;0.64,0.11,1.00,0.41,0.52,0.41,0.52,0.11,0.82,0.23,0.64,0.11;5;1772362885
nextjs shadcn;14;90;0.00;0.01;0.00;0.00;1290000;0.11,1.00,1.00,0.82,0.41,0.52,0.41,0.41,0.41,0.41,0.41,0.41;5;1768905040
