Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
nextjs boilerplate;1;210;3.66;0.06;63.41;69.09;1610000;0.65,0.81,1.00,1.00,0.81,0.34,0.34,0.65,0.65,0.34,0.34,0.34;;1768178169
next js boilerplate;1;170;2.77;0.07;26.82;21.81;2770000;0.65,0.65,0.65,0.09,0.43,0.65,0.65,1.00,0.65,0.28,0.65,0.53;;1772409603
next.js boilerplate;1;50;3.66;0.06;7.31;7.63;2990000;1.00,0.04,0.09,0.14,1.00,0.04,0.04,0.14,0.09,0.19,0.19,0.52;;1767599085
create next app;25;1600;4.25;0.07;1.21;1.45;4860000000;0.44,0.65,0.82,0.65,0.44,0.65,0.65,0.55,0.82,0.55,0.44,0.44;;1768601090
boilerplate;37;12100;0.88;0.00;1.21;0.00;14600000;0.06,0.07,0.07,0.06,0.06,0.07,0.04,0.06,0.04,0.06,0.07,0.04;0,1;1772229402
shopify 模板;68;70;0.92;0.39;0.00;0.00;1520000;0.45,0.63,0.63,0.63,0.63,0.45,0.81,0.63,0.81,1.00,0.63,0.63;;1767387386
community-run saas boilerplates security patches;30;50;0.00;0.00;0.00;0.00;58300;0.11,1.00,0.55,0.22;;1767919226
next-app;94;40;0.81;0.01;0.00;0.00;9090000000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.16,0.00,0.00;;1767944156
http://localhost:3000';85;480;0.00;0.00;0.00;0.00;5400000;1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00;;1768273964
boilerpalte;47;90;0.88;0.00;0.00;0.00;4990000;0.00,0.00,0.23,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.00;0,1;1770529086
vercel nextjs;11;210;10.71;0.04;0.00;0.00;3570000;0.43,0.65,0.53,0.34,0.43,0.65,0.34,1.00,1.00,0.81,0.65,0.65;1;1767668342
nextjs server;96;90;50.00;0.14;0.00;0.00;23700000;0.28,0.28,0.34,0.34,0.43,0.15,0.28,0.28,0.21,0.34,0.06,0.06;;1767555629
boiler plates;45;210;0.00;0.00;0.00;0.00;16500000;0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.03,0.03,0.01,0.02,0.00;1;1767733234
nect js;88;170;3.56;0.04;0.00;0.00;655000000;0.00,0.00,0.00,0.00,0.00,0.44,0.00,0.00,0.36,0.81,1.00,0.00;1;1767231949
shopify模板;67;70;0.92;0.39;0.00;0.00;1540000;0.63,0.81,1.00,0.81,0.81,0.36,0.18,0.45,0.81,0.00,0.36,0.45;5;1767387495
boilder plate;32;140;0.88;0.00;0.00;0.00;4770000;0.00,0.15,0.00,0.36,0.09,0.00,1.00,0.00,0.54,0.09,0.00,0.00;0,1,5;1770749904
next js route;67;90;2.86;0.01;0.00;0.00;136000000;0.12,0.15,0.00,0.36,0.23,0.00,0.00,0.00,0.00,0.66,0.01,0.00;;1770862342
next js getting started;32;210;3.17;0.02;0.00;0.00;662000000;0.66,0.66,0.53,0.28,0.53,0.53,0.43,0.82,0.53,0.23,0.53,0.28;;1767185247
next.js 16;76;320;3.68;0.01;0.00;0.00;651000000;0.02,0.02,0.02,0.02,0.03,0.02,0.03,0.03,0.08,0.08,0.10,1.00;;1767362105
next js landing pages;65;30;4.40;0.21;0.00;0.00;54600000;0.09,0.00,0.00,0.36,0.45,0.81,0.09,0.09,0.81,0.00,0.00,1.00;;1767599788
next js landing page;20;90;4.40;0.21;0.00;0.00;54200000;0.64,0.64,0.52,0.52,1.00,1.00,0.82,0.23,0.17,0.41,0.41,0.23;5;1767344577
