Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
next js ecommerce;1;140;5.00;0.21;18.18;18.59;23200000;0.53,0.53,1.00,0.34,0.80,0.65,0.53,0.42,0.42,0.80,0.65,0.42;5;1767216633
next commerce;3;390;7.12;0.04;16.57;24.07;747000000;0.07,0.08,0.16,0.16,0.31,0.46,1.00,0.07,0.11,0.07,0.05,0.11;;1772096120
nextjs ecommerce;1;90;4.44;0.19;11.76;10.61;6340000;0.02,0.10,0.04,0.05,0.08,0.00,0.02,0.03,0.04,0.02,0.02,0.00;5;1772338951
next.js commerce;1;70;6.44;0.12;9.09;11.92;95600000;0.66,0.42,0.80,1.00,0.66,0.00,0.00,0.04,0.09,0.04,0.00,0.00;;1767732126
nextjs commerce;1;70;4.82;0.30;9.09;8.86;7830000;0.10,0.17,0.35,0.10,0.02,0.05,0.10,0.35,0.10,0.17,0.07,0.43;;1769955810
next js commerce;1;110;4.82;0.30;7.48;7.33;97100000;0.43,0.43,0.34,0.43,0.43,0.53,0.34,0.43,0.21,0.28,0.28,0.21;;1769677681
nextjs ecommerce starter;1;50;0.00;0.33;6.41;0.00;56900;0.14,0.14,0.14,0.14,0.28,0.35,0.50,0.14,1.00,0.78,0.28,0.14;;1767340129
next js shopify;2;50;4.79;0.21;3.20;3.06;7230000;0.29,0.29,0.41,0.41,0.23,0.11,0.11,1.00,0.11,0.11,0.11,0.11;;1771251450
nextjs ecommerce template;5;140;2.08;0.31;3.20;1.31;2190000;0.34,0.15,0.65,0.26,0.26,0.53,0.26,0.65,1.00,0.42,0.53,0.80;;1768935641
commerce js;4;70;4.64;0.32;2.13;1.96;194000000;0.09,0.12,0.09,0.09,0.19,0.06,0.12,0.12,0.09,0.06,0.00,0.00;;1770319536
commerce next;7;590;7.12;0.04;2.13;3.06;907000000;0.08,0.13,0.11,0.16,0.24,0.55,1.00,0.08,0.03,0.05,0.13,0.05;1;1769536284
next js ecommerce template;6;90;2.08;0.31;1.60;0.65;6770000;0.17,1.00,0.41,0.64,0.64,0.52,0.52,0.29,0.52,0.41,0.64,0.29;5;1768869432
nextmerce;7;390;5.61;0.29;1.60;1.75;860;0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.04,0.04;;1772440796
ecommerce template;15;720;3.13;0.38;1.60;0.98;250000000;0.25,0.16,0.37,0.25,0.68,0.37,0.46,0.46,0.68,0.46,0.37,0.37;;1768319709
ecommerce js;4;40;4.42;0.13;1.06;0.87;34100000;0.18,0.18,0.18,0.18,1.00,0.18,0.18,0.18,0.18,1.00,0.18,0.18;;1770551589
js ecommerce;4;40;4.42;0.13;1.06;0.87;34000000;0.18,0.18,0.18,0.18,1.00,0.18,0.18,0.18,0.18,1.00,0.18,0.18;;1770551838
nextjs shopify;2;30;4.79;0.21;1.06;0.98;2030000;0.05,0.28,0.07,0.00,0.07,0.00,0.05,0.23,0.05,0.00,0.05,0.05;5;1769591858
commercejs;4;30;4.64;0.32;0.53;0.43;117000000;0.28,0.35,0.10,0.00,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1772446952
commerce.js;5;40;4.64;0.32;0.53;0.43;149000000;0.28,0.06,0.28,0.53,0.06,0.06,0.00,0.00,0.00,0.03,0.21,0.21;;1769859725
ecommerce examples;41;170;1.57;0.17;0.00;0.00;177000000;0.09,0.19,0.23,0.15,0.15,0.06,0.04,0.66,0.23,0.44,0.54,0.44;5;1769724600
shopify 模板;16;70;0.92;0.39;0.00;0.00;1520000;0.45,0.63,0.63,0.63,0.63,0.45,0.81,0.63,0.81,1.00,0.63,0.63;;1767387386
cms js;47;30;5.08;0.42;0.00;0.00;197000000;0.28,0.71,1.00,0.14,0.71,0.14,0.00,0.57,0.00,0.42,0.00,0.71;;1771343137
nextjs pages router;85;70;0.00;0.01;0.00;0.00;4940000;0.41,0.64,0.11,0.64,0.64,0.64,0.52,0.52,0.41,0.41,0.11,0.11;;1772017387
e commercw;48;40;3.96;0.32;0.00;0.00;1100000000;0.00,0.02,0.00,0.02,0.00,0.00,0.00,0.00,0.02,1.00,0.00,0.00;;1767884066
magento demo sites;58;70;4.66;0.27;0.00;0.00;5310000;0.18,0.18,0.45,0.45,0.45,0.45,0.63,0.45,0.81,0.81,0.81,1.00;;1768439696
printful. inc;56;320;1.06;0.50;0.00;0.00;941000;0.08,0.41,0.30,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.36;1;1769014250
