Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
headless wordpress with next.js;4;40;0.00;0.09;100.00;0.00;249000;0.00,0.11,0.22,0.77,1.00,0.44,0.11;;1767923637
wp headless;14;40;10.06;0.16;0.00;0.00;5400000;0.27,0.18,0.27,0.18,0.27,0.27,0.27,0.18,1.00,0.63,0.63,0.36;;1767565996
nextjs wordpress;7;40;4.00;0.23;0.00;0.00;20000000;0.65,0.03,0.15,0.15,0.07,0.11,0.00,0.07,0.07,0.07,0.07,0.03;;1772015286
next js wordpress;8;40;4.00;0.23;0.00;0.00;37700000;0.29,0.29,0.29,0.41,0.41,0.41,0.11,0.11,0.11,0.11,0.11,0.11;;1772410636
next js headless cms;17;70;4.64;0.10;0.00;0.00;1050000;0.50,0.50,0.78,0.50,0.64,0.50,0.50,0.35,0.50,0.50,0.50,0.78;;1767207044
headless cms wordpress;10;90;6.89;0.27;0.00;0.00;1190000;0.42,0.42,0.42,0.33,0.52,0.33,0.42,0.52,1.00,0.80,0.33,0.14;;1767642860
headless wordpress examples;18;70;3.91;0.57;0.00;0.00;852000;0.29,0.11,0.11,0.41,0.41,0.52,0.17,1.00,1.00,0.11,0.11,0.11;5;1769858050
headless cms next js;39;30;5.69;0.45;0.00;0.00;1030000;1.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18;;1767671998
best headless cms for nextjs;87;40;4.25;0.54;0.00;0.00;146000;0.22,0.22,0.33,0.33,0.33,1.00,0.77,0.77,0.55,0.33,1.00,0.22;;1770150968
headless wordpress theme;9;30;4.90;0.71;0.00;0.00;970000;0.18,0.18,0.18,0.18,0.18,0.18,0.27,0.09,0.18,1.00,0.18,0.18;;1767925719
wordpress as a headless cms;41;110;7.51;0.44;0.00;0.00;1310000;0.33,0.52,0.52,0.52,0.80,0.80,0.52,1.00,0.42,0.52,0.33,0.33;;1769963435
headless wordpress cms;14;50;11.91;0.53;0.00;0.00;1320000;0.36,0.27,0.18,0.63,0.27,0.36,0.18,1.00,0.63,0.36,0.63,0.18;;1769778577
