Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
once ui;7;170;0.00;0.04;33.33;0.00;331000000;0.65,0.53,0.53,0.65,1.00,1.00,0.28,0.53,0.34,0.28,0.21,0.28;5;1772192653
next js ui;8;90;4.00;0.12;22.22;53.33;144000000;0.50,0.78,0.50,0.78,0.64,0.78,0.64,0.64,0.64,0.64,0.64,0.35;;1767614273
nextjs ui;8;110;3.52;0.09;22.22;46.66;23100000;0.11,0.53,0.80,0.65,0.34,0.15,0.19,0.19,0.26,0.26,0.34,1.00;;1769144304
next ui;12;880;0.00;0.01;0.00;0.00;606000000;0.46,0.68,0.84,0.52,0.25,0.37,0.68,0.25,0.31,0.31,0.25,0.20;5;1769546328
vercel ui;11;110;6.38;0.15;0.00;0.00;8170000;0.41,0.41,0.41,0.52,0.41,0.41,0.64,1.00,0.82,0.82,0.41,0.64;;1770870658
vercel ai ui generator;92;40;0.00;0.43;0.00;0.00;104000;0.11,0.23,0.82,0.64,0.41,0.11,0.23,0.11,0.00,0.11,0.11,0.11;;1771399522
self-hosted saas starters vercel docker customizable ui;66;40;0.00;0.00;0.00;0.00;15400;0.18,1.00,0.09,0.00;;1767866793
next-ui;21;210;0.00;0.00;0.00;0.00;584000000;0.05,0.00,0.02,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00;5;1769414540
next js ui library;44;90;4.31;0.10;0.00;0.00;61600000;1.00,0.64,0.78,1.00,0.50,0.78,0.64,0.64,0.50,0.78,0.21,0.28;5;1771960579
next js ui library;78;90;4.31;0.10;0.00;0.00;61600000;1.00,0.64,0.78,1.00,0.50,0.78,0.64,0.64,0.50,0.78,0.21,0.28;5;1771960579
nextjs ui library;9;90;4.31;0.10;0.00;0.00;14900000;0.50,0.50,0.78,0.78,0.50,0.64,0.50,0.50,0.50,0.50,0.50,0.50;;1769540633
nextjs ui components;11;90;4.44;0.14;0.00;0.00;16800000;0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.04,1.00,0.00,0.04;5;1767784341
next js component library;42;140;2.41;0.06;0.00;0.00;113000000;0.80,0.52,0.52,0.80,0.66,0.66,0.42,0.42,0.80,0.52,0.52,0.66;;1769182988
once design;15;50;0.00;0.01;0.00;0.00;1680000000;0.53,0.00,0.00,0.00,0.42,0.00,0.00,0.00,0.00,0.00,0.00,1.00;;1772505230
