Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
open source ai claude vercel;1;260;0.00;0.00;96.74;0.00;169000;1.00,0.00,0.00,0.00,0.00,0.00,0.00;;1767777116
open source ai claude vercel github;4;260;0.00;0.00;1.39;0.00;123000;1.00,0.00,0.00,0.00,0.00,0.00,0.00;;1767810731
open source ai vercel github;6;260;0.00;0.00;0.93;0.00;469000;1.00,0.00,0.00,0.00,0.00,0.00,0.00;;1767819284
ai artifacts;5;110;0.00;0.00;0.93;0.00;105000000;0.11,0.26,0.26,0.53,0.26,0.42,0.53,0.34,0.19,0.65,1.00,0.34;;1770383594
artifacts llm;54;50;0.00;0.00;0.00;0.00;1070000;0.11,0.11,0.41,0.11,1.00,0.23,0.23,0.11,1.00,0.11,0.00,0.00;;1767915729
anthropic open source;53;50;0.00;0.01;0.00;0.00;20300000;0.09,0.19,0.09,0.09,0.09,0.52,0.52,0.09,1.00,0.09,0.09,0.09;;1768985005
fragments by e2b;5;110;0.00;0.02;0.00;0.00;11700;0.01,0.01,0.01,0.01,1.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01;5;1767707331
artifacts ai;15;110;6.88;0.03;0.00;0.00;105000000;0.52,0.33,0.52,0.80,0.14,0.00,0.42,0.66,0.80,0.42,0.23,1.00;;1770310258
openai artifacts;27;40;0.00;0.33;0.00;0.00;716000;0.14,0.14,0.64,0.28,0.50,1.00,0.14,0.14,0.14,0.14,0.14,0.14;;1772110990
code artifacts;16;70;2.61;0.03;0.00;0.00;99900000;0.65,0.53,0.28,0.34,0.03,0.15,0.00,0.09,0.09,0.12,0.34,0.12;;1769957100
fragments ai;53;50;0.00;0.33;0.00;0.00;72700000;0.05,0.05,0.05,1.00,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05;;1769881678
chatgpt artifacts;53;90;0.00;0.33;0.00;0.00;10700000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.13,0.13;5;1768158368
vercel documentation;69;110;0.00;0.02;0.00;0.00;10900000;0.00,0.80,0.42,0.33,1.00,0.33,0.52,0.52,0.66,0.42,0.52,0.52;;1768923623
anthropic's artifacts;16;170;0.00;0.00;0.00;0.00;1040000;0.35,0.44,0.35,0.23,0.28,0.18,0.18,1.00,0.54,0.23,0.11,0.08;5;1768078133
anthropic artifacts;18;170;0.00;0.00;0.00;0.00;1450000;0.05,0.04,0.03,0.03,0.03,0.01,0.13,0.07,0.03,0.01,0.01,0.02;;1770189752
