Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
payload;24;9900;2.30;0.01;100.00;100.00;0;0.24,0.29,0.36,0.29,0.29,0.29,0.36,0.24,0.24,0.29,0.29,0.29;0,1;1772321463
payload cms price;85;110;2.57;0.34;0.00;0.00;214000;1.00,0.44,0.35,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.28,0.03;;1770531688
payload cms;31;2400;1.78;0.42;0.00;0.00;6190000;0.66,0.66,0.44,0.66,0.66,0.44,1.00,0.80,0.80,0.52,0.80,0.80;;1772556782
patload;32;70;2.30;0.01;0.00;0.00;48600000;1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;5;1770736424
payload cms migrate;47;40;0.00;0.33;0.00;0.00;39400;0.78,0.14,0.50,0.14,0.64,0.14,0.14,0.14,0.14,0.14,0.14,0.14;;1771015932
paylod;26;110;2.30;0.01;0.00;0.00;43900000;1.00,0.00,0.00,0.00,0.00,0.00,0.81,0.81,0.00,0.18,0.00,0.02;1;1771210194
payloa;26;170;2.30;0.01;0.00;0.00;47900000;0.45,0.00,0.00,0.55,0.24,0.00,0.36,0.00,0.00,0.00,0.00,0.00;1;1772415180
vercel admin dashboard template;50;40;0.00;0.33;0.00;0.00;51900;0.14,0.64,0.78,0.64,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14;5;1771110425
paiload;26;140;2.30;0.01;0.00;0.00;48800000;0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00;5;1770077844
ayload;28;140;2.30;0.01;0.00;0.00;48400000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00;5;1770275340
payload cms github;25;110;0.00;0.02;0.00;0.00;752000;0.64,0.64,0.82,0.82,0.82,0.64,0.52,0.82,0.52,0.52,0.64,0.52;;1770489999
