Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
pino logging;7;260;8.37;0.04;63.63;78.37;5830000;0.09,0.12,0.12,0.19,0.23,0.23,0.36,0.54,0.54,0.54,0.44,1.00;5;1767236191
pino js;10;110;0.00;0.00;18.18;0.00;24000000;0.11,0.18,0.18,0.18,0.18,0.18,0.15,0.18,0.18,0.18,0.23,0.15;;1772017167
pino logger;17;590;8.37;0.04;9.09;10.81;131000;0.81,0.54,1.00,0.81,0.67,0.81,0.67,0.67,0.67,0.81,0.67,0.67;;1768141036
nextjs logger;6;70;12.16;0.03;0.00;0.00;23400000;0.21,0.64,0.50,1.00,0.00,0.07,0.28,1.00,0.78,0.21,0.35,0.64;;1767264799
pino log;8;70;7.27;0.03;0.00;0.00;35100000;0.28,0.18,0.06,0.01,0.08,0.08,0.23,0.18,0.03,0.05,0.15,0.03;;1770717971
pino log;11;70;7.27;0.03;0.00;0.00;35100000;0.28,0.18,0.06,0.01,0.08,0.08,0.23,0.18,0.03,0.05,0.15,0.03;;1770717971
pino logging levels;46;90;0.00;0.00;0.00;0.00;4220000;1.00,0.63,1.00,0.63,1.00,1.00,1.00,0.63,0.81,0.81,0.81,1.00;;1767718812
next logger;19;50;9.73;0.05;0.00;0.00;34200000;0.15,0.28,0.00,0.28,0.06,0.28,0.21,0.15,0.28,0.00,0.21,0.12;;1768876478
pino http;26;90;0.00;0.00;0.00;0.00;96600000;0.41,0.23,0.41,0.64,0.64,0.41,0.29,1.00,0.64,0.52,0.23,0.64;;1769251605
pino logs;23;50;7.27;0.03;0.00;0.00;35300000;0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.43,1.00,0.00;;1768896418
pino-http;28;40;0.00;0.00;0.00;0.00;97300000;0.33,0.00,0.66,0.04,0.00,0.00,0.52,0.00,0.00,0.00,0.52,0.00;;1769215397
nextjs logging;12;90;12.16;0.03;0.00;0.00;23400000;0.26,0.42,0.26,0.42,0.53,0.53,0.34,0.34,0.19,0.26,0.42,0.15;;1767236020
next js logging;23;70;0.00;0.02;0.00;0.00;136000000;0.04,0.14,0.04,0.09,0.04,1.00,0.00,0.42,0.52,0.33,0.33,0.66;;1768903823
next logging;16;50;9.73;0.05;0.00;0.00;373000000;0.12,0.12,0.17,0.17,0.17,0.17,0.17,0.00,0.12,0.00,0.17,0.00;;1770199027
what is pino;79;140;0.00;0.00;0.00;0.00;89600000;0.80,0.42,0.66,1.00,0.52,0.52,0.52,0.42,0.42,0.52,0.80,0.80;;1769584002
