Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
vercel platforms;2;50;0.00;0.04;100.00;0.00;15800000;1.00,0.64,0.00,0.00,0.11,0.00,0.11,0.52,0.11,0.00,0.52,0.41;;1770065540
startkit;22;140;0.00;0.29;0.00;0.00;3290000;0.42,0.42,0.53,0.07,0.53,0.65,0.53,0.53,0.65,1.00,0.26,0.34;5;1769764525
startkit;37;140;0.00;0.29;0.00;0.00;3290000;0.42,0.42,0.53,0.07,0.53,0.65,0.53,0.53,0.65,1.00,0.26,0.34;5;1769764525
vercel nextjs;19;210;10.71;0.04;0.00;0.00;3570000;0.43,0.65,0.53,0.34,0.43,0.65,0.34,1.00,1.00,0.81,0.65,0.65;1;1767668342
kit platform;36;40;8.22;0.37;0.00;0.00;866000000;0.09,0.09,0.09,0.14,0.23,0.09,0.09,0.09,0.09,0.80,0.09,0.09;;1767882182
routing emoji;63;50;0.00;0.33;0.00;0.00;366000;0.28,1.00,0.50,0.14,0.64,0.28,0.14,0.14,0.64,0.14,0.14,0.14;5;1770735952
next js vercel;12;110;4.81;0.04;0.00;0.00;5830000;0.42,0.09,0.52,0.80,1.00,0.80,0.00,0.52,0.80,0.33,0.33,0.52;1;1768245269
nextjs starter kit;72;70;3.43;0.10;0.00;0.00;1620000;0.02,0.02,0.02,0.02,0.02,0.02,0.54,0.15,0.04,0.02,0.02,0.06;;1771053625
self-hosted saas starters vercel docker customizable ui;32;40;0.00;0.00;0.00;0.00;15400;0.18,1.00,0.09,0.00;;1767866793
self-hosted saas starters vercel docker customizable ui;41;40;0.00;0.00;0.00;0.00;15400;0.18,1.00,0.09,0.00;;1767866793
platformize;74;170;0.00;0.03;0.00;0.00;7140;0.08,0.28,0.35,0.66,0.44,0.44,0.35,0.28,0.18,0.35,0.15,0.08;;1772099035
js platform;67;70;3.90;0.15;0.00;0.00;425000000;0.42,0.07,0.34,0.26,0.26,0.26,0.34,0.19,0.19,0.26,0.15,0.34;5;1768403194
next starter;84;110;0.00;0.04;0.00;0.00;6220000000;0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.72,0.39,0.02,0.02,0.02;;1769109035
nextjs starters;72;40;3.55;0.11;0.00;0.00;3380000;0.29,0.23,0.41,0.64,0.00,0.52,0.00,0.00,0.11,0.41,0.17,0.00;5;1770520370
vercel examples;44;40;0.00;0.33;0.00;0.00;5280000;0.09,0.19,0.09,1.00,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09;5;1770482000
next js starter;78;70;3.60;0.05;0.00;0.00;51200000;0.05,0.64,0.17,0.64,0.52,0.82,0.17,0.52,0.05,0.23,0.00,0.64;;1767528160
nextjs starter;63;260;3.72;0.07;0.00;0.00;4010000;0.66,1.00,0.82,0.82,0.82,1.00,0.66,0.53,0.66,0.53,0.53,0.28;;1772177198
vercel next;5;40;0.00;0.01;0.00;0.00;16100000;1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.64,0.11,0.11,0.11;;1768230538
vercel enterprise;42;140;0.00;0.01;0.00;0.00;5450000;0.52,0.02,0.05,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.04;1;1767658807
nextjs starter kits;47;40;0.00;0.33;0.00;0.00;239000;0.64,0.14,0.14,0.78,0.64,0.14,0.14,0.14,0.28,0.14,0.14,0.14;;1767941722
next.js vercel;34;50;5.18;0.07;0.00;0.00;4540000;0.64,1.00,0.41,0.29,0.05,0.00,0.00,0.00,0.00,0.00,0.82,0.82;1;1771504190
vercel next js;23;210;4.88;0.07;0.00;0.00;5660000;0.35,0.66,0.53,1.00,0.53,0.53,0.35,1.00,0.53,0.43,0.10,0.28;1;1769605578
