Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
vercel generative ui;3;30;6.10;0.21;66.66;66.66;614000;0.21,0.35,0.28,0.35,0.28,0.14,0.14,0.14,0.14,0.14,0.14,0.14;5;1770787583
vercel ai sdk ui;10;1000;6.32;0.08;33.33;33.33;1850000;0.34,0.34,0.34,1.00,0.34,0.34,0.34,0.34,0.34,0.00,0.03,0.00;;1770325438
ai chat react component;10;30;5.78;0.54;0.00;0.00;26300000;0.22,1.00,0.44,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22;;1767973908
vercel ui;27;110;6.38;0.15;0.00;0.00;8170000;0.41,0.41,0.41,0.52,0.41,0.41,0.64,1.00,0.82,0.82,0.41,0.64;;1770870658
gen ui;10;90;5.60;0.06;0.00;0.00;691000000;0.03,0.18,0.03,0.18,0.03,0.03,0.03,0.28,1.00,0.00,0.15,0.00;;1770091037
vercel ai elements react ui integration;8;260;0.00;0.04;0.00;0.00;187000;0.44,0.54,0.44,0.81,1.00,0.81,0.44,0.66,0.44,0.00,0.00,0.00;;1772061028
vercel ai chatbot;52;390;5.64;0.16;0.00;0.00;5310000;0.54,0.66,0.81,1.00,1.00,1.00,0.66,0.81,0.81,0.81,0.54,0.35;;1772292462
vercel chatbot;12;140;8.00;0.07;0.00;0.00;836000;1.00,0.42,0.66,0.52,1.00,0.80,0.52,0.80,0.80,0.66,0.52,0.33;;1768553191
genui app;8;70;0.00;0.33;0.00;0.00;550000;0.00,0.00,0.00,0.01,0.18,1.00,0.03,0.03,0.03,0.03,0.03,0.03;;1770076472
vercel ai elements;44;140;0.00;0.03;0.00;0.00;946000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.36,1.00;;1767881268
build ai chatbot vercel app;53;260;0.00;0.00;0.00;0.00;1380000;1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1768120766
vercel chat;84;140;4.63;0.05;0.00;0.00;13100000;0.07,0.07,0.80,1.00,0.80,0.65,0.80,0.42,0.42,0.53,0.53,0.26;;1769604460
vercel ai components;28;50;11.98;0.07;0.00;0.00;2460000;0.12,0.12,0.06,0.06,0.06,0.06,0.06,0.06,0.06,1.00,0.06,0.06;;1767913531
ai chat ui react;9;30;3.22;0.37;0.00;0.00;35100000;0.00,0.11,0.11,0.23,1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11;;1772326774
open source chatbot interface next.js;27;390;0.00;0.00;0.00;0.00;587000;1.00,0.00,0.00,0.00,0.00,0.00;;1768127029
open source chatbot interface next.js;31;390;0.00;0.00;0.00;0.00;587000;1.00,0.00,0.00,0.00,0.00,0.00;;1768127029
ai sdk ui;88;70;5.52;0.17;0.00;0.00;86600000;0.04,0.04,0.04,0.04,0.04,0.09,1.00,0.09,0.80,0.80,0.52,0.80;5;1772058331
chatbot ui framework;52;50;4.90;0.33;0.00;0.00;11100000;0.09,0.19,0.09,0.09,0.14,0.14,0.09,0.14,0.33,0.42,1.00,0.42;;1767597124
vercel ai chat;64;90;5.64;0.16;0.00;0.00;5840000;0.15,0.07,0.80,0.80,0.15,0.00,0.00,1.00,0.80,0.26,0.11,0.07;;1769672710
