Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
seo starter;6;260;0.00;0.06;75.00;0.00;24000000;0.04,0.03,0.03,0.26,0.17,0.26,0.11,0.48,1.00,0.48,0.02,0.04;;1769706216
next-seo;15;590;0.00;0.00;25.00;0.00;2590000000;0.04,0.04,0.04,0.82,0.00,0.03,0.11,1.00,0.03,0.02,0.02,0.00;;1770194015
seo starter package;99;480;0.00;0.02;0.00;0.00;21600000;0.05,0.03,0.08,0.08,0.16,0.20,0.45,0.20,0.76,0.76,1.00,0.67;;1767490518
seo starter kit;32;50;0.00;1.00;0.00;0.00;5580000;0.00,0.18,0.18,0.27,0.27,0.45,0.45,0.36,1.00,1.00,0.81,0.36;;1767573694
vercel seo;2;30;13.23;0.13;0.00;0.00;1420000;0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,1.00,0.18,0.18,0.18;;1767568848
template seo;23;170;5.47;0.29;0.00;0.00;81200000;0.01,0.02,0.12,0.81,0.00,1.00,0.00,0.19,0.12,0.15,0.15,0.36;;1771326999
seo next js;35;70;4.36;0.02;0.00;0.00;82600000;0.07,0.07,0.07,0.42,0.07,0.07,0.07,0.07,0.07,0.42,0.42,0.80;;1769300392
next js seo;23;880;8.04;0.04;0.00;0.00;65900000;0.16,0.13,0.10,0.13,0.24,0.20,0.08,0.20,0.54,0.66,1.00,0.79;;1771254523
next js seo;30;880;8.04;0.04;0.00;0.00;65900000;0.16,0.13,0.10,0.13,0.24,0.20,0.08,0.20,0.54,0.66,1.00,0.79;;1771254523
seo templates for website;27;40;5.67;0.06;0.00;0.00;28500000;0.18,0.63,0.63,0.63,1.00,0.00,0.00,0.18,0.18,0.09,0.63,0.09;;1770565110
