Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
vercel stock;4;480;1.51;0.01;75.00;53.44;1280000;0.20,0.20,0.16,0.16,0.13,0.16,0.55,1.00,0.30,1.00,0.67,0.36;;1769971010
stockbot;6;320;3.90;0.35;25.00;46.55;66400;0.36,0.45,0.30,0.03,0.16,0.16,0.36,0.20,0.16,0.20,0.24,0.20;;1772227263
vercel stocks;3;40;1.51;0.01;0.00;0.00;1510000;0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.23,0.82,1.00,0.64;;1771026295
how to buy groq stock;44;50;3.20;0.82;0.00;0.00;801000;0.14,0.14,0.21,0.28,0.21,0.14,1.00,1.00,0.50,0.64,0.14,0.14;;1768902003
how to buy groq stock;53;50;3.20;0.82;0.00;0.00;801000;0.14,0.14,0.21,0.28,0.21,0.14,1.00,1.00,0.50,0.64,0.14,0.14;;1768902003
can you api tradingview screener;73;480;0.00;0.00;0.00;0.00;123000;1.00,0.00,0.00,0.00,0.00;;1772204406
groq stocks;42;50;1.63;0.12;0.00;0.00;358000;0.00,0.01,0.02,0.01,0.01,0.01,0.13,0.03,0.01,0.01,0.04,0.00;;1771415073
chatbot stock;16;70;2.27;0.22;0.00;0.00;103000000;0.01,0.01,0.05,0.11,0.01,0.01,0.01,0.01,0.05,0.05,0.01,0.03;;1768353038
buy groq stock;40;30;3.66;0.82;0.00;0.00;327000;0.18,0.18,0.18,0.18,0.18,0.18,0.45,1.00,0.27,0.36,0.36,0.18;;1772057089
answer engine ai vercel;40;210;0.00;0.00;0.00;0.00;131000;1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1771692819
groq ticker;32;40;1.23;0.27;0.00;0.00;34000;0.14,0.14,0.35,0.14,0.14,0.14,1.00,0.50,0.14,0.14,0.14,0.14;;1768938039
groq stock price today;32;90;1.21;0.18;0.00;0.00;165000;0.11,0.03,0.07,0.07,0.07,0.19,1.00,1.00,0.07,1.00,0.42,0.26;;1771312169
ai chatbot stocks;17;30;3.04;0.60;0.00;0.00;365000000;0.64,0.11,0.11,0.11,0.11,0.17,0.11,0.11,0.11,0.11,0.11,0.11;4;1770312109
ai chatbot stocks;21;30;3.04;0.60;0.00;0.00;365000000;0.64,0.11,0.11,0.11,0.11,0.17,0.11,0.11,0.11,0.11,0.11,0.11;4;1770312109
groq chatbot;90;30;2.84;0.27;0.00;0.00;390000;0.14,0.14,0.14,0.14,0.21,0.21,0.14,0.21,0.14,0.21,0.28,0.21;;1771765268
vercel stock price;8;50;0.00;0.33;0.00;0.00;460000;0.11,0.11,0.11,0.11,0.23,0.11,0.17,0.11,0.11,1.00,0.64,1.00;;1767968571
