Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
saas boilerplate vercel deployment tiered subscriptions;1;50;0.00;0.00;97.56;0.00;5270;0.14,1.00,1.00,0.57;;1768131785
stripe nextjs;8;140;6.40;0.06;2.43;100.00;0;0.53,0.43,0.53,0.53,0.34,0.53,0.34,0.34,0.43,0.21,0.21,0.15;;1772589688
stripe checkout for subscriptions;45;30;6.40;0.19;0.00;0.00;36900000;0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.42,0.07,0.07,0.07,0.07;;1769846633
supabase stripe integration;8;40;5.58;0.05;0.00;0.00;781000;0.64,0.50,0.14,0.14,0.14,0.50,0.14,0.14,0.14,1.00,0.14,0.14;;1770991303
next_public_site_url;43;90;0.00;0.33;0.00;0.00;2150;0.00,0.00,0.00,0.02,0.02,0.05,0.00,0.02,0.02,1.00,0.23,0.02;;1767864256
next js stripe;12;50;0.00;0.04;0.00;0.00;19600000;0.07,0.07,0.07,0.04,0.05,0.01,0.05,0.05,0.07,0.05,0.03,0.04;;1767376837
nextjs stripe;11;40;0.00;0.04;0.00;0.00;13400000;0.03,0.21,0.12,0.28,0.28,0.28,0.28,0.00,0.00,0.00,0.09,0.09;5;1767344989
supabase vercel;25;110;0.00;0.02;0.00;0.00;1290000;0.03,0.03,0.23,0.18,0.03,0.03,0.03,0.03,0.28,0.03,1.00,0.28;;1770407765
stripe supabase integration;6;40;0.00;0.13;0.00;0.00;479000;0.78,1.00,0.14,0.14,0.14,0.50,0.28,0.14,0.14,0.14,0.14,0.14;;1767443973
stripe nextjs;12;140;6.40;0.06;0.00;0.00;0;0.53,0.43,0.53,0.53,0.34,0.53,0.34,0.34,0.43,0.21,0.21,0.15;;1772589688
vercel supabase;8;140;11.14;0.05;0.00;0.00;1100000;0.42,0.42,0.42,0.53,0.53,0.53,0.53,0.53,0.80,0.53,0.53,0.42;;1768311395
supabase stripe;7;110;13.77;0.03;0.00;0.00;1270000;0.42,0.42,0.52,0.52,1.00,0.66,0.42,0.42,0.33,0.52,0.42,0.42;;1767260168
