Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
nextjs supabase starter kit;1;40;0.00;0.02;42.66;0.00;23300;0.00,0.00,0.64,0.11,0.11,0.11,0.11,0.11,1.00,0.11,0.11,0.11;6;1767944248
supabase next js;2;210;0.00;0.01;36.00;0.00;2160000;0.18,0.66,0.54,1.00,0.08,0.66,0.66,0.66,0.10,0.22,0.14,0.54;;1771119083
next_public_supabase_url;3;140;0.00;0.33;12.00;0.00;7180;0.00,0.02,0.02,0.67,0.05,0.02,0.02,0.02,0.00,0.00,0.02,1.00;;1771037929
supabase nextjs;5;480;0.00;0.01;4.00;0.00;2110000;0.66,0.44,1.00,0.81,1.00,0.81,0.54,0.66,0.54,1.00,0.66,0.44;;1770335573
nextjs supabase;4;210;3.20;0.06;2.66;35.29;1780000;0.35,0.29,0.54,0.43,0.29,1.00,0.35,0.43,0.35,0.22,0.29,0.35;;1769525321
vercel supabase;4;140;11.14;0.05;1.33;64.70;1100000;0.42,0.42,0.42,0.53,0.53,0.53,0.53,0.53,0.80,0.53,0.53,0.42;;1768311395
nextjs supabase auth;4;140;0.00;0.03;1.33;0.00;651000;0.00,0.05,0.07,0.11,0.07,0.07,0.07,0.07,0.07,1.00,0.04,0.02;5;1768370252
nextjs supabase setup;8;40;0.00;0.33;0.00;0.00;131000;0.28,0.14,0.14,0.50,1.00,0.14,0.14,0.14,0.50,0.14,0.14,0.14;;1769244238
supabase nextjs auth;5;90;0.00;0.05;0.00;0.00;513000;0.81,0.81,1.00,0.81,0.81,1.00,0.63,0.81,0.81,0.45,0.63,0.45;5;1772128375
supabase auth helpers nextjs;37;90;0.00;0.01;0.00;0.00;8510;0.14,0.09,0.19,0.80,1.00,0.80,0.42,0.52,0.42,0.33,0.23,0.42;;1770407931
supabase auth helpers nextjs;40;90;0.00;0.01;0.00;0.00;8510;0.14,0.09,0.19,0.80,1.00,0.80,0.42,0.52,0.42,0.33,0.23,0.42;;1770407931
vercel nextjs;37;210;10.71;0.04;0.00;0.00;3570000;0.43,0.65,0.53,0.34,0.43,0.65,0.34,1.00,1.00,0.81,0.65,0.65;1;1767668342
supabase next js auth;7;70;0.00;0.02;0.00;0.00;816000;0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.55,0.77,0.77,0.55,0.77;5;1767907782
supabase ui;42;260;6.87;0.02;0.00;0.00;3340000;0.01,0.01,0.01,0.20,1.00,0.30,0.24,0.20,0.16,0.13,0.20,0.13;5;1770407725
nextauth vs supabase auth;26;40;0.00;0.33;0.00;0.00;24000;0.64,0.11,0.11,0.11,0.23,0.11,0.11,0.11,1.00,0.11,0.11,0.00;;1769295571
nextauth vs supabase auth;34;40;0.00;0.33;0.00;0.00;24000;0.64,0.11,0.11,0.11,0.23,0.11,0.11,0.11,1.00,0.11,0.11,0.00;;1769295571
supabase ssr;18;390;0.00;0.00;0.00;0.00;151000;0.66,0.81,1.00,0.81,1.00,0.81,0.66,0.66,0.54,0.54,0.54,0.54;;1769685960
supabase nextjs middleware;25;50;0.00;0.01;0.00;0.00;75200;0.11,0.11,0.11,0.23,1.00,0.11,0.82,0.11,1.00,0.11,0.11,0.11;;1767869526
supabase/auth-helpers-nextjs;39;170;0.00;0.00;0.00;0.00;0;0.05,0.07,0.05,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1772521674
nextjs vercel;45;170;5.18;0.07;0.00;0.00;3990000;0.65,0.65,0.80,0.42,0.53,0.65,0.80,0.53,0.80,0.65,0.53,0.19;1;1770537774
nextjs vercel;50;170;5.18;0.07;0.00;0.00;3990000;0.65,0.65,0.80,0.42,0.53,0.65,0.80,0.53,0.80,0.65,0.53,0.19;1;1770537774
self-hosted saas starters vercel docker customizable ui;96;40;0.00;0.00;0.00;0.00;15400;0.18,1.00,0.09,0.00;;1767866793
supabase/ssr;23;40;0.00;0.00;0.00;0.00;168000;0.03,0.07,0.42,0.15,0.15,0.03,0.00,0.00,0.00,0.00,0.03,0.80;;1768444716
next.js supabase;3;50;4.35;0.05;0.00;0.00;2250000;0.80,0.09,0.09,0.23,1.00,0.04,0.00,0.00,0.00,0.00,0.00,0.52;;1767671093
next js supabase auth;5;50;0.00;0.03;0.00;0.00;889000;0.45,0.63,0.45,0.45,0.45,0.36,0.63,0.63,0.63,0.63,0.36,0.18;;1768370105
supabase authentication nextjs;10;110;0.00;0.02;0.00;0.00;764000;0.64,0.64,0.64,0.82,1.00,0.82,0.64,0.64,0.52,0.41,0.52,0.11;5;1767779739
supabase vercel;4;110;0.00;0.02;0.00;0.00;1290000;0.03,0.03,0.23,0.18,0.03,0.03,0.03,0.03,0.28,0.03,1.00,0.28;;1770407765
vercel next.js;70;30;4.88;0.07;0.00;0.00;5690000;0.42,0.07,0.53,0.53,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00;1;1771762694
vercel next;13;40;0.00;0.01;0.00;0.00;16100000;1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.64,0.11,0.11,0.11;;1768230538
next js supabase;4;90;3.20;0.06;0.00;0.00;2300000;0.05,0.64,0.17,1.00,0.52,0.23,0.82,1.00,0.52,0.64,0.82,0.23;;1772472230
supabase vs vercel;12;40;0.00;0.02;0.00;0.00;980000;0.05,0.05,0.17,0.05,0.64,1.00,0.11,0.11,0.11,0.11,0.11,0.11;;1768885011
nextjs with supabase;3;40;0.00;0.01;0.00;0.00;1700000;0.28,0.14,0.14,0.14,0.14,0.28,0.14,1.00,1.00,0.14,0.14,0.14;;1767876636
supabase auth nextjs;9;140;0.00;0.01;0.00;0.00;693000;0.65,0.53,0.65,1.00,0.65,0.65,0.65,0.53,0.42,0.53,0.42,0.19;5;1769546607
vercel next js;66;210;4.88;0.07;0.00;0.00;5660000;0.35,0.66,0.53,1.00,0.53,0.53,0.35,1.00,0.53,0.43,0.10,0.28;1;1769605578
vercel next js;86;210;4.88;0.07;0.00;0.00;5660000;0.35,0.66,0.53,1.00,0.53,0.53,0.35,1.00,0.53,0.43,0.10,0.28;1;1769605578
