Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
react native starter;6;90;3.82;0.09;100.00;100.00;6080000;0.52,0.52,0.64,0.64,0.64,0.52,0.52,0.52,0.41,0.41,0.41,0.41;;1772241095
turborepo github;91;40;0.00;0.33;0.00;0.00;153000;0.11,0.64,0.41,0.41,0.41,0.41,0.11,0.11,0.11,0.11,0.11,0.11;;1769126536
turborepo next js;19;40;0.00;0.33;0.00;0.00;172000;0.64,0.28,1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14;;1769568511
turbo monorepo;60;110;0.00;0.00;0.00;0.00;155000;0.42,0.80,0.66,0.66,0.52,0.52,0.66,0.66,0.66,0.52,0.52,0.42;;1770371500
turborepo examples;78;90;0.00;0.00;0.00;0.00;15500;0.42,0.33,0.33,0.52,0.52,0.42,0.33,0.33,0.42,0.33,0.33,0.52;5;1767661256
turborepo examples;79;90;0.00;0.00;0.00;0.00;15500;0.42,0.33,0.33,0.52,0.52,0.42,0.33,0.33,0.42,0.33,0.33,0.52;5;1767661256
vercel monorepo;53;40;0.00;0.01;0.00;0.00;213000;0.11,0.11,0.11,0.11,0.64,0.11,0.11,1.00,0.11,0.11,0.11,0.11;;1770537448
create t3 turbo;77;110;0.00;0.00;0.00;0.00;3510000;0.43,0.43,0.34,0.34,0.28,0.34,0.43,0.34,0.34,0.34,0.28,0.21;;1768537104
create t3 turbo;83;110;0.00;0.00;0.00;0.00;3510000;0.43,0.43,0.34,0.34,0.28,0.34,0.43,0.34,0.34,0.34,0.28,0.21;;1768537104
next js react native;11;70;0.00;0.03;0.00;0.00;54200000;0.41,0.52,0.64,0.41,0.41,0.41,0.52,0.52,0.41,0.29,0.41,0.29;1;1771922143
nextjs react native;11;70;0.00;0.03;0.00;0.00;21900000;0.14,1.00,0.64,0.50,0.28,0.64,0.64,0.50,0.35,0.14,0.00,0.00;1;1769807431
