Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
vercel vibe coding;1;40;5.96;0.31;74.41;74.21;659000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.14,0.78;;1767974200
vibe coding platform;7;480;6.08;0.77;23.25;23.43;327000000;0.00,0.00,0.00,0.05,0.05,0.03,0.05,0.07,0.16,1.00,0.65,0.16;;1770742558
vibe coding platforms;8;720;6.08;0.77;2.32;2.34;4070000;0.00,0.00,0.00,0.07,0.16,0.16,0.24,0.41,0.41,0.66,1.00,0.54;5;1769699513
bive coding;84;70;3.68;0.47;0.00;0.00;56600000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00;;1769603884
vai coding;74;40;4.75;0.57;0.00;0.00;6410000;0.80,0.80,0.80,0.80,1.00,0.80,0.80,0.80,0.80,1.00,1.00,0.00;5;1771376424
vive coding;54;170;1.64;0.28;0.00;0.00;6840000;0.00,0.00,0.02,1.00,1.00,0.35,0.66,0.82,0.12,0.28,0.28,0.43;5;1770746517
cloudflare vibe sdk;55;110;0.00;0.06;0.00;0.00;75800;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.32,0.02;;1768746725
vibe code platform;40;140;6.12;0.74;0.00;0.00;74500000;0.00,0.00,0.00,0.00,0.21,0.34,0.53,0.65,1.00,1.00,0.09,0.81;;1767653594
vibe platform;8;30;14.44;0.59;0.00;0.00;207000000;0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,1.00,0.18;;1771759515
vibe platform;27;30;14.44;0.59;0.00;0.00;207000000;0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,1.00,0.18;;1771759515
ai vibe code;59;30;3.78;0.65;0.00;0.00;142000000;0.00,0.00,0.00,0.11,0.55,0.55,1.00,0.77,0.77,0.77,0.00,0.00;;1767978016
cloudflare vibe coding;68;70;7.27;0.48;0.00;0.00;1290000;0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.02,0.02,1.00,0.35,0.82;;1769250425
vibe sdk;5;30;7.95;0.17;0.00;0.00;6300000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.52,0.09;;1771761990
vibecode sandbox;15;30;10.23;0.08;0.00;0.00;13300;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.06,0.06;;1769314405
vibing app;98;590;0.36;0.20;0.00;0.00;20600000;0.00,0.02,0.00,0.00,0.00,0.02,0.00,0.00,0.03,1.00,0.54,0.04;;1769702632
open source code vibe;58;720;0.00;0.00;0.00;0.00;31600000;1.00,0.00;;1772298325
vibe code ai;51;390;4.46;0.73;0.00;0.00;143000000;0.00,0.00,0.01,0.36,1.00,0.66,0.81,0.81,1.00,0.04,0.66,1.00;5;1770817991
