Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
weather maps ai vercel app;6;210;0.00;0.00;35.00;0.00;34800;1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1771233317
weather app vercel;6;210;0.00;0.00;30.00;0.00;279000;1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1769033217
weather ai chatbot vercel;9;480;0.00;0.00;30.00;0.00;38700;1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1770563991
weather ai chatbot vercel;13;480;0.00;0.00;5.00;0.00;38700;1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1770563991
temperature data map vercel;41;210;0.00;0.00;0.00;0.00;46400;1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1772410657
weather maps ai vercel app;93;210;0.00;0.00;0.00;0.00;34800;1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1771233317
weather maps ai vercel;20;210;0.00;0.00;0.00;0.00;26100;1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1771438315
weather chatgpt;8;40;0.19;0.13;0.00;0.00;120000000;0.18,1.00,0.18,0.18,0.18,1.00,0.18,0.18,0.18,0.18,0.18,0.18;;1770494558
weather chatgpt;9;40;0.19;0.13;0.00;0.00;120000000;0.18,1.00,0.18,0.18,0.18,1.00,0.18,0.18,0.18,0.18,0.18,0.18;;1770494558
weather ai chatbot vercel github;88;210;0.00;0.00;0.00;0.00;25400;1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1772500063
weather ai chatbot vercel github;91;210;0.00;0.00;0.00;0.00;25400;1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1772500063
chatgpt weather;6;40;0.25;0.10;0.00;0.00;186000000;0.18,1.00,0.18,0.18,0.18,1.00,0.18,0.18,0.18,0.18,0.18,0.18;;1769128260
