Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
nextstore;8;390;0.56;0.63;100.00;0.00;1220000;0.36,0.67,0.13,0.13,0.30,0.13,0.08,0.30,0.55,0.30,0.24,0.45;;1771351043
next js commerce;22;110;4.82;0.30;0.00;0.00;97100000;0.43,0.43,0.34,0.43,0.43,0.53,0.34,0.43,0.21,0.28,0.28,0.21;;1769677681
ecommerce with stripe;64;90;7.19;0.54;0.00;0.00;19800000;0.50,0.78,0.78,0.50,1.00,0.64,1.00,0.64,0.50,0.64,0.78,0.78;;1769405708
next js ecommerce template;64;90;2.08;0.31;0.00;0.00;6770000;0.17,1.00,0.41,0.64,0.64,0.52,0.52,0.29,0.52,0.41,0.64,0.29;5;1768869432
nextjs commerce;23;70;4.82;0.30;0.00;0.00;7830000;0.10,0.17,0.35,0.10,0.02,0.05,0.10,0.35,0.10,0.17,0.07,0.43;;1769955810
nextjs ecommerce template;40;140;2.08;0.31;0.00;0.00;2190000;0.34,0.15,0.65,0.26,0.26,0.53,0.26,0.65,1.00,0.42,0.53,0.80;;1768935641
stripe nextjs;17;140;6.40;0.06;0.00;0.00;0;0.53,0.43,0.53,0.53,0.34,0.53,0.34,0.34,0.43,0.21,0.21,0.15;;1772589688
stripe storefront;35;1000;7.30;0.03;0.00;0.00;4760000;0.45,1.00,0.81,1.00,0.62,1.00,0.36,0.45,0.81,0.55,0.36,0.45;;1771496059
nextstore;15;390;0.56;0.63;0.00;0.00;1220000;0.36,0.67,0.13,0.13,0.30,0.13,0.08,0.30,0.55,0.30,0.24,0.45;;1771351043
vercel store;11;40;0.00;0.33;0.00;0.00;9300000;0.09,0.18,0.81,0.36,0.09,0.27,0.09,1.00,0.18,0.18,0.18,0.18;1;1771589383
next commerce;17;390;7.12;0.04;0.00;0.00;747000000;0.07,0.08,0.16,0.16,0.31,0.46,1.00,0.07,0.11,0.07,0.05,0.11;;1772096120
next commerce;48;390;7.12;0.04;0.00;0.00;747000000;0.07,0.08,0.16,0.16,0.31,0.46,1.00,0.07,0.11,0.07,0.05,0.11;;1772096120
