Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
nextjs templates;1;1300;2.58;0.24;19.38;22.59;18400000;0.68,0.52,1.00,0.52,0.52,0.46,0.52,1.00,0.46,0.52,0.52,0.52;5;1769793268
next.js templates;1;720;2.58;0.24;10.71;12.49;101000000;0.16,0.16,0.16,0.16,0.30,0.24,0.07,0.07,1.00,0.05,0.16,0.24;;1769220789
nextjs template;1;720;2.58;0.24;10.71;12.49;20100000;1.00,0.76,0.67,0.55,0.55,0.67,0.67,0.24,0.55,0.36,0.45,0.45;5;1771807996
next js template;1;590;2.58;0.24;8.78;10.23;146000000;0.72,0.72,0.72,0.72,0.39,0.17,0.48,0.59,0.48,0.26,1.00,0.48;5;1771020181
next js templates;1;1000;2.58;0.24;7.94;9.25;80400000;0.52,0.46,1.00,0.52,0.84,0.52,0.31,1.00,0.37,0.37,0.25,0.31;;1771158014
next-themes;7;3600;0.00;0.00;6.50;0.00;831000000;0.08,0.10,0.12,0.81,1.00,0.54,0.54,0.01,0.66,0.66,0.16,0.54;;1772398509
next.js template;1;320;2.58;0.24;4.75;5.52;145000000;0.00,0.08,0.10,0.00,0.01,0.01,0.01,0.00,0.00,1.00,0.01,0.30;5;1770782341
next js themes;1;170;2.35;0.18;2.52;2.66;94100000;0.80,0.66,0.52,0.80,1.00,0.66,1.00,0.80,0.80,0.66,0.66,0.66;;1772016936
next themes;5;880;0.00;0.00;2.28;0.00;2000000000;0.72,0.88,1.00,1.00,1.00,0.88,0.72,1.00,0.72,0.72,0.32,0.72;;1772057972
nextjs themes;1;140;2.59;0.14;2.04;2.39;3020000;0.81,0.34,0.34,0.43,0.65,0.34,0.34,0.53,0.43,0.43,0.21,0.34;6;1767288080
themes next;5;720;0.00;0.00;1.86;0.00;2320000000;0.45,0.03,1.00,1.00,1.00,0.67,0.45,0.13,0.13,0.30,0.45,0.36;;1771526141
next js website template;1;110;3.26;0.58;1.62;2.39;92000000;0.53,0.34,0.26,0.53,0.42,0.42,0.26,0.42,0.26,0.26,0.15,0.65;;1772351947
next starter;1;110;0.00;0.04;1.62;0.00;6220000000;0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.72,0.39,0.02,0.02,0.02;;1769109035
next js free templates;1;90;0.00;0.05;1.32;0.00;88300000;0.05,0.05,0.05,0.02,0.02,0.00,0.02,0.02,0.02,1.00,0.02,0.01;;1767819331
next js landing page template;1;90;3.41;0.37;1.32;2.04;10200000;0.41,0.41,0.41,1.00,1.00,0.64,0.41,0.41,0.64,0.41,0.41,0.23;;1769986914
nextjs website template;1;90;3.26;0.58;1.32;1.93;16800000;0.34,0.42,0.19,0.11,0.26,0.53,0.00,1.00,0.07,0.11,0.65,0.80;;1769848208
nextjs starter template;1;90;3.12;0.11;1.32;1.85;10400000;0.66,0.52,0.66,1.00,0.33,0.23,0.23,0.42,0.52,0.33,0.33,0.14;;1772110336
nextjs website templates;1;70;3.26;0.58;1.02;1.49;17500000;0.63,0.63,0.81,0.81,0.36,0.45,1.00,0.81,0.18,0.27,0.63,1.00;;1770768109
next js templates free;1;70;2.33;0.15;1.02;1.06;93800000;0.05,0.12,0.05,0.17,0.12,0.05,0.07,0.05,0.07,0.05,0.05,1.00;;1768229855
next templates;1;70;0.00;0.03;1.02;0.00;478000000;0.33,0.23,0.23,0.23,0.23,0.33,0.33,1.00,0.52,0.00,0.00,0.14;5;1769952370
next template;1;70;0.00;0.05;1.02;0.00;900000000;0.33,0.23,0.42,0.23,0.42,0.33,0.19,0.33,0.33,0.42,0.33,0.33;5,6;1767465725
nextjs landing page template;1;50;3.41;0.37;0.72;1.08;1770000;0.63,0.18,0.09,0.36,0.63,0.09,0.18,0.45,0.81,0.36,1.00,0.27;5;1770350103
next js starters;1;50;3.60;0.05;0.72;1.17;13000000;0.11,0.23,0.23,0.41,0.11,0.00,0.00,0.00,0.29,0.41,1.00,0.29;;1768077483
next js website templates;2;90;3.26;0.58;0.66;0.95;65000000;0.23,0.66,0.19,0.52,0.42,0.42,0.19,0.52,0.33,0.33,0.66,0.66;;1772524357
nextjs landing page templates;1;40;3.74;0.38;0.54;0.89;1690000;1.00,0.77,0.22,0.22,0.55,0.55,0.22,0.44,0.33,1.00,0.00,0.55;;1768262891
next.js themes;1;40;2.59;0.14;0.54;0.62;102000000;0.00,0.00,0.01,0.02,0.02,0.01,0.01,0.10,0.00,0.00,0.01,0.13;6;1767185151
nextjs starters;1;40;3.55;0.11;0.54;0.84;3380000;0.29,0.23,0.41,0.64,0.00,0.52,0.00,0.00,0.11,0.41,0.17,0.00;5;1770520370
nextjs landing page;2;70;3.76;0.40;0.54;0.89;2790000;0.29,0.64,1.00,0.82,0.64,0.52,0.17,0.17,0.17,0.29,0.23,0.00;;1771296553
nextjs theme;2;70;2.35;0.18;0.54;0.57;12300000;0.42,0.23,0.19,0.19,0.19,0.14,0.80,0.23,0.33,0.33,0.80,0.23;5;1769998282
next js starter;1;70;3.60;0.05;0.54;0.87;51200000;0.05,0.64,0.17,0.64,0.52,0.82,0.17,0.52,0.05,0.23,0.00,0.64;6;1767528160
nextjs starter kits;1;40;0.00;0.33;0.54;0.00;239000;0.64,0.14,0.14,0.78,0.64,0.14,0.14,0.14,0.28,0.14,0.14,0.14;;1767941722
nextjs templates free;1;40;2.33;0.15;0.54;0.54;18200000;0.09,0.09,0.09,1.00,0.33,0.09,0.19,0.09,0.14,0.04,0.09,0.09;;1768315572
free nextjs templates;1;30;2.58;0.16;0.42;0.49;16700000;0.15,0.03,0.03,0.15,0.15,0.11,0.15,0.07,0.07,0.07,0.07,0.11;;1767978144
