Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
vercel portfolio template;1;40;2.36;0.25;29.09;27.98;461000;0.07,0.07,0.07,1.00,0.15,0.07,0.07,0.07,0.07,0.07,0.07,0.07;5,6;1769755069
vercel portfolio;1;30;3.83;0.17;21.81;33.95;1400000;0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.08,0.01,0.01,0.01,0.01;6;1771763955
nextjs portfolio template;1;90;2.58;0.30;20.00;20.89;922000;0.17,0.53,0.43,1.00,0.17,0.10,0.00,0.05,0.05,0.12,0.07,0.02;5;1771977470
cobraaitch portfolio;3;140;0.00;0.33;8.18;0.00;6;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00;5;1768472102
react portfolio template;4;110;2.61;0.35;6.36;6.71;21100000;0.53,0.43,0.43,0.43,0.34,0.43,0.28,0.34,0.21,0.21,0.12,0.09;5;1770358460
react js portfolio template;3;70;2.61;0.35;4.54;4.85;6310000;0.41,1.00,0.52,0.82,0.52,0.41,0.29,0.41,0.29,0.41,0.29,0.29;5;1769041286
reactjs portfolio template;3;50;2.61;0.35;3.63;3.73;1540000;0.50,0.28,0.28,1.00,0.21,0.14,0.28,0.28,0.35,0.21,0.28,0.21;5;1770674533
react portfolio templates;3;30;2.61;0.35;1.81;1.86;17800000;0.11,0.26,0.11,0.19,0.07,0.11,0.11,0.07,0.19,0.11,0.00,0.03;;1772232620
porfolio template;35;110;2.35;0.70;0.00;0.00;241000000;0.00,0.59,0.01,0.21,0.00,0.21,0.00,0.00,0.00,0.02,0.39,0.00;5;1771885862
porfolio template;48;110;2.35;0.70;0.00;0.00;241000000;0.00,0.59,0.01,0.21,0.00,0.21,0.00,0.00,0.00,0.02,0.39,0.00;5;1771885862
cs portfolio website;67;170;2.13;0.12;0.00;0.00;213000000;0.80,0.42,0.66,0.66,0.80,0.42,0.80,0.80,1.00,0.66,1.00,0.66;;1772063765
portoflio template;72;110;2.31;0.61;0.00;0.00;221000000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.05,0.00,0.00,1.00;5;1767263691
porfolio website template;34;40;3.83;0.34;0.00;0.00;202000000;0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.10,0.00;5;1768434243
portoflio website;83;140;4.31;0.52;0.00;0.00;641000000;0.00,0.00,0.00,0.13,0.00,0.00,0.36,0.00,0.24,0.00,0.30,0.00;;1769761301
portfolio website template;29;720;3.41;0.49;0.00;0.00;181000000;0.72,0.88,1.00,0.59,1.00,0.88,0.48,0.59,0.72,0.72,0.72,0.72;5;1769583382
