Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
python template;8;480;2.59;0.01;66.66;50.00;137000000;0.66,0.81,0.66,0.54,0.44,0.54,0.54,0.54,0.66,0.54,0.81,0.44;5;1770139546
python templates;4;140;5.14;0.01;33.33;50.00;97700000;0.54,0.18,0.23,0.18,0.28,0.23,0.18,0.11,0.35,0.18,0.23,0.35;;1767632594
vercel python;6;140;0.00;0.01;0.00;0.00;3850000;0.34,0.34,0.53,0.80,0.65,0.80,0.53,0.42,0.80,0.53,0.65,0.65;;1767258632
python template;10;480;2.59;0.01;0.00;0.00;137000000;0.66,0.81,0.66,0.54,0.44,0.54,0.54,0.54,0.66,0.54,0.81,0.44;5;1770139546
templating engine python;70;50;0.00;0.00;0.00;0.00;156000;0.29,0.29,0.29,0.29,0.17,0.29,0.41,0.41,0.05,0.29,0.41,0.41;;1767577711
templates in python;7;30;2.59;0.01;0.00;0.00;98400000;0.14,0.42,0.42,0.28,0.28,0.42,0.14,0.57,0.42,0.71,0.28,0.42;5;1771782774
python template engine;75;90;0.00;0.00;0.00;0.00;45100000;0.23,0.33,0.42,0.52,0.42,0.42,0.42,1.00,0.42,0.33,0.33,0.42;;1768883166
python project template;59;40;0.00;0.00;0.00;0.00;123000000;0.33,0.23,0.23,0.23,0.23,0.09,0.09,0.09,0.09,0.09,0.09,0.09;;1766268518
vercel fastapi;28;70;0.00;0.02;0.00;0.00;333000;0.08,0.01,0.08,0.13,0.01,0.01,0.01,0.08,0.01,0.01,0.08,0.01;;1770469743
python web sample;89;40;2.01;0.07;0.00;0.00;107000000;0.18,1.00,0.27,0.27,0.63,0.63,0.63,0.45,0.27,0.00,0.18,0.00;;1770330798
python boilerplate;34;110;0.00;0.02;0.00;0.00;3590000;0.52,0.64,0.64,0.64,0.64,0.64,0.64,0.52,0.52,0.64,0.64,0.41;;1771892105
template python;13;40;2.59;0.01;0.00;0.00;144000000;0.15,0.34,0.28,0.12,0.34,0.12,0.00,0.00,0.00,0.12,0.00,0.00;5;1768678144
