Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
vercel ui;8;110;6.38;0.15;66.66;75.00;8170000;0.41,0.41,0.41,0.52,0.41,0.41,0.64,1.00,0.82,0.82,0.41,0.64;;1770870658
radix ui;20;5400;4.30;0.02;33.33;25.00;1380000;0.54,0.44,0.54,0.81,0.66,0.81,0.81,0.81,0.81,0.66,0.54,0.81;;1772049919
radix ui;36;5400;4.30;0.02;0.00;0.00;1380000;0.54,0.44,0.54,0.81,0.66,0.81,0.81,0.81,0.81,0.66,0.54,0.81;;1772049919
radix ui;42;5400;4.30;0.02;0.00;0.00;1380000;0.54,0.44,0.54,0.81,0.66,0.81,0.81,0.81,0.81,0.66,0.54,0.81;;1772049919
radix ui github;46;90;0.00;0.00;0.00;0.00;680000;0.50,0.78,0.50,1.00,0.78,0.50,0.78,0.78,0.78,0.78,0.50,0.50;5;1769221940
radix ui table;93;40;0.00;0.33;0.00;0.00;674000;0.09,1.00,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09;;1767562599
radix components;58;70;0.00;0.02;0.00;0.00;4900000;0.42,0.23,0.42,0.42,0.42,0.33,0.42,0.33,0.33,0.33,0.33,0.33;;1772475078
radix themes;25;210;0.00;0.02;0.00;0.00;810000;0.34,0.43,1.00,0.81,0.65,0.81,0.65,0.53,0.43,1.00,0.65,0.81;;1768552024
radix-ui;46;5400;0.00;0.00;0.00;0.00;1320000;0.08,0.16,0.54,0.01,0.54,1.00,0.54,0.81,0.66,0.54,0.19,0.81;;1772246918
radix ui themes;19;70;0.00;0.01;0.00;0.00;105000;0.15,0.28,0.21,0.34,0.34,0.21,0.21,0.28,0.34,0.21,0.15,0.21;;1770242203
vercel examples;17;40;0.00;0.33;0.00;0.00;5280000;0.09,0.19,0.09,1.00,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09;5;1770482000
radix design system;71;50;0.00;0.03;0.00;0.00;5310000;0.05,0.05,0.05,0.05,0.05,0.05,1.00,0.05,0.05,0.05,0.05,0.05;5;1771065486
radix design system;75;50;0.00;0.03;0.00;0.00;5310000;0.05,0.05,0.05,0.05,0.05,0.05,1.00,0.05,0.05,0.05,0.05,0.05;5;1771065486
radix ui components;53;50;0.00;0.04;0.00;0.00;936000;0.11,0.23,0.11,1.00,0.11,0.11,0.11,0.11,0.11,0.11,1.00,0.11;;1770351838
svelte radix;28;40;0.00;0.04;0.00;0.00;69100;1.00,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09;;1766561952
redix ui;38;320;4.30;0.02;0.00;0.00;1390000;0.08,0.27,0.03,0.07,0.13,0.03,0.13,0.03,0.08,0.00,0.10,0.03;;1771697083
radix.ui;53;50;4.30;0.02;0.00;0.00;1340000;0.05,0.08,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1771110507
