Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
react template;2;590;2.30;0.35;25.32;22.63;157000000;0.55,0.55,0.62,0.62,0.45,0.36,0.20,0.20,0.20,0.30,0.30,0.24;5;1770093516
react js templates;2;260;2.30;0.35;11.18;9.97;44400000;0.21,0.48,0.14,0.48,0.14,0.48,0.14,0.48,0.26,0.21,0.17,0.11;5;1771815514
react website templates;4;390;3.45;0.44;8.22;10.99;96100000;0.44,0.44,0.44,0.66,0.54,0.44,0.44,0.54,0.81,0.44,0.44,0.44;;1767825539
react site templates;2;170;3.45;0.44;7.23;9.59;79600000;0.53,0.53,0.53,0.82,0.82,0.35,0.35,0.23,0.35,0.43,0.17,0.28;;1767542664
templates in react;3;260;2.30;0.35;6.90;6.13;69300000;0.45,0.13,0.08,0.20,0.06,0.13,0.30,0.05,0.10,0.30,0.36,0.05;;1770464811
react templates;9;880;2.30;0.35;6.25;5.49;0;0.52,0.52,0.68,0.68,0.68,0.46,0.46,0.37,0.46,0.31,0.31,0.46;5;1771934287
react theme;2;140;2.22;0.20;5.92;4.98;163000000;0.43,0.35,0.43,0.43,0.53,0.23,0.28,0.35,0.28,0.10,0.17,0.12;;1772363369
react app template;1;70;2.95;0.41;5.59;6.39;125000000;0.34,0.42,0.34,0.19,0.34,0.34,0.34,0.26,0.26,0.15,0.19,0.19;;1770407328
react website template;3;140;3.45;0.44;2.96;3.96;128000000;0.08,0.23,0.23,0.28,0.28,0.35,0.44,0.15,0.18,0.08,0.15,0.08;;1767650150
react js themes;4;140;2.22;0.20;2.96;2.42;27600000;0.43,0.28,0.65,0.53,0.34,0.53,0.34,0.34,0.21,0.34,0.43,0.28;5;1769851892
react template website;2;90;3.18;0.49;2.30;2.81;81400000;0.00,0.10,0.23,0.17,0.12,0.43,0.10,0.28,0.12,0.10,0.53,0.17;;1772147194
reactjs templates;3;90;2.30;0.35;2.30;2.04;24800000;0.66,0.08,0.35,0.18,0.03,0.01,0.03,0.44,0.11,0.01,0.05,0.03;;1771844569
reactjs template;3;90;2.30;0.35;2.30;2.04;21800000;0.54,0.54,0.06,0.01,0.02,0.01,0.01,0.01,0.00,0.00,0.02,0.23;5;1769813097
react themes;7;170;2.22;0.20;1.64;1.40;107000000;0.29,0.35,0.35,0.43,0.43,0.54,0.29,0.35,0.35,0.29,0.35,0.29;5;1769411921
react js website templates;3;70;3.45;0.44;1.64;2.17;41200000;0.05,0.23,0.29,0.41,0.52,0.29,0.11,0.29,0.82,0.41,0.52,0.41;;1768363938
react js website template;5;110;3.18;0.49;1.31;1.53;51800000;0.15,0.29,0.36,0.06,0.06,0.09,0.15,0.19,0.19,0.19,0.05,0.09;;1770114619
react js templates free;9;170;2.67;0.22;1.31;1.27;37500000;0.54,0.35,0.29,0.35,0.54,0.22,0.29,0.18,0.35,0.35,0.18,0.22;;1767479728
react web templates;4;70;3.45;0.44;1.31;1.66;102000000;0.66,1.00,0.04,0.04,0.66,0.09,0.19,0.04,0.09,0.66,0.09,0.04;;1768245127
react js template;4;90;2.65;0.33;0.98;0.89;77900000;0.53,0.17,1.00,0.05,0.82,0.05,0.05,0.02,0.05,0.05,0.02,0.05;;1768383510
react js free templates;9;110;1.83;0.29;0.65;0.38;39000000;0.53,0.43,0.34,0.81,0.21,0.12,0.53,0.43,0.21,0.34,0.15,0.12;;1771293438
react.js templates;5;50;2.65;0.33;0.65;0.63;51900000;0.03,0.00,1.00,0.34,0.80,0.03,0.03,0.03,0.03,0.00,0.03,0.03;5;1768381928
