Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
vercel react;3;110;6.51;0.06;100.00;100.00;5040000;0.02,0.02,0.02,0.02,0.23,0.02,0.02,0.02,0.15,1.00,0.02,0.02;;1767488598
crete react app;27;140;4.08;0.25;0.00;0.00;310000000;0.05,0.00,0.46,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.00,0.00;;1771605182
how to deploy a react app;42;110;3.59;0.31;0.00;0.00;49600000;0.42,0.53,0.42,0.42,0.42,0.42,0.42,0.53,0.42,0.26,0.26,0.42;;1769724303
cretae react app;27;70;4.08;0.25;0.00;0.00;398000000;0.00,0.00,0.00,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1769909691
sample reactjs application;77;110;2.75;0.12;0.00;0.00;7890000;0.42,0.52,0.52,0.19,0.42,1.00,0.66,0.42,0.33,0.42,0.66,0.52;;1772377994
deploy a react app;22;70;5.38;0.31;0.00;0.00;43900000;0.35,0.50,0.50,0.28,0.50,1.00,0.35,0.64,0.78,0.50,0.00,0.35;;1771057595
deploy react app;27;210;5.95;0.38;0.00;0.00;48000000;0.29,0.35,0.54,0.35,0.35,0.81,1.00,0.35,0.54,0.54,0.22,0.14;;1767393244
create react ap;23;210;4.08;0.25;0.00;0.00;389000000;0.01,0.07,0.09,0.39,0.14,0.72,0.26,0.48,0.05,0.11,0.17,0.14;;1770721535
create react ap;32;210;4.08;0.25;0.00;0.00;389000000;0.01,0.07,0.09,0.39,0.14,0.72,0.26,0.48,0.05,0.11,0.17,0.14;;1770721535
create new react app;24;210;4.21;0.14;0.00;0.00;283000000;0.36,0.54,0.36,0.36,0.36,0.29,0.23,0.23,0.15,0.19,0.15,0.19;;1771303069
create new react app;39;210;4.21;0.14;0.00;0.00;283000000;0.36,0.54,0.36,0.36,0.36,0.29,0.23,0.23,0.15,0.19,0.15,0.19;;1771303069
create-react-app.;26;90;0.00;0.00;0.00;0.00;394000000;0.00,0.00,1.00,0.00,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1769882997
create-react-app.;34;90;0.00;0.00;0.00;0.00;394000000;0.00,0.00,1.00,0.00,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1769882997
create-react-ap;19;320;0.00;0.00;0.00;0.00;432000000;0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00;;1770553413
build react app;16;110;4.05;0.32;0.00;0.00;346000000;0.22,0.29,0.22,0.22,0.22,0.22,0.18,0.35,0.29,0.22,0.14,0.14;;1769212575
create reactapp;25;40;4.08;0.25;0.00;0.00;381000000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66,0.00,0.00;;1770757576
create rect app;18;110;5.00;0.26;0.00;0.00;400000000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00;;1768380291
creating react application;53;30;5.00;0.26;0.00;0.00;356000000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00;;1767591786
createreactapp;13;90;4.08;0.25;0.00;0.00;294000000;0.11,0.14,0.21,0.00,0.11,0.00,0.04,0.26,0.21,0.00,0.00,0.00;;1771165504
react create app;15;320;3.78;0.23;0.00;0.00;396000000;0.05,0.07,0.03,0.03,0.03,0.02,0.02,0.07,0.02,0.02,0.01,0.01;;1769793846
react create app;25;320;3.78;0.23;0.00;0.00;396000000;0.05,0.07,0.03,0.03,0.03,0.02,0.02,0.07,0.02,0.02,0.01,0.01;;1769793846
creaet react app;28;30;4.08;0.25;0.00;0.00;387000000;0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1770555441
react build app;20;170;4.08;0.25;0.00;0.00;366000000;0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.01,0.00,0.00,0.01,0.01;;1771722909
creare react app;28;30;4.08;0.25;0.00;0.00;387000000;0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1770573354
react app deployment;29;140;5.95;0.38;0.00;0.00;37900000;0.35,0.17,0.43,0.28,0.35,0.53,1.00,0.28,0.35,0.17,0.17,0.53;;1767286295
deploying a react app;49;50;5.95;0.38;0.00;0.00;14900000;0.19,0.19,0.19,0.03,0.15,0.26,0.53,0.19,0.19,0.34,0.07,0.15;;1767387148
