Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
vercel design system;5;110;0.00;0.02;100.00;0.00;4780000;0.41,0.29,0.29,1.00,1.00,0.82,0.41,0.64,0.82,0.41,0.52,0.64;5;1767329709
turborepo github;21;40;0.00;0.33;0.00;0.00;153000;0.11,0.64,0.41,0.41,0.41,0.41,0.11,0.11,0.11,0.11,0.11,0.11;;1769126536
turborepo github;56;40;0.00;0.33;0.00;0.00;153000;0.11,0.64,0.41,0.41,0.41,0.41,0.11,0.11,0.11,0.11,0.11,0.11;;1769126536
changesets turborepo;3;40;0.00;0.33;0.00;0.00;1810;0.36,1.00,0.18,0.63,0.18,0.18,0.36,0.18,0.63,0.18,0.18,0.18;;1771644358
turbo monorepo;24;110;0.00;0.00;0.00;0.00;155000;0.42,0.80,0.66,0.66,0.52,0.52,0.66,0.66,0.66,0.52,0.52,0.42;;1770371500
turbo npm;28;110;0.00;0.00;0.00;0.00;2340000;0.15,0.28,0.21,1.00,0.28,0.34,0.28,0.28,0.21,0.21,0.34,0.28;;1769614108
turborepo examples;41;90;0.00;0.00;0.00;0.00;15500;0.42,0.33,0.33,0.52,0.52,0.42,0.33,0.33,0.42,0.33,0.33,0.52;5;1767661256
what is turborepo;59;140;0.00;0.33;0.00;0.00;168000;0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.00,0.13,0.13;;1767783163
turborepo nextjs;83;70;0.00;0.33;0.00;0.00;241000;0.00,0.02,0.00,0.02,0.02,0.00,0.02,0.02,0.02,0.00,0.02,1.00;5;1772404435
turbo generate;51;50;0.00;0.02;0.00;0.00;56000000;0.11,0.11,0.11,0.11,0.11,0.64,0.64,1.00,0.11,0.11,0.11,0.11;;1768424298
turbo repo;42;720;0.00;0.00;0.00;0.00;16800000;0.59,0.72,0.72,0.88,0.72,0.72,0.72,0.88,0.72,0.59,0.72,0.72;;1769047596
turbo repo;64;720;0.00;0.00;0.00;0.00;16800000;0.59,0.72,0.72,0.88,0.72,0.72,0.72,0.88,0.72,0.59,0.72,0.72;;1769047596
is turborepo free;96;40;0.00;0.33;0.00;0.00;123000;0.18,0.18,0.18,0.18,1.00,0.18,0.81,0.18,0.63,0.18,0.18,0.18;;1768001317
npm turbo;13;90;0.00;0.00;0.00;0.00;2450000;0.12,0.28,0.17,0.28,0.23,0.28,0.23,0.23,0.23,0.23,0.23,0.17;;1769535184
