Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
vite react;17;3600;4.49;0.05;50.00;40.00;52500000;0.65,1.00,1.00,1.00,0.81,0.81,0.65,0.65,0.81,0.54,0.65,0.65;5;1772308782
vercel react;5;110;6.51;0.06;50.00;60.00;5040000;0.02,0.02,0.02,0.02,0.23,0.02,0.02,0.02,0.15,1.00,0.02,0.02;;1767488598
vitereact;43;70;4.49;0.05;0.00;0.00;72900000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.00,0.00,1.00,0.00;5;1769584032
vercel vite;3;40;0.00;0.33;0.00;0.00;1400000;0.14,0.14,0.14,0.50,0.14,1.00,0.14,0.14,0.14,0.14,0.14,0.14;5;1770465087
vite react what is it;53;40;0.00;0.04;0.00;0.00;16100000;0.64,0.14,0.14,1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14;;1770496890
vite react app;16;320;4.51;0.08;0.00;0.00;11900000;0.54,0.81,1.00,0.81,1.00,0.66,0.66,0.81,0.81,0.54,0.54,0.54;;1769716730
vite reactjs;46;140;4.49;0.05;0.00;0.00;3780000;0.00,0.11,0.13,0.05,0.08,0.25,0.11,0.00,0.00,0.08,0.00,0.00;;1769386919
vite template;24;140;0.00;0.01;0.00;0.00;19000000;0.66,0.42,0.66,0.52,1.00,0.80,1.00,0.80,0.66,0.80,0.52,0.33;;1767614165
vite templates;15;140;0.00;0.01;0.00;0.00;7730000;0.43,0.43,0.53,0.43,0.34,0.53,0.43,0.15,0.53,0.21,0.43,0.43;;1767224804
vite react template;12;110;0.00;0.03;0.00;0.00;4860000;0.07,0.42,0.53,0.34,0.42,0.42,0.42,1.00,0.42,0.26,0.26,0.26;5;1767638635
react vite;17;1600;3.79;0.06;0.00;0.00;67900000;0.27,0.36,0.66,0.27,0.36,0.36,1.00,0.36,0.27,0.27,0.36,0.27;;1769790703
vite and react;30;110;3.99;0.03;0.00;0.00;17300000;0.07,0.07,0.53,0.80,0.80,1.00,0.42,0.26,0.26,0.34,0.26,0.34;;1768403168
react + vite;21;40;0.00;0.00;0.00;0.00;50800000;0.05,0.07,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1772366784
react and vite;22;50;9.77;0.03;0.00;0.00;16500000;0.11,0.11,0.11,0.29,0.11,0.11,0.11,0.11,0.41,1.00,0.11,1.00;;1768023981
react-vite;18;320;0.00;0.00;0.00;0.00;17900000;0.05,0.04,0.05,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00;;1769885238
reactjs vite;39;90;6.28;0.03;0.00;0.00;4030000;0.00,0.15,0.00,0.23,0.23,0.04,0.00,0.23,0.00,0.00,0.00,0.23;;1768434748
