Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
saas templates;1;170;3.81;0.43;32.30;32.12;56900000;0.34,0.42,0.42,0.42,0.53,0.26,0.34,0.80,0.65,1.00,1.00,0.80;;1768337246
saas website templates;2;210;4.57;0.87;20.76;24.69;48400000;0.07,0.17,0.35,0.28,0.35,0.43,0.28,0.66,0.66,0.66,1.00,1.00;;1768879025
saas website template;3;210;4.59;0.85;13.07;15.66;72600000;0.34,0.43,0.65,0.53,0.53,0.53,0.65,1.00,1.00,1.00,1.00,1.00;;1771803909
saas template nextjs;1;50;2.01;0.29;9.23;4.81;311000;0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1.00,0.05;;1770738966
next js saas template;1;50;3.69;0.25;9.23;8.83;4650000;0.09,0.33,0.33,0.23,0.42,0.33,0.14,0.23,0.33,0.33,0.14,0.14;;1767704765
saas template;5;170;3.03;0.57;5.38;4.21;58000000;0.53,0.65,0.65,0.80,0.65,0.42,0.42,0.53,0.42,0.65,0.80,1.00;;1772290186
nextjs saas template;4;110;3.69;0.25;5.38;5.02;1360000;1.00,0.35,0.18,0.22,0.14,0.10,0.10,0.08,0.00,0.08,0.08,0.06;6;1767252716
saas web templates;3;30;4.57;0.87;1.53;1.80;14900000;0.00,0.00,0.00,0.00,1.00,0.18,0.18,0.18,0.63,1.00,0.18,0.18;;1769317765
saas landing page templates;6;90;3.19;0.95;1.53;1.20;8370000;0.17,0.64,0.17,0.23,0.41,0.64,0.64,0.29,0.52,0.64,1.00,1.00;;1771815066
saas web;13;390;6.69;0.26;0.76;1.20;134000000;0.66,0.23,0.81,0.36,0.54,0.54,0.29,0.54,0.19,0.66,1.00,0.66;;1770350335
nextjs template;25;720;2.58;0.24;0.76;0.40;20100000;1.00,0.76,0.67,0.55,0.55,0.67,0.67,0.24,0.55,0.36,0.45,0.45;5;1771807996
saas site;8;90;6.69;0.26;0.00;0.00;117000000;0.43,0.03,0.28,0.81,0.09,0.15,1.00,0.03,0.06,0.28,0.34,0.00;;1771662388
