Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
sanity templates;2;90;7.68;0.14;100.00;100.00;4460000;0.02,0.04,0.05,0.05,0.02,0.06,0.02,0.05,1.00,0.05,0.05,0.06;;1772401317
next sanity;87;110;0.00;0.02;0.00;0.00;54700000;0.42,0.42,0.52,0.42,0.52,0.52,0.52,0.33,0.42,0.52,0.42,0.52;;1767720356
vercel portfolio template;25;40;2.36;0.25;0.00;0.00;461000;0.07,0.07,0.07,1.00,0.15,0.07,0.07,0.07,0.07,0.07,0.07,0.07;5;1769755069
next js sanity;41;50;1.32;0.29;0.00;0.00;4250000;0.18,0.18,0.18,1.00,0.36,0.18,0.18,0.18,1.00,1.00,0.18,0.18;5;1770945314
sanity preview;50;50;0.00;0.33;0.00;0.00;10500000;0.14,0.14,0.14,0.21,0.21,0.50,0.64,0.28,0.64,1.00,0.78,0.21;5;1767408262
sanity cloud;33;30;3.15;0.61;0.00;0.00;12100000;0.11,0.11,0.11,0.11,0.23,0.52,0.11,0.11,0.11,0.11,0.11,0.11;5;1767876457
sanity blog;12;70;2.02;0.24;0.00;0.00;53700000;0.09,0.09,0.09,0.52,1.00,0.23,0.09,0.42,0.52,0.80,0.09,0.09;;1770358181
sanity nextjs;46;50;1.47;0.57;0.00;0.00;924000;0.78,0.78,0.00,0.35,0.07,0.35,0.64,0.21,0.35,0.78,0.21,0.00;;1768940422
sanity next js;46;90;1.47;0.57;0.00;0.00;5140000;0.35,0.50,0.78,0.78,1.00,0.78,0.50,0.35,0.64,0.78,0.50,0.35;;1770295689
sanity page builder;29;30;6.78;0.25;0.00;0.00;2240000;0.50,0.50,0.75,1.00,0.75,1.00,0.50,0.75,0.75,0.50,0.75,0.75;5;1769318185
