Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
vercel ai templates;3;170;0.00;0.05;42.85;0.00;2790000;0.01,0.01,0.01,0.55,0.01,0.01,0.01,0.01,1.00,0.03,0.01,0.01;;1768937542
nextjs starter template;7;90;3.12;0.11;28.57;50.00;10400000;0.66,0.52,0.66,1.00,0.33,0.23,0.23,0.42,0.52,0.33,0.33,0.14;;1772110336
start template;10;110;3.88;0.17;14.28;25.00;1020000000;0.80,0.42,1.00,0.52,1.00,0.66,0.19,0.52,0.23,0.52,0.66,0.33;5;1770466687
starter template;8;170;3.88;0.17;14.28;25.00;642000000;0.35,0.23,0.23,1.00,0.54,0.28,0.00,0.28,0.00,0.18,0.00,0.18;5;1771667888
bolt.new templates;22;50;0.00;0.03;0.00;0.00;12400000;0.80,1.00,0.07,0.07,0.03,0.00,0.03,0.00,0.00,0.00,0.07,0.00;5;1772280871
svelte on navigate;78;40;0.00;0.33;0.00;0.00;1960000;0.64,0.11,0.11,0.82,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11;;1768367239
vercel portfolio template;13;40;2.36;0.25;0.00;0.00;461000;0.07,0.07,0.07,1.00,0.15,0.07,0.07,0.07,0.07,0.07,0.07,0.07;5;1769755069
starter templates;13;320;3.88;0.17;0.00;0.00;62500000;0.54,0.54,0.36,0.54,0.36,0.36,0.29,1.00,0.29,0.54,0.29,0.36;5;1771388492
self-hosted saas starters vercel docker customizable ui;11;40;0.00;0.00;0.00;0.00;15400;0.18,1.00,0.09,0.00;;1767866793
starter project;16;50;0.00;0.01;0.00;0.00;315000000;0.11,0.11,0.64,0.64,0.52,0.11,0.11,0.11,0.11,0.11,0.82,0.64;5;1770666155
website starter templates;7;50;5.10;0.37;0.00;0.00;15900000;0.18,0.27,0.36,0.45,0.63,1.00,0.63,0.81,0.63,0.27,0.00,0.00;;1770550121
next starter;14;110;0.00;0.04;0.00;0.00;6220000000;0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.72,0.39,0.02,0.02,0.02;;1769109035
next js starters;8;50;3.60;0.05;0.00;0.00;13000000;0.11,0.23,0.23,0.41,0.11,0.00,0.00,0.00,0.29,0.41,1.00,0.29;;1768077483
nextjs starters;8;40;3.55;0.11;0.00;0.00;3380000;0.29,0.23,0.41,0.64,0.00,0.52,0.00,0.00,0.11,0.41,0.17,0.00;5;1770520370
marketing website starter;19;40;3.38;0.46;0.00;0.00;2560000000;0.07,0.21,0.21,0.35,0.64,1.00,0.07,0.35,0.35,0.35,0.00,0.00;;1768901597
vercel examples;19;40;0.00;0.33;0.00;0.00;5280000;0.09,0.19,0.09,1.00,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09;5;1770482000
vercel examples;21;40;0.00;0.33;0.00;0.00;5280000;0.09,0.19,0.09,1.00,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09;5;1770482000
starter kit app;55;40;0.00;0.57;0.00;0.00;165000000;1.00,0.14,0.78,0.14,0.28,0.14,0.14,0.14,0.14,0.14,0.14,0.14;;1769543794
next js starter;18;70;3.60;0.05;0.00;0.00;51200000;0.05,0.64,0.17,0.64,0.52,0.82,0.17,0.52,0.05,0.23,0.00,0.64;;1767528160
vercel admin dashboard template;34;40;0.00;0.33;0.00;0.00;51900;0.14,0.64,0.78,0.64,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14;5;1771110425
starter pages;29;50;0.70;0.00;0.00;0.00;381000000;0.06,0.06,0.06,0.03,0.06,0.03,1.00,0.53,0.12,0.12,0.03,0.00;5;1771261147
starter pages;85;50;0.70;0.00;0.00;0.00;381000000;0.06,0.06,0.06,0.03,0.06,0.03,1.00,0.53,0.12,0.12,0.03,0.00;5;1771261147
nextjs starter;18;260;3.72;0.07;0.00;0.00;4010000;0.66,1.00,0.82,0.82,0.82,1.00,0.66,0.53,0.66,0.53,0.53,0.28;;1772177198
nextjs starter;57;260;3.72;0.07;0.00;0.00;4010000;0.66,1.00,0.82,0.82,0.82,1.00,0.66,0.53,0.66,0.53,0.53,0.28;;1772177198
vercel optimizely;36;40;0.00;0.33;0.00;0.00;11600;1.00,0.14,0.50,0.14,0.28,0.14,0.14,0.14,0.14,0.14,0.14,0.14;;1772228981
starter site;17;70;0.00;0.03;0.00;0.00;390000000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1771977282
starter site;20;70;0.00;0.03;0.00;0.00;390000000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1771977282
project starter;19;110;0.00;0.04;0.00;0.00;326000000;0.22,0.18,0.04,0.04,0.04,0.04,0.29,0.29,1.00,0.22,0.04,0.04;5;1768391382
start templates;7;30;3.88;0.17;0.00;0.00;535000000;0.00,0.00,0.00,0.52,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00;5;1770493996
nextjs starter kits;23;40;0.00;0.33;0.00;0.00;239000;0.64,0.14,0.14,0.78,0.64,0.14,0.14,0.14,0.28,0.14,0.14,0.14;;1767941722
javascript starter;56;90;0.00;0.08;0.00;0.00;102000000;0.03,0.03,0.03,0.18,0.18,0.18,0.05,1.00,0.11,0.03,0.03,0.03;;1769104005
marketing website starter template;50;50;3.38;0.46;0.00;0.00;228000000;0.00,0.14,0.21,0.35,0.50,1.00,0.50,0.78,0.64,0.14,0.00,0.00;;1770515867
