Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
tailwind templates;3;720;4.49;0.12;30.76;50.00;15400000;1.00,0.59,0.88,0.88,0.88,0.72,0.59,0.59,0.59,0.72,0.59,0.59;5;1767505636
nextjs tailwind templates;1;30;1.13;0.09;17.94;6.60;17800000;0.11,0.11,0.11,1.00,0.11,0.05,0.00,0.11,0.00,0.00,0.00,0.05;5;1771769235
next js tailwind template;1;30;1.13;0.09;17.94;6.60;7740000;0.11,0.41,0.11,0.29,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11;5;1771704423
tailwind css templates;6;390;3.10;0.13;7.69;8.49;15200000;1.00,0.81,0.81,1.00,0.54,0.66,0.66,0.66,0.66,0.66,0.81,0.54;5;1767747253
tailwind template;6;320;4.49;0.12;7.69;12.26;11100000;0.44,0.44,0.36,0.54,0.67,0.44,0.29,0.29,0.36,0.12,0.10,0.07;5;1767786495
tailwindcss templates;3;140;3.10;0.13;5.12;5.66;13600000;0.28,0.28,0.23,0.11,0.44,0.15,0.35,0.15,0.28,0.18,0.44,0.23;;1767357716
tailwind css template;5;210;2.65;0.20;5.12;4.71;9710000;0.34,0.81,1.00,0.81,0.53,1.00,0.53,1.00,0.43,0.43,1.00,0.43;5;1769411279
tailwindcss template;2;110;2.65;0.20;5.12;4.71;7450000;0.65,0.65,0.03,0.00,0.42,0.42,0.19,1.00,0.19,0.11,1.00,0.19;5;1770747147
tailwind;35;33100;1.11;0.32;2.56;0.94;34500000;0.66,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.66,0.66,0.66,0.54;1;1772257562
tailwind ui templates;6;70;3.91;0.19;0.00;0.00;14300000;0.29,0.64,0.52,0.29,0.23,0.23,0.41,0.52,0.23,0.52,0.29,0.29;;1769605300
nextjs tailwindcss;57;90;5.25;0.05;0.00;0.00;9710000;0.09,1.00,0.66,0.66,0.52,0.52,0.52,0.42,0.80,0.42,0.00,0.00;;1771244157
vercel portfolio template;30;40;2.36;0.25;0.00;0.00;461000;0.07,0.07,0.07,1.00,0.15,0.07,0.07,0.07,0.07,0.07,0.07,0.07;5;1769755069
tailwindcss examples;20;110;4.50;0.04;0.00;0.00;8270000;0.06,0.28,0.09,0.53,0.09,0.12,1.00,0.43,0.53,0.09,0.21,0.34;;1770490085
free tailwind template;22;40;0.00;0.07;0.00;0.00;8720000;0.07,0.14,0.28,0.78,0.64,0.64,0.00,0.28,0.21,0.00,0.07,0.00;;1769876360
nextjs website templates;68;70;3.26;0.58;0.00;0.00;17500000;0.63,0.63,0.81,0.81,0.36,0.45,1.00,0.81,0.18,0.27,0.63,1.00;;1770768109
tailwind landing page template;20;40;3.42;0.35;0.00;0.00;1260000;0.00,0.00,0.00,1.00,0.66,0.14,0.04,0.19,0.23,0.04,0.19,0.04;;1770570525
tailwind ui template;6;30;3.05;0.15;0.00;0.00;9020000;0.18,0.09,0.27,0.45,0.18,0.63,0.45,0.18,0.09,0.27,0.18,0.18;;1767625372
