Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
html starter template;4;260;4.37;0.05;91.66;92.30;288000000;0.54,0.54,0.54,0.54,0.44,0.35,0.28,0.28,0.28,0.35,0.35,0.28;5;1769538956
html coding template;84;30;3.40;0.08;0.00;0.00;202000000;0.64,0.14,0.28,0.07,0.07,0.00,0.14,0.21,0.21,0.28,0.28,0.21;5;1769321654
htm template;79;40;2.83;0.15;0.00;0.00;695000000;1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1766651827
htm template;83;40;2.83;0.15;0.00;0.00;695000000;1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1766651827
base html template;28;70;4.13;0.07;0.00;0.00;205000000;0.23,0.05,0.09,0.05,0.04,0.02,0.04,0.04,0.09,0.06,0.05,0.15;5;1767271938
base html template;34;70;4.13;0.07;0.00;0.00;205000000;0.23,0.05,0.09,0.05,0.04,0.02,0.04,0.04,0.09,0.06,0.05,0.15;5;1767271938
html index template;12;40;2.36;0.31;0.00;0.00;238000000;0.28,0.21,0.50,0.28,0.07,0.00,0.21,0.21,0.50,0.50,0.21,0.35;;1769896205
html starter;3;70;4.48;0.03;0.00;0.00;3760000000;0.41,0.17,0.11,0.41,0.52,0.52,0.52,0.52,0.29,0.29,0.41,0.17;;1767657261
basic html template;17;390;2.80;0.07;0.00;0.00;220000000;0.16,0.25,0.25,0.25,0.20,0.20,0.20,0.16,0.16,0.25,0.25,0.20;5;1769427320
index html template;17;140;3.05;0.23;0.00;0.00;224000000;0.35,0.23,0.43,0.43,0.43,0.35,0.28,0.23,0.28,0.35,0.35,0.28;;1767400704
