Rank;Organic Keywords;Organic Traffic;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
0;30;13;39;0;0;0;20260215
0;34;12;47;0;0;0;20260115
0;30;13;79;0;0;0;20251215
0;33;18;65;0;0;0;20251115
0;40;4;0;0;0;0;20251015
0;41;4;0;0;0;0;20250915
0;40;3;0;0;0;0;20250815
0;46;39;125;0;0;0;20250715
0;45;44;128;0;0;0;20250615
0;40;68;206;0;0;0;20250515
0;21;32;109;0;0;0;20250415
0;31;87;322;0;0;0;20250315
0;35;54;263;0;0;0;20250215
0;34;232;434;0;0;0;20250115
0;22;332;1337;0;0;0;20241215
0;27;267;1145;0;0;0;20241115
0;26;83;428;0;0;0;20241015
0;30;94;345;0;0;0;20240915
0;27;32;104;0;0;0;20240815
0;16;93;306;0;0;0;20240715
0;37;77;278;0;0;0;20240615
0;62;477;2218;0;0;0;20240515
0;24;80;365;0;0;0;20240415
0;30;90;406;0;0;0;20240315
0;36;160;394;0;0;0;20240215
0;38;489;2122;0;0;0;20240115
0;38;398;2577;0;0;0;20231215
0;45;318;10;0;0;0;20231115
0;47;267;2482;0;0;0;20231015
0;106;307;1250;0;0;0;20230915
0;92;204;1099;0;0;0;20230815
0;97;39;40;0;0;0;20230715
0;66;1;0;0;0;0;20230615
0;0;0;0;0;0;0;20230515
0;0;0;0;0;0;0;20230415
0;0;0;0;0;0;0;20230315
0;0;0;0;0;0;0;20230215
0;0;0;0;0;0;0;20230115
0;0;0;0;0;0;0;20221215
0;0;0;0;0;0;0;20221115
0;0;0;0;0;0;0;20221015
0;0;0;0;0;0;0;20220915
0;0;0;0;0;0;0;20220815
0;0;0;0;0;0;0;20220715
0;0;0;0;0;0;0;20220615
0;0;0;0;0;0;0;20220515
0;0;0;0;0;0;0;20220415
0;0;0;0;0;0;0;20220315
0;0;0;0;0;0;0;20220215
0;0;0;0;0;0;0;20220115
0;0;0;0;0;0;0;20211215
0;0;0;0;0;0;0;20211115
0;0;0;0;0;0;0;20211015
0;0;0;0;0;0;0;20210915
0;0;0;0;0;0;0;20210815
0;0;0;0;0;0;0;20210715
0;0;0;0;0;0;0;20210615
0;0;0;0;0;0;0;20210515
0;0;0;0;0;0;0;20210415
0;0;0;0;0;0;0;20210315
0;0;0;0;0;0;0;20210215
0;0;0;0;0;0;0;20210115
0;0;0;0;0;0;0;20201215
0;0;0;0;0;0;0;20201115
0;0;0;0;0;0;0;20201015
0;0;0;0;0;0;0;20200915
0;0;0;0;0;0;0;20200815
0;0;0;0;0;0;0;20200715
0;0;0;0;0;0;0;20200615
0;0;0;0;0;0;0;20200515
0;0;0;0;0;0;0;20200415
0;0;0;0;0;0;0;20200315
0;0;0;0;0;0;0;20200215
0;0;0;0;0;0;0;20200115
0;0;0;0;0;0;0;20191215
0;0;0;0;0;0;0;20191115
0;0;0;0;0;0;0;20191015
0;0;0;0;0;0;0;20190915
0;0;0;0;0;0;0;20190815
0;0;0;0;0;0;0;20190715
0;0;0;0;0;0;0;20190615
0;0;0;0;0;0;0;20190515
0;0;0;0;0;0;0;20190415
0;0;0;0;0;0;0;20190315
0;0;0;0;0;0;0;20190215
0;0;0;0;0;0;0;20190115
0;0;0;0;0;0;0;20181215
0;0;0;0;0;0;0;20181115
0;0;0;0;0;0;0;20181015
0;0;0;0;0;0;0;20180915
0;0;0;0;0;0;0;20180815
0;0;0;0;0;0;0;20180715
0;0;0;0;0;0;0;20180615
0;0;0;0;0;0;0;20180515
0;0;0;0;0;0;0;20180415
0;0;0;0;0;0;0;20180315
0;0;0;0;0;0;0;20180215
0;0;0;0;0;0;0;20180115
0;0;0;0;0;0;0;20171215
0;0;0;0;0;0;0;20171115
0;0;0;0;0;0;0;20171015
0;0;0;0;0;0;0;20170915
0;0;0;0;0;0;0;20170815
0;0;0;0;0;0;0;20170715
0;0;0;0;0;0;0;20170615
0;0;0;0;0;0;0;20170515
0;0;0;0;0;0;0;20170415
0;0;0;0;0;0;0;20170315
0;0;0;0;0;0;0;20170215
0;0;0;0;0;0;0;20170115
0;0;0;0;0;0;0;20161215
