Rank;Organic Keywords;Organic Traffic;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
0;26;6;17;0;0;0;20260215
0;29;22;81;0;0;0;20260115
0;32;9;28;0;0;0;20251215
0;37;14;67;0;0;0;20251115
0;43;16;62;0;0;0;20251015
0;45;57;179;0;0;0;20250915
0;45;46;137;0;0;0;20250815
0;56;28;51;0;0;0;20250715
0;56;27;34;0;0;0;20250615
0;62;40;58;0;0;0;20250515
0;60;75;82;0;0;0;20250415
0;69;44;62;0;0;0;20250315
0;60;30;107;0;0;0;20250215
0;76;87;61;0;0;0;20250115
0;75;30;41;0;0;0;20241215
0;106;81;95;0;0;0;20241115
0;92;63;76;0;0;0;20241015
0;92;53;17;0;0;0;20240915
0;81;45;5;0;0;0;20240815
0;72;109;91;0;0;0;20240715
0;81;102;52;0;0;0;20240615
0;74;219;39;0;0;0;20240515
0;82;295;76;0;0;0;20240415
0;74;307;76;0;0;0;20240315
0;77;268;32;0;0;0;20240215
0;74;206;43;0;0;0;20240115
0;86;203;692;0;0;0;20231215
0;96;222;34;0;0;0;20231115
0;55;76;25;0;0;0;20231015
0;145;168;295;0;0;0;20230915
0;146;494;908;0;0;0;20230815
0;0;0;0;0;0;0;20230715
0;0;0;0;0;0;0;20230615
0;0;0;0;0;0;0;20230515
0;0;0;0;0;0;0;20230415
0;0;0;0;0;0;0;20230315
0;0;0;0;0;0;0;20230215
0;0;0;0;0;0;0;20230115
0;0;0;0;0;0;0;20221215
0;0;0;0;0;0;0;20221115
0;0;0;0;0;0;0;20221015
0;0;0;0;0;0;0;20220915
0;0;0;0;0;0;0;20220815
0;0;0;0;0;0;0;20220715
0;0;0;0;0;0;0;20220615
0;0;0;0;0;0;0;20220515
0;0;0;0;0;0;0;20220415
0;0;0;0;0;0;0;20220315
0;0;0;0;0;0;0;20220215
0;0;0;0;0;0;0;20220115
0;0;0;0;0;0;0;20211215
0;0;0;0;0;0;0;20211115
0;0;0;0;0;0;0;20211015
0;0;0;0;0;0;0;20210915
0;0;0;0;0;0;0;20210815
0;0;0;0;0;0;0;20210715
0;0;0;0;0;0;0;20210615
0;0;0;0;0;0;0;20210515
0;0;0;0;0;0;0;20210415
0;0;0;0;0;0;0;20210315
0;0;0;0;0;0;0;20210215
0;0;0;0;0;0;0;20210115
0;0;0;0;0;0;0;20201215
0;0;0;0;0;0;0;20201115
0;0;0;0;0;0;0;20201015
0;0;0;0;0;0;0;20200915
0;0;0;0;0;0;0;20200815
0;0;0;0;0;0;0;20200715
0;0;0;0;0;0;0;20200615
0;0;0;0;0;0;0;20200515
0;0;0;0;0;0;0;20200415
0;0;0;0;0;0;0;20200315
0;0;0;0;0;0;0;20200215
0;0;0;0;0;0;0;20200115
0;0;0;0;0;0;0;20191215
0;0;0;0;0;0;0;20191115
0;0;0;0;0;0;0;20191015
0;0;0;0;0;0;0;20190915
0;0;0;0;0;0;0;20190815
0;0;0;0;0;0;0;20190715
0;0;0;0;0;0;0;20190615
0;0;0;0;0;0;0;20190515
0;0;0;0;0;0;0;20190415
0;0;0;0;0;0;0;20190315
0;0;0;0;0;0;0;20190215
0;0;0;0;0;0;0;20190115
0;0;0;0;0;0;0;20181215
0;0;0;0;0;0;0;20181115
0;0;0;0;0;0;0;20181015
0;0;0;0;0;0;0;20180915
0;0;0;0;0;0;0;20180815
0;0;0;0;0;0;0;20180715
0;0;0;0;0;0;0;20180615
0;0;0;0;0;0;0;20180515
0;0;0;0;0;0;0;20180415
0;0;0;0;0;0;0;20180315
