Rank;Organic Keywords;Organic Traffic;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
0;2623;1556;9008;0;0;0;20260215
0;2174;1662;7233;0;0;0;20260115
0;1665;1766;7275;0;0;0;20251215
0;1752;1994;9838;0;0;0;20251115
0;1926;2038;9867;0;0;0;20251015
0;1999;2157;10474;0;0;0;20250915
0;2055;2035;14111;0;0;0;20250815
0;2205;1954;20468;0;0;0;20250715
0;2116;1986;21163;0;0;0;20250615
0;2262;1864;14298;0;0;0;20250515
0;3092;1994;12284;0;0;0;20250415
0;2634;2095;9038;0;0;0;20250315
0;2649;2101;8604;0;0;0;20250215
0;2148;1835;5787;0;0;0;20250115
0;1357;1755;5470;0;0;0;20241215
0;848;2006;5514;0;0;0;20241115
0;716;1950;8577;0;0;0;20241015
0;672;2863;4494;0;0;0;20240915
0;726;2719;4511;0;0;0;20240815
0;987;1234;7173;0;0;0;20240715
0;1038;1015;3971;0;0;0;20240615
0;888;1024;5468;0;0;0;20240515
0;814;942;5505;0;0;0;20240415
0;758;857;5384;0;0;0;20240315
0;577;777;6034;2;3;6;20240215
0;712;731;3939;0;0;0;20240115
0;1136;589;3092;1;33;55;20231215
0;1751;595;3584;3;23;39;20231115
0;1825;580;3546;4;34;42;20231015
0;1781;427;1834;4;33;64;20230915
0;1192;355;1258;7;58;97;20230815
0;1081;217;694;9;22;35;20230715
0;1158;214;688;0;0;0;20230615
0;898;203;638;0;0;0;20230515
0;883;191;522;0;0;0;20230415
0;633;187;466;0;0;0;20230315
0;637;91;194;0;0;0;20230215
0;766;76;15;0;0;0;20230115
0;591;5;30;0;0;0;20221215
0;441;69;456;0;0;0;20221115
0;372;41;157;0;0;0;20221015
0;404;2;9;0;0;0;20220915
0;333;40;190;0;0;0;20220815
0;9;33;13;0;0;0;20220715
0;11;2;1;0;0;0;20220615
0;174;0;7;0;0;0;20220515
0;14;0;0;0;0;0;20220415
0;13;1;1;0;0;0;20220315
0;21;1;1;0;0;0;20220215
0;1;0;0;0;0;0;20220115
0;0;0;0;0;0;0;20211215
0;0;0;0;0;0;0;20211115
0;0;0;0;0;0;0;20211015
0;0;0;0;0;0;0;20210915
0;0;0;0;0;0;0;20210815
0;0;0;0;0;0;0;20210715
0;0;0;0;0;0;0;20210615
0;0;0;0;0;0;0;20210515
0;0;0;0;0;0;0;20210415
0;0;0;0;0;0;0;20210315
0;0;0;0;0;0;0;20210215
0;0;0;0;0;0;0;20210115
0;0;0;0;0;0;0;20201215
0;0;0;0;0;0;0;20201115
0;0;0;0;0;0;0;20201015
0;0;0;0;0;0;0;20200915
0;0;0;0;0;0;0;20200815
0;0;0;0;0;0;0;20200715
0;0;0;0;0;0;0;20200615
0;0;0;0;0;0;0;20200515
0;0;0;0;0;0;0;20200415
0;0;0;0;0;0;0;20200315
0;0;0;0;0;0;0;20200215
0;0;0;0;0;0;0;20200115
0;0;0;0;0;0;0;20191215
0;0;0;0;0;0;0;20191115
0;0;0;0;0;0;0;20191015
0;0;0;0;0;0;0;20190915
0;0;0;0;0;0;0;20190815
0;0;0;0;0;0;0;20190715
0;0;0;0;0;0;0;20190615
0;0;0;0;0;0;0;20190515
0;0;0;0;0;0;0;20190415
0;0;0;0;0;0;0;20190315
0;0;0;0;0;0;0;20190215
0;0;0;0;0;0;0;20190115
0;0;0;0;0;0;0;20181215
0;0;0;0;0;0;0;20181115
0;0;0;0;0;0;0;20181015
0;0;0;0;0;0;0;20180915
0;0;0;0;0;0;0;20180815
0;0;0;0;0;0;0;20180715
0;0;0;0;0;0;0;20180615
0;0;0;0;0;0;0;20180515
0;0;0;0;0;0;0;20180415
0;0;0;0;0;0;0;20180315
0;0;0;0;0;0;0;20180215
0;0;0;0;0;0;0;20180115
0;0;0;0;0;0;0;20171215
0;0;0;0;0;0;0;20171115
0;0;0;0;0;0;0;20171015
0;0;0;0;0;0;0;20170915
0;0;0;0;0;0;0;20170815
0;0;0;0;0;0;0;20170715
0;0;0;0;0;0;0;20170615
0;0;0;0;0;0;0;20170515
0;0;0;0;0;0;0;20170415
0;0;0;0;0;0;0;20170315
0;0;0;0;0;0;0;20170215
0;0;0;0;0;0;0;20170115
0;0;0;0;0;0;0;20161215
0;0;0;0;0;0;0;20161115
0;0;0;0;0;0;0;20161015
0;0;0;0;0;0;0;20160915
0;0;0;0;0;0;0;20160815
0;0;0;0;0;0;0;20160715
0;0;0;0;0;0;0;20160615
0;0;0;0;0;0;0;20160515
0;0;0;0;0;0;0;20160415
0;0;0;0;0;0;0;20160315
0;0;0;0;0;0;0;20160215
0;0;0;0;0;0;0;20160115
0;0;0;0;0;0;0;20151215
0;0;0;0;0;0;0;20151115
0;0;0;0;0;0;0;20151015
0;0;0;0;0;0;0;20150915
0;0;0;0;0;0;0;20150815
0;0;0;0;0;0;0;20150715
0;0;0;0;0;0;0;20150615
0;0;0;0;0;0;0;20150515
0;0;0;0;0;0;0;20150415
0;0;0;0;0;0;0;20150315
0;0;0;0;0;0;0;20150215
0;0;0;0;0;0;0;20150115
0;0;0;0;0;0;0;20141215
0;0;0;0;0;0;0;20141115
0;0;0;0;0;0;0;20141015
0;0;0;0;0;0;0;20140915
0;0;0;0;0;0;0;20140815
0;0;0;0;0;0;0;20140715
0;0;0;0;0;0;0;20140615
0;0;0;0;0;0;0;20140515
0;0;0;0;0;0;0;20140415
0;0;0;0;0;0;0;20140315
0;0;0;0;0;0;0;20140215
0;0;0;0;0;0;0;20140115
0;0;0;0;0;0;0;20131215
0;0;0;0;0;0;0;20131115
0;0;0;0;0;0;0;20131015
0;0;0;0;0;0;0;20130915
0;0;0;0;0;0;0;20130815
0;0;0;0;0;0;0;20130715
0;0;0;0;0;0;0;20130615
0;0;0;0;0;0;0;20130515
0;0;0;0;0;0;0;20130415
0;0;0;0;0;0;0;20130315
0;0;0;0;0;0;0;20130215
0;0;0;0;0;0;0;20130115
0;0;0;0;0;0;0;20121215
0;0;0;0;0;0;0;20121115
0;0;0;0;0;0;0;20121015
0;0;0;0;0;0;0;20120915
0;0;0;0;0;0;0;20120815
0;0;0;0;0;0;0;20120715
0;0;0;0;0;0;0;20120615
0;0;0;0;0;0;0;20120515
0;0;0;0;0;0;0;20120415
0;0;0;0;0;0;0;20120315
0;0;0;0;0;0;0;20120215
0;0;0;0;0;0;0;20120115
