Rank;Organic Keywords;Organic Traffic;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
0;118;89;220;0;0;0;20260215
0;119;94;266;0;0;0;20260115
0;107;93;270;0;0;0;20251215
0;108;102;251;0;0;0;20251115
0;106;103;254;0;0;0;20251015
0;106;104;257;0;0;0;20250915
0;93;109;219;0;0;0;20250815
0;67;142;474;0;0;0;20250715
0;97;156;584;0;0;0;20250615
0;86;161;622;0;0;0;20250515
0;63;133;592;0;0;0;20250415
0;63;139;691;0;0;0;20250315
0;67;132;449;0;0;0;20250215
0;59;113;301;0;0;0;20250115
0;81;93;264;0;0;0;20241215
0;107;109;272;0;0;0;20241115
0;97;98;252;0;0;0;20241015
0;85;89;200;0;0;0;20240915
0;91;96;220;0;0;0;20240815
0;83;89;188;0;0;0;20240715
0;73;79;135;0;0;0;20240615
0;59;90;171;0;0;0;20240515
0;47;80;133;0;0;0;20240415
0;55;56;108;0;0;0;20240315
0;41;32;71;0;0;0;20240215
0;37;22;67;0;0;0;20240115
0;40;22;72;0;0;0;20231215
0;57;18;71;0;0;0;20231115
0;61;13;54;0;0;0;20231015
0;61;5;18;0;0;0;20230915
0;45;7;22;0;0;0;20230815
0;35;5;15;0;0;0;20230715
0;25;19;67;0;0;0;20230615
0;22;2;10;0;0;0;20230515
0;29;5;23;0;0;0;20230415
0;20;7;26;0;0;0;20230315
0;12;0;3;0;0;0;20230215
0;10;0;2;0;0;0;20230115
0;3;0;2;0;0;0;20221215
0;0;0;0;0;0;0;20221115
0;0;0;0;0;0;0;20221015
0;0;0;0;0;0;0;20220915
0;0;0;0;0;0;0;20220815
0;0;0;0;0;0;0;20220715
0;0;0;0;0;0;0;20220615
0;0;0;0;0;0;0;20220515
0;0;0;0;0;0;0;20220415
0;0;0;0;0;0;0;20220315
0;0;0;0;0;0;0;20220215
0;0;0;0;0;0;0;20220115
0;0;0;0;0;0;0;20211215
0;0;0;0;0;0;0;20211115
0;0;0;0;0;0;0;20211015
0;0;0;0;0;0;0;20210915
0;0;0;0;0;0;0;20210815
0;0;0;0;0;0;0;20210715
0;0;0;0;0;0;0;20210615
0;0;0;0;0;0;0;20210515
0;0;0;0;0;0;0;20210415
0;0;0;0;0;0;0;20210315
0;0;0;0;0;0;0;20210215
0;0;0;0;0;0;0;20210115
0;0;0;0;0;0;0;20201215
0;0;0;0;0;0;0;20201115
0;0;0;0;0;0;0;20201015
0;0;0;0;0;0;0;20200915
0;0;0;0;0;0;0;20200815
0;0;0;0;0;0;0;20200715
0;0;0;0;0;0;0;20200615
0;0;0;0;0;0;0;20200515
0;0;0;0;0;0;0;20200415
0;0;0;0;0;0;0;20200315
0;0;0;0;0;0;0;20200215
0;0;0;0;0;0;0;20200115
0;0;0;0;0;0;0;20191215
0;0;0;0;0;0;0;20191115
0;0;0;0;0;0;0;20191015
0;0;0;0;0;0;0;20190915
0;0;0;0;0;0;0;20190815
0;0;0;0;0;0;0;20190715
0;0;0;0;0;0;0;20190615
0;0;0;0;0;0;0;20190515
0;0;0;0;0;0;0;20190415
0;0;0;0;0;0;0;20190315
0;0;0;0;0;0;0;20190215
0;0;0;0;0;0;0;20190115
0;0;0;0;0;0;0;20181215
0;0;0;0;0;0;0;20181115
0;0;0;0;0;0;0;20181015
0;0;0;0;0;0;0;20180915
0;0;0;0;0;0;0;20180815
0;0;0;0;0;0;0;20180715
0;0;0;0;0;0;0;20180615
0;0;0;0;0;0;0;20180515
0;0;0;0;0;0;0;20180415
0;0;0;0;0;0;0;20180315
