Rank;Organic Keywords;Organic Traffic;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
0;2;0;0;0;0;0;20260215
0;1;0;0;0;0;0;20260115
0;3;14;69;0;0;0;20251215
0;9;15;69;0;0;0;20251115
0;12;19;69;0;0;0;20251015
0;13;17;43;0;0;0;20250915
0;14;39;44;0;0;0;20250815
0;13;13;35;0;0;0;20250715
0;16;5;1;0;0;0;20250615
0;17;7;4;0;0;0;20250515
0;15;7;5;0;0;0;20250415
0;17;16;127;0;0;0;20250315
0;18;15;22;0;0;0;20250215
0;19;56;60;0;0;0;20250115
0;27;19;12;0;0;0;20241215
0;31;24;24;0;0;0;20241115
0;41;55;46;0;0;0;20241015
0;43;330;269;0;0;0;20240915
0;52;183;142;0;0;0;20240815
0;42;59;10;0;0;0;20240715
0;41;53;21;0;0;0;20240615
0;39;34;22;0;0;0;20240515
0;39;21;0;0;0;0;20240415
0;38;21;0;0;0;0;20240315
0;64;35;0;0;0;0;20240215
0;72;25;0;0;0;0;20240115
0;85;25;16;0;0;0;20231215
0;108;36;36;0;0;0;20231115
0;81;121;157;0;0;0;20231015
0;199;61;80;0;0;0;20230915
0;46;34;43;0;0;0;20230815
0;32;9;13;0;0;0;20230715
0;50;14;24;0;0;0;20230615
0;0;0;0;0;0;0;20230515
0;0;0;0;0;0;0;20230415
0;0;0;0;0;0;0;20230315
0;0;0;0;0;0;0;20230215
0;0;0;0;0;0;0;20230115
0;0;0;0;0;0;0;20221215
0;0;0;0;0;0;0;20221115
0;0;0;0;0;0;0;20221015
0;0;0;0;0;0;0;20220915
0;0;0;0;0;0;0;20220815
0;0;0;0;0;0;0;20220715
0;0;0;0;0;0;0;20220615
0;0;0;0;0;0;0;20220515
0;0;0;0;0;0;0;20220415
0;0;0;0;0;0;0;20220315
0;0;0;0;0;0;0;20220215
0;0;0;0;0;0;0;20220115
0;0;0;0;0;0;0;20211215
0;0;0;0;0;0;0;20211115
0;0;0;0;0;0;0;20211015
0;0;0;0;0;0;0;20210915
0;0;0;0;0;0;0;20210815
0;0;0;0;0;0;0;20210715
0;0;0;0;0;0;0;20210615
0;0;0;0;0;0;0;20210515
0;0;0;0;0;0;0;20210415
0;0;0;0;0;0;0;20210315
0;0;0;0;0;0;0;20210215
0;0;0;0;0;0;0;20210115
0;0;0;0;0;0;0;20201215
0;0;0;0;0;0;0;20201115
0;0;0;0;0;0;0;20201015
0;0;0;0;0;0;0;20200915
0;0;0;0;0;0;0;20200815
0;0;0;0;0;0;0;20200715
0;0;0;0;0;0;0;20200615
0;0;0;0;0;0;0;20200515
0;0;0;0;0;0;0;20200415
0;0;0;0;0;0;0;20200315
0;0;0;0;0;0;0;20200215
0;0;0;0;0;0;0;20200115
0;0;0;0;0;0;0;20191215
0;0;0;0;0;0;0;20191115
0;0;0;0;0;0;0;20191015
0;0;0;0;0;0;0;20190915
0;0;0;0;0;0;0;20190815
0;0;0;0;0;0;0;20190715
0;0;0;0;0;0;0;20190615
0;0;0;0;0;0;0;20190515
0;0;0;0;0;0;0;20190415
0;0;0;0;0;0;0;20190315
0;0;0;0;0;0;0;20190215
0;0;0;0;0;0;0;20190115
0;0;0;0;0;0;0;20181215
0;0;0;0;0;0;0;20181115
0;0;0;0;0;0;0;20181015
0;0;0;0;0;0;0;20180915
0;0;0;0;0;0;0;20180815
0;0;0;0;0;0;0;20180715
0;0;0;0;0;0;0;20180615
0;0;0;0;0;0;0;20180515
0;0;0;0;0;0;0;20180415
0;0;0;0;0;0;0;20180315
0;0;0;0;0;0;0;20180215
0;0;0;0;0;0;0;20180115
0;0;0;0;0;0;0;20171215
0;0;0;0;0;0;0;20171115
0;0;0;0;0;0;0;20171015
0;0;0;0;0;0;0;20170915
0;0;0;0;0;0;0;20170815
0;0;0;0;0;0;0;20170715
0;0;0;0;0;0;0;20170615
0;0;0;0;0;0;0;20170515
0;0;0;0;0;0;0;20170415
0;0;0;0;0;0;0;20170315
0;0;0;0;0;0;0;20170215
0;0;0;0;0;0;0;20170115
