Rank;Organic Keywords;Organic Traffic;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
0;159;1690;3717;0;0;0;20260215
0;159;1726;3888;0;0;0;20260115
0;132;1625;3367;0;0;0;20251215
0;106;1709;2820;0;0;0;20251115
0;101;1644;2539;0;0;0;20251015
0;108;1625;2540;0;0;0;20250915
0;110;1455;2233;0;0;0;20250815
0;139;2030;5343;0;0;0;20250715
0;155;1998;5224;0;0;0;20250615
0;122;1908;5132;0;0;0;20250515
0;101;1894;4573;0;0;0;20250415
0;106;1819;3789;0;0;0;20250315
0;100;1765;3587;0;0;0;20250215
0;149;1688;2447;0;0;0;20250115
0;224;1909;2420;0;0;0;20241215
0;274;1975;2533;0;0;0;20241115
0;196;2286;2360;0;0;0;20241015
0;190;1715;2202;0;0;0;20240915
0;268;1732;2280;0;0;0;20240815
0;203;1771;1890;0;0;0;20240715
0;205;1147;1732;0;0;0;20240615
0;168;1164;1572;0;0;0;20240515
0;148;1226;1698;0;0;0;20240415
0;136;1187;1676;1;1;1;20240315
0;114;1089;1647;0;0;0;20240215
0;122;1148;1854;0;0;0;20240115
0;148;1091;1783;0;0;0;20231215
0;175;902;1553;1;2;2;20231115
0;243;171;284;0;0;0;20231015
0;0;0;0;0;0;0;20230915
0;0;0;0;0;0;0;20230815
0;0;0;0;0;0;0;20230715
0;0;0;0;0;0;0;20230615
0;0;0;0;0;0;0;20230515
0;0;0;0;0;0;0;20230415
0;0;0;0;0;0;0;20230315
0;0;0;0;0;0;0;20230215
0;0;0;0;0;0;0;20230115
0;0;0;0;0;0;0;20221215
0;0;0;0;0;0;0;20221115
0;0;0;0;0;0;0;20221015
0;0;0;0;0;0;0;20220915
0;0;0;0;0;0;0;20220815
0;0;0;0;0;0;0;20220715
0;0;0;0;0;0;0;20220615
0;0;0;0;0;0;0;20220515
0;0;0;0;0;0;0;20220415
0;0;0;0;0;0;0;20220315
0;0;0;0;0;0;0;20220215
0;0;0;0;0;0;0;20220115
0;0;0;0;0;0;0;20211215
0;0;0;0;0;0;0;20211115
0;0;0;0;0;0;0;20211015
0;0;0;0;0;0;0;20210915
0;0;0;0;0;0;0;20210815
0;0;0;0;0;0;0;20210715
0;0;0;0;0;0;0;20210615
0;0;0;0;0;0;0;20210515
0;0;0;0;0;0;0;20210415
0;0;0;0;0;0;0;20210315
0;0;0;0;0;0;0;20210215
0;0;0;0;0;0;0;20210115
0;0;0;0;0;0;0;20201215
0;0;0;0;0;0;0;20201115
0;0;0;0;0;0;0;20201015
0;0;0;0;0;0;0;20200915
0;0;0;0;0;0;0;20200815
0;0;0;0;0;0;0;20200715
0;0;0;0;0;0;0;20200615
0;0;0;0;0;0;0;20200515
0;0;0;0;0;0;0;20200415
0;0;0;0;0;0;0;20200315
0;0;0;0;0;0;0;20200215
0;0;0;0;0;0;0;20200115
0;0;0;0;0;0;0;20191215
0;0;0;0;0;0;0;20191115
0;0;0;0;0;0;0;20191015
0;0;0;0;0;0;0;20190915
0;0;0;0;0;0;0;20190815
0;0;0;0;0;0;0;20190715
0;0;0;0;0;0;0;20190615
0;0;0;0;0;0;0;20190515
0;0;0;0;0;0;0;20190415
0;0;0;0;0;0;0;20190315
0;0;0;0;0;0;0;20190215
0;0;0;0;0;0;0;20190115
0;0;0;0;0;0;0;20181215
0;0;0;0;0;0;0;20181115
0;0;0;0;0;0;0;20181015
0;0;0;0;0;0;0;20180915
0;0;0;0;0;0;0;20180815
0;0;0;0;0;0;0;20180715
0;0;0;0;0;0;0;20180615
0;0;0;0;0;0;0;20180515
0;0;0;0;0;0;0;20180415
0;0;0;0;0;0;0;20180315
0;0;0;0;0;0;0;20180215
0;0;0;0;0;0;0;20180115
0;0;0;0;0;0;0;20171215
0;0;0;0;0;0;0;20171115
0;0;0;0;0;0;0;20171015
0;0;0;0;0;0;0;20170915
0;0;0;0;0;0;0;20170815
0;0;0;0;0;0;0;20170715
0;0;0;0;0;0;0;20170615
0;0;0;0;0;0;0;20170515
0;0;0;0;0;0;0;20170415
0;0;0;0;0;0;0;20170315
