Rank;Organic Keywords;Organic Traffic;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
0;56;130;498;0;0;0;20260215
0;44;125;502;0;0;0;20260115
0;32;119;360;0;0;0;20251215
0;25;113;316;0;0;0;20251115
0;30;82;201;0;0;0;20251015
0;32;83;201;0;0;0;20250915
0;36;138;326;0;0;0;20250815
0;31;84;297;0;0;0;20250715
0;28;83;236;0;0;0;20250615
0;32;45;196;0;0;0;20250515
0;24;99;324;0;0;0;20250415
0;22;113;373;0;0;0;20250315
0;17;106;387;0;0;0;20250215
0;25;99;358;0;0;0;20250115
0;21;65;232;0;0;0;20241215
0;21;59;194;0;0;0;20241115
0;13;31;94;0;0;0;20241015
0;12;33;122;0;0;0;20240915
0;14;36;125;0;0;0;20240815
0;12;19;76;0;0;0;20240715
0;14;24;92;0;0;0;20240615
0;16;31;129;0;0;0;20240515
0;11;20;87;0;0;0;20240415
0;9;20;86;0;0;0;20240315
0;9;12;51;0;0;0;20240215
0;10;17;71;0;0;0;20240115
0;11;14;65;0;0;0;20231215
0;19;13;65;0;0;0;20231115
0;20;10;39;0;0;0;20231015
0;38;16;48;0;0;0;20230915
0;33;13;37;0;0;0;20230815
0;17;7;18;0;0;0;20230715
0;18;0;0;0;0;0;20230615
0;19;2;11;0;0;0;20230515
0;16;2;9;0;0;0;20230415
0;14;3;9;0;0;0;20230315
0;9;1;4;0;0;0;20230215
0;10;0;0;0;0;0;20230115
0;11;16;97;0;0;0;20221215
0;5;0;1;0;0;0;20221115
0;3;0;1;0;0;0;20221015
0;5;0;0;0;0;0;20220915
0;1;0;0;0;0;0;20220815
0;0;0;0;0;0;0;20220715
0;0;0;0;0;0;0;20220615
0;0;0;0;0;0;0;20220515
0;0;0;0;0;0;0;20220415
0;0;0;0;0;0;0;20220315
0;0;0;0;0;0;0;20220215
0;0;0;0;0;0;0;20220115
0;0;0;0;0;0;0;20211215
0;0;0;0;0;0;0;20211115
0;0;0;0;0;0;0;20211015
0;0;0;0;0;0;0;20210915
0;0;0;0;0;0;0;20210815
0;0;0;0;0;0;0;20210715
0;0;0;0;0;0;0;20210615
0;0;0;0;0;0;0;20210515
0;0;0;0;0;0;0;20210415
0;0;0;0;0;0;0;20210315
0;0;0;0;0;0;0;20210215
0;0;0;0;0;0;0;20210115
0;0;0;0;0;0;0;20201215
0;0;0;0;0;0;0;20201115
0;0;0;0;0;0;0;20201015
0;0;0;0;0;0;0;20200915
0;0;0;0;0;0;0;20200815
0;0;0;0;0;0;0;20200715
0;0;0;0;0;0;0;20200615
0;0;0;0;0;0;0;20200515
0;0;0;0;0;0;0;20200415
0;0;0;0;0;0;0;20200315
0;0;0;0;0;0;0;20200215
0;0;0;0;0;0;0;20200115
0;0;0;0;0;0;0;20191215
0;0;0;0;0;0;0;20191115
0;0;0;0;0;0;0;20191015
0;0;0;0;0;0;0;20190915
0;0;0;0;0;0;0;20190815
0;0;0;0;0;0;0;20190715
0;0;0;0;0;0;0;20190615
0;0;0;0;0;0;0;20190515
0;0;0;0;0;0;0;20190415
0;0;0;0;0;0;0;20190315
0;0;0;0;0;0;0;20190215
0;0;0;0;0;0;0;20190115
0;0;0;0;0;0;0;20181215
0;0;0;0;0;0;0;20181115
0;0;0;0;0;0;0;20181015
0;0;0;0;0;0;0;20180915
0;0;0;0;0;0;0;20180815
0;0;0;0;0;0;0;20180715
0;0;0;0;0;0;0;20180615
0;0;0;0;0;0;0;20180515
0;0;0;0;0;0;0;20180415
0;0;0;0;0;0;0;20180315
0;0;0;0;0;0;0;20180215
0;0;0;0;0;0;0;20180115
0;0;0;0;0;0;0;20171215
0;0;0;0;0;0;0;20171115
0;0;0;0;0;0;0;20171015
0;0;0;0;0;0;0;20170915
0;0;0;0;0;0;0;20170815
0;0;0;0;0;0;0;20170715
0;0;0;0;0;0;0;20170615
0;0;0;0;0;0;0;20170515
0;0;0;0;0;0;0;20170415
0;0;0;0;0;0;0;20170315
0;0;0;0;0;0;0;20170215
0;0;0;0;0;0;0;20170115
0;0;0;0;0;0;0;20161215
0;0;0;0;0;0;0;20161115
0;0;0;0;0;0;0;20161015
0;0;0;0;0;0;0;20160915
0;0;0;0;0;0;0;20160815
0;0;0;0;0;0;0;20160715
0;0;0;0;0;0;0;20160615
0;0;0;0;0;0;0;20160515
0;0;0;0;0;0;0;20160415
0;0;0;0;0;0;0;20160315
0;0;0;0;0;0;0;20160215
0;0;0;0;0;0;0;20160115
0;0;0;0;0;0;0;20151215
0;0;0;0;0;0;0;20151115
0;0;0;0;0;0;0;20151015
0;0;0;0;0;0;0;20150915
0;0;0;0;0;0;0;20150815
0;0;0;0;0;0;0;20150715
0;0;0;0;0;0;0;20150615
0;0;0;0;0;0;0;20150515
0;0;0;0;0;0;0;20150415
0;0;0;0;0;0;0;20150315
0;0;0;0;0;0;0;20150215
0;0;0;0;0;0;0;20150115
0;0;0;0;0;0;0;20141215
0;0;0;0;0;0;0;20141115
0;0;0;0;0;0;0;20141015
0;0;0;0;0;0;0;20140915
0;0;0;0;0;0;0;20140815
0;0;0;0;0;0;0;20140715
0;0;0;0;0;0;0;20140615
0;0;0;0;0;0;0;20140515
0;0;0;0;0;0;0;20140415
0;0;0;0;0;0;0;20140315
0;0;0;0;0;0;0;20140215
0;0;0;0;0;0;0;20140115
0;0;0;0;0;0;0;20131215
0;0;0;0;0;0;0;20131115
0;0;0;0;0;0;0;20131015
0;0;0;0;0;0;0;20130915
0;0;0;0;0;0;0;20130815
0;0;0;0;0;0;0;20130715
0;0;0;0;0;0;0;20130615
0;0;0;0;0;0;0;20130515
0;0;0;0;0;0;0;20130415
0;0;0;0;0;0;0;20130315
0;0;0;0;0;0;0;20130215
0;0;0;0;0;0;0;20130115
0;0;0;0;0;0;0;20121215
0;0;0;0;0;0;0;20121115
0;0;0;0;0;0;0;20121015
0;0;0;0;0;0;0;20120915
0;0;0;0;0;0;0;20120815
0;0;0;0;0;0;0;20120715
0;0;0;0;0;0;0;20120615
0;0;0;0;0;0;0;20120515
0;0;0;0;0;0;0;20120415
0;0;0;0;0;0;0;20120315
0;0;0;0;0;0;0;20120215
0;0;0;0;0;0;0;20120115
